"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Joey Votto","Reds","149","641","520","153","30","2","23","88","83","109","100","3","1",".294",".420",".491",".911",".391","4314"
"Paul Goldschmidt","Cardinals","156","676","573","167","32","3","32","99","99","92","156","10","4",".291",".394",".522",".915",".388","9218"
"Freddie Freeman","Braves","125","676","587","180","31","3","28","97","99","79","104","8","3",".306",".392",".508",".900",".383","5361"
"Anthony Rizzo","Cubs","153","662","563","157","33","2","28","86","100","74","87","6","3",".279",".378",".496",".875",".372","3473"
"Matt Carpenter","Cardinals","148","657","544","139","35","2","28","101","79","100","144","4","2",".256",".375",".484",".860",".369","8090"
"Max Muncy","Dodgers","133","527","443","111","20","2","26","73","72","75","137","3","1",".251",".364",".482",".846",".364","13301"
"Luke Voit","Yankees","112","432","383","105","19","1","21","60","66","40","103","1","1",".274",".350",".495",".844",".361","14811"
"Cody Bellinger","Dodgers","152","631","552","146","29","5","31","88","92","70","151","13","3",".264",".348",".501",".849",".357","15998"
"Steve Pearce","Red Sox","72","288","254","68","14","1","12","37","41","29","53","0","0",".270",".351",".478",".829",".355","9957"
"Miguel Cabrera","Tigers","109","459","402","114","23","1","17","53","62","52","88","0","0",".283",".367",".468",".835",".355","1744"
"Joey Gallo","Rangers","147","597","510","110","23","3","40","85","97","79","208","5","3",".216",".327",".508",".835",".355","14128"
"Jose Abreu","White Sox","145","618","561","159","34","2","26","78","90","39","118","2","1",".284",".341",".493",".834",".353","15676"
"Matt Olson","Athletics","158","649","567","142","32","1","32","86","93","72","162","2","1",".251",".340",".481",".821",".352","14344"
"Brandon Belt","Giants","129","545","466","119","28","3","19","66","65","70","126","4","2",".256",".358",".455",".813",".351","10264"
"Jose Martinez","Cardinals","110","425","383","113","21","1","13","50","57","38","77","1","1",".294",".358",".456",".814",".351","7996"
"Carlos Santana","Indians","150","639","537","133","30","2","24","82","82","94","89","3","2",".248",".361",".445",".806",".348","2396"
"Ryan Zimmerman","Nationals","105","418","375","99","23","2","19","55","66","37","85","1","1",".265",".333",".483",".816",".348","4220"
"Justin Smoak","Blue Jays","141","588","507","125","27","1","27","71","79","75","147","0","0",".246",".345",".460",".805",".347","9054"
"Jesus Aguilar","Brewers","141","566","500","128","25","1","30","74","90","52","148","0","0",".255",".328",".486",".814",".346","11342"
"Tyler White","Astros","117","449","398","104","21","2","19","56","65","42","94","1","1",".261",".337",".465",".802",".344","15564"
"Josh Bell","Pirates","111","593","517","139","22","3","20","74","75","71","80","2","2",".269",".356",".439",".795",".344","13145"
"Edwin Encarnacion","Mariners","104","567","489","121","15","1","29","73","92","69","96","2","0",".247",".343",".456",".799",".344","2151"
"Eric Thames","Brewers","89","322","281","67","13","2","17","46","42","36","98","5","1",".238",".332",".478",".809",".343","3711"
"C.J. Cron","Twins","110","449","408","105","23","1","23","56","64","29","109","1","1",".258",".318",".488",".806",".343","12546"
"Justin Bour","Angels","106","427","368","93","15","1","19","48","61","54","99","1","0",".251",".347",".455",".801",".342","9744"
"Matt Adams","Nationals","72","309","283","72","11","0","18","39","51","23","53","0","0",".255",".315",".485",".800",".341","9393"
"Ji-Man Choi","Rays","88","351","301","77","18","1","13","39","47","40","86","3","1",".254",".342",".451",".793",".341","5452"
"Eric Hosmer","Padres","156","666","598","162","30","2","21","82","80","64","128","6","3",".271",".341",".434",".775",".335","3516"
"Marwin Gonzalez","","126","496","443","118","25","2","17","57","64","42","107","5","3",".265",".334",".444",".778",".334","5497"
"Ryan McMahon","Rockies","121","443","400","105","25","3","14","50","56","38","117","4","2",".261",".329",".446",".775",".334","15112"
"Dan Vogelbach","Mariners","43","167","145","35","6","0","6","19","22","21","40","0","0",".239",".339",".417",".756",".331","14130"
"Mark Reynolds","","35","118","105","25","4","0","5","13","17","12","33","0","0",".242",".320",".439",".759",".328","7619"
"Rowdy Tellez","Blue Jays","23","95","86","22","5","0","4","10","12","7","21","0","0",".262",".316",".455",".772",".328","15679"
"Wil Myers","Padres","107","583","520","131","21","2","23","74","73","57","116","21","3",".252",".327",".432",".759",".327","10047"
"Yuli Gurriel","Astros","132","547","510","146","34","1","14","66","73","24","63","4","2",".287",".322",".442",".764",".327","19198"
"Greg Bird","Yankees","75","296","258","59","14","1","13","33","41","31","74","0","0",".229",".316",".445",".761",".327","14131"
