"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Gary Sanchez","Yankees","125","526","473","131","24","0","33","75","89","41","117","2","1",".277",".341",".536",".877",".366","20.7","11442"
"Willson Contreras","Cubs","130","517","455","128","25","1","23","63","81","53","108","5","4",".281",".360",".492",".852",".362","53.8","11609"
"Buster Posey","Giants","135","565","495","150","31","1","14","68","73","59","64","5","1",".303",".379",".451",".830",".353","59.8","9166"
"Austin Barnes","Dodgers","121","399","343","93","21","2","11","47","47","47","63","7","2",".272",".367",".445",".812",".351","186.0","12158"
"Alex Avila","Diamondbacks","92","340","279","67","11","1","12","35","36","57","112","0","0",".239",".370",".411",".781",".343","414.5","7476"
"Mike Zunino","Mariners","122","451","402","95","22","0","27","52","65","38","154","0","0",".237",".315",".493",".807",".341","163.1","13265"
"Robinson Chirinos","Rangers","107","377","327","78","18","1","18","49","45","37","97","1","0",".240",".332",".464",".796",".340","266.3","3142"
"Chris Iannetta","Rockies","94","357","309","74","18","0","14","37","40","42","93","0","0",".240",".336",".437",".774",".334","296.4","8267"
"Jonathan Lucroy","","116","460","409","113","21","3","11","51","51","42","64","2","1",".275",".348",".425",".773",".331","180.6","7870"
"Mike Marjama","Mariners","43","140","131","35","9","0","6","15","16","7","27","1","0",".263",".306",".477",".784",".331","738.5","12594"
"Evan Gattis","Astros","111","437","400","103","22","1","21","54","67","28","86","1","1",".258",".311",".477",".787",".331","156.4","11003"
"Yasmani Grandal","Dodgers","102","398","350","84","17","0","19","42","52","44","101","0","1",".239",".323",".449",".773",".330","227.5","11368"
"J.T. Realmuto","Marlins","137","567","525","147","30","4","15","64","60","33","102","9","3",".280",".328",".441",".769",".327","103.6","11739"
"Welington Castillo","White Sox","107","413","379","100","16","0","18","44","59","27","107","0","0",".264",".315",".452",".767",".326","174.3","3256"
"Chance Sisco","Orioles","69","252","224","58","12","0","7","27","27","23","62","1","1",".261",".338",".409",".747",".325","347.1","15694"
"Kurt Suzuki","Braves","83","314","285","75","15","0","11","33","44","18","40","0","0",".264",".321",".441",".761",".324","349.1","8259"
"Tyler Flowers","Braves","108","406","370","98","19","0","14","41","53","20","105","0","0",".265",".322",".433",".755",".323","302.5","9134"
"Brian McCann","Astros","112","441","386","93","13","1","19","53","63","44","75","1","0",".241",".327",".428",".754",".323","215.4","4810"
"Russell Martin","Blue Jays","110","441","376","86","15","0","17","56","51","54","106","2","2",".228",".336",".402",".738",".323","321.0","4616"
"Francisco Cervelli","Pirates","98","380","328","86","15","2","5","40","36","42","77","2","1",".262",".353",".363",".716",".318","437.5","5275"
"Salvador Perez","Royals","134","540","510","133","26","1","26","59","75","20","104","1","0",".260",".293",".465",".758",".317","98.7","7304"
"Victor Caratini","Cubs","59","200","181","47","10","1","6","22","20","16","42","1","0",".259",".326",".414",".741",".315","518.8","14968"
"Yadier Molina","Cardinals","125","501","462","129","26","1","11","50","63","30","63","4","2",".279",".324",".413",".737",".315","148.1","7007"
