"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Mitch Garver","Twins","104","409","360","93","19","1","21","61","60","43","98","0","0",".257",".341",".492",".833",".350","15161"
"Carson Kelly","Diamondbacks","116","427","366","91","19","1","20","48","53","49","85","0","0",".250",".345",".470",".814",".345","13620"
"Yasmani Grandal","White Sox","134","550","462","111","22","2","24","70","72","80","129","3","1",".240",".354",".454",".808",".344","11368"
"Willson Contreras","Cubs","118","476","417","108","22","2","21","58","65","47","112","2","1",".260",".345",".471",".816",".344","11609"
"Gary Sanchez","Yankees","115","491","434","103","17","1","32","68","81","46","130","0","1",".238",".322",".504",".826",".343","11442"
"J.T. Realmuto","Phillies","131","554","504","137","29","3","22","80","76","38","113","7","2",".272",".329",".475",".804",".336","11739"
"Omar Narvaez","Brewers","105","406","357","95","14","1","13","46","46","43","76","0","0",".266",".349",".421",".770",".331","13338"
"Kurt Suzuki","Nationals","85","333","301","80","15","0","14","40","51","20","41","0","0",".266",".325",".462",".787",".330","8259"
"Wilson Ramos","Mets","113","448","407","113","18","1","15","47","62","35","69","1","0",".279",".337",".437",".775",".328","1433"
"Joey Bart","Giants","1","39","36","10","2","0","1","4","4","3","10","0","1",".277",".330",".437",".766",".325","sa3007786"
"Robinson Chirinos","Rangers","103","397","339","78","16","1","15","48","51","43","119","1","1",".229",".334",".421",".754",".324","3142"
"Danny Jansen","Blue Jays","100","380","337","83","17","1","15","44","46","34","69","1","1",".245",".323",".438",".762",".323","16535"
"Sean Murphy","Athletics","93","351","318","81","18","1","13","47","45","28","80","1","1",".253",".321",".442",".763",".323","19352"
"Victor Caratini","Cubs","78","260","231","60","11","1","8","29","31","23","55","1","0",".260",".335",".417",".752",".322","14968"
"Willians Astudillo","Twins","57","216","202","59","10","0","6","27","29","7","11","1","0",".292",".322",".438",".760",".320","15608"
"Chance Sisco","Orioles","84","290","254","60","10","0","10","35","32","28","88","1","1",".235",".331",".401",".732",".317","15694"
"Zack Collins","White Sox","26","99","84","18","4","0","4","12","13","14","33","0","0",".219",".334",".395",".729",".317","19181"
"Francisco Mejia","Padres","108","398","369","96","20","3","14","45","48","23","85","2","1",".260",".311",".442",".753",".315","16403"
"Russell Martin","","30","114","96","21","4","0","4","13","12","15","28","1","0",".223",".341",".373",".714",".315","4616"
"Stephen Vogt","Diamondbacks","78","279","253","63","15","1","10","29","36","21","60","2","1",".248",".307",".442",".749",".314","5000"
"Kevan Smith","","55","201","183","49","10","0","5","20","22","13","32","1","0",".269",".325",".404",".729",".313","12284"
"Buster Posey","Giants","116","489","437","119","23","1","9","50","49","43","71","1","1",".272",".343",".393",".736",".312","9166"
"Tyler Flowers","Braves","77","297","258","60","10","1","9","32","33","29","88","0","0",".234",".329",".389",".718",".311","9134"
"Christian Vazquez","Red Sox","118","453","420","110","21","1","14","53","54","27","85","4","2",".262",".310",".418",".728",".309","9774"
"Andrew Knizner","Cardinals","40","152","139","36","6","0","5","16","17","10","27","2","1",".256",".315",".406",".721",".309","19514"
"Travis d'Arnaud","Braves","93","364","331","84","16","1","14","43","51","27","74","0","1",".254",".313",".432",".745",".308","7739"
"Francisco Cervelli","Marlins","65","262","227","53","10","1","6","25","26","27","64","1","1",".234",".330",".371",".701",".307","5275"
"Austin Allen","Athletics","57","195","180","45","9","0","7","21","23","12","48","0","0",".247",".302",".421",".723",".307","18083"
"Alex Avila","Twins","41","155","130","28","4","0","5","16","17","23","53","1","0",".213",".337",".361",".698",".307","7476"
"Kevin Plawecki","Red Sox","56","208","186","46","10","1","6","24","24","17","42","0","0",".246",".320",".399",".719",".306","13807"
"Salvador Perez","Royals","117","497","466","116","23","1","23","54","70","18","99","1","1",".250",".287",".447",".734",".305","7304"
"Chris Iannetta","","20","76","65","14","3","0","3","9","9","9","23","0","0",".215",".316",".387",".703",".305","8267"
"Manny Pina","Brewers","85","284","256","63","11","1","9","28","32","21","67","0","0",".245",".312",".400",".712",".304","2829"
"Yan Gomes","Nationals","87","337","303","72","14","0","12","36","42","27","86","1","0",".237",".308",".402",".710",".304","9627"
"Reese McGuire","Blue Jays","80","307","279","68","13","1","9","34","33","24","60","2","1",".243",".309",".399",".708",".304","15674"
"Yadier Molina","Cardinals","110","455","419","111","21","1","13","47","56","25","64","5","2",".265",".309",".408",".718",".302","7007"
"Jorge Alfaro","Marlins","118","448","415","103","16","2","16","43","51","22","150","3","2",".247",".300",".411",".711",".302","12180"
"Curt Casali","Reds","66","224","196","47","8","0","7","23","26","21","54","0","0",".240",".315",".387",".703",".301","12510"
"James McCann","White Sox","82","337","310","76","14","0","12","37","40","21","92","2","1",".244",".299",".407",".707",".301","12859"
"Elias Diaz","","53","187","172","46","8","0","4","19","21","13","32","0","0",".267",".317",".382",".699",".300","11680"
"Jason Castro","Angels","93","352","306","68","11","0","12","41","38","39","110","0","1",".221",".315",".378",".694",".300","8722"
"Austin Barnes","Dodgers","58","213","185","41","9","1","5","24","22","23","51","3","1",".223",".322",".364",".686",".299","12158"
"Jonathan Lucroy","","55","208","187","47","9","1","5","20","23","16","32","0","0",".251",".317",".388",".705",".299","7870"
"Tom Murphy","Mariners","93","360","333","76","15","2","16","37","43","23","118","2","1",".228",".285",".430",".715",".299","13499"
"Drew Butera","","21","75","67","16","3","0","2","8","8","6","19","0","0",".243",".307",".392",".699",".299","3411"
"Roberto Perez","Indians","106","410","356","78","12","1","15","41","50","41","120","1","0",".220",".304",".391",".696",".299","2900"
"Tucker Barnhart","Reds","109","403","353","85","17","2","9","38","41","44","83","1","1",".240",".325",".376",".702",".298","10200"
"Austin Romine","Tigers","79","287","266","68","12","0","9","30","35","15","63","1","1",".257",".300",".404",".703",".298","5491"
"Jacob Stallings","Pirates","87","331","302","77","16","1","8","34","33","22","65","1","1",".256",".312",".392",".704",".298","13723"
"Dom Nunez","Rockies","24","89","78","18","3","0","3","9","10","8","26","1","0",".224",".303",".388",".691",".296","15055"
"Matt Wieters","","59","219","197","46","8","0","9","22","27","18","49","1","1",".231",".298",".408",".706",".295","4298"
"Pedro Severino","Orioles","84","309","280","67","11","1","10","30","34","23","66","2","1",".237",".303",".387",".690",".295","14523"
"Tony Wolters","Rockies","103","371","323","79","16","3","4","37","37","37","65","1","1",".245",".332",".351",".683",".293","11470"
"Kyle Higashioka","Yankees","35","129","119","26","5","0","6","15","18","8","37","0","0",".220",".274",".424",".698",".293","5517"
"Michael Perez","Rays","52","185","164","37","7","0","6","19","20","17","53","0","0",".223",".297",".378",".675",".289","12977"
"Austin Wynns","Orioles","19","67","61","14","2","0","2","7","6","5","14","0","0",".238",".300",".365",".665",".288","15271"
"Cam Gallagher","Royals","32","118","106","26","4","0","2","12","12","8","22","0","0",".248",".308",".355",".663",".288","12981"
"Raudy Read","Nationals","7","20","19","4","1","0","1","2","2","1","5","0","0",".230",".270",".414",".685",".288","15766"
"Jake Rogers","Tigers","34","132","117","24","5","1","4","14","14","12","41","0","0",".208",".290",".377",".666",".287","19452"
"Alex Jackson","Braves","5","20","18","4","1","0","1","2","3","1","7","0","0",".202",".277",".389",".666",".285","17276"
"Rene Rivera","","9","32","29","6","1","0","1","3","4","2","10","0","0",".218",".278",".414",".692",".285","3648"
"Dustin Garneau","Astros","28","103","92","19","4","0","3","11","11","9","30","0","0",".207",".291",".362",".654",".284","9433"
"Eric Haase","Tigers","7","20","18","4","1","0","1","2","2","2","8","0","0",".201",".265",".409",".673",".284","14111"
"Welington Castillo","","58","224","211","48","9","0","10","19","32","9","66","0","0",".227",".265",".409",".674",".283","3256"
"Josh Phegley","","55","184","169","39","10","0","5","21","24","10","38","0","0",".233",".281",".385",".666",".282","9308"
"Mike Zunino","Rays","104","381","348","70","15","1","17","40","45","28","134","0","1",".201",".270",".395",".665",".282","13265"
"Isiah Kiner-Falefa","Rangers","36","134","123","31","7","1","1","13","12","9","26","3","0",".252",".305",".341",".647",".281","16512"
"Jonah Heim","Athletics","7","26","24","6","1","0","1","3","3","2","5","0","0",".238",".290",".359",".649",".279","sa737843"
"Martin Maldonado","Astros","93","345","312","68","13","1","10","38","35","22","84","0","0",".218",".285",".363",".648",".279","6887"
"Garrett Stubbs","Astros","26","87","79","17","4","0","2","10","8","7","18","2","1",".221",".291",".351",".642",".278","18067"
"Andrew Knapp","Phillies","32","110","95","20","4","0","2","11","10","12","34","1","0",".215",".308",".332",".640",".277","14942"
"Meibrys Viloria","Royals","19","74","65","16","3","0","1","6","7","5","19","0","0",".242",".301",".333",".634",".276","17109"
"Grayson Greiner","Tigers","62","242","216","48","10","1","6","21","23","20","67","0","0",".222",".286",".350",".636",".274","17062"
"Max Stassi","Angels","58","215","189","39","7","0","6","21","22","20","65","0","1",".205",".286",".341",".628",".273","10059"
"Austin Hedges","Padres","80","296","271","56","11","1","11","27","34","21","88","1","0",".208",".270",".374",".644",".272","12976"
"Chris Herrmann","","21","75","66","14","2","0","2","8","8","8","23","0","0",".208",".291",".330",".621",".272","9284"
"Bryan Holaday","","7","25","23","5","1","0","0","2","3","2","4","0","0",".228",".290",".334",".624",".271","11287"
"Juan Centeno","","16","57","52","12","3","0","1","5","6","4","10","2","0",".234",".298",".337",".635",".270","7168"
"Aramis Garcia","Giants","55","200","185","39","8","1","6","20","21","13","72","0","0",".213",".271",".357",".628",".270","16925"
"John Hicks","","24","92","87","19","4","0","3","9","10","5","28","0","0",".224",".265",".361",".626",".266","12547"
"Nick Hundley","","28","95","89","20","4","0","3","9","11","5","27","0","0",".219",".268",".362",".630",".263","3376"
"Tomas Nido","Mets","48","176","163","36","8","0","4","15","18","9","43","0","0",".222",".266",".343",".610",".261","13755"
"Jose Trevino","Rangers","36","125","118","28","5","0","2","13","12","5","25","0","0",".237",".265",".346",".611",".260","16725"
"Anthony Bemboom","Angels","10","33","30","6","1","0","1","3","3","2","9","0","0",".207",".262",".337",".599",".258","13854"
"Luke Maile","Pirates","63","231","211","45","9","1","3","19","21","15","58","2","1",".215",".274",".318",".592",".258","13355"
"John Ryan Murphy","Pirates","12","40","37","7","1","0","1","4","4","3","12","0","0",".205",".258",".332",".590",".254","10346"
"Sandy Leon","Indians","67","234","213","43","8","0","5","21","22","15","60","0","1",".203",".262",".311",".573",".248","5273"
"Caleb Joseph","Blue Jays","14","46","43","9","2","0","1","4","4","2","13","0","0",".207",".247",".330",".577",".247","7087"
"Jeff Mathis","Rangers","61","223","203","41","9","1","3","20","18","16","73","1","1",".199",".261",".301",".562",".245","3448"
"Tim Federowicz","Rangers","8","23","21","4","1","0","0","1","2","1","8","0","0",".166",".217",".224",".441",".196","8609"
"Steven Baron","","15","27","26","4","1","0","0","2","1","1","11","0","0",".152",".191",".187",".378",".170","9787"
