"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Shohei Ohtani","Angels","120","472","420","116","24","2","25","68","74","46","127","9","3",".275",".350",".521",".871",".370","19755"
"Nelson Cruz","Twins","131","545","478","129","23","1","31","74","91","53","120","1","0",".270",".351",".518",".869",".367","2434"
"Khris Davis","Athletics","153","650","571","140","28","2","42","92","111","63","179","1","1",".245",".326",".518",".845",".357","9112"
"Edwin Encarnacion","Mariners","104","567","489","121","15","1","29","73","92","69","96","2","0",".247",".343",".456",".799",".344","2151"
"Shin-Soo Choo","Rangers","124","538","458","118","23","1","17","70","55","68","124","5","2",".257",".361",".421",".782",".343","3174"
"C.J. Cron","Twins","110","449","408","105","23","1","23","56","64","29","109","1","1",".258",".318",".488",".806",".343","12546"
"Ji-Man Choi","Rays","88","351","301","77","18","1","13","39","47","40","86","3","1",".254",".342",".451",".793",".341","5452"
"Yandy Diaz","Rays","99","396","344","97","17","2","5","48","40","47","75","3","1",".283",".370",".386",".756",".335","16578"
"Miguel Sano","Twins","123","520","457","108","23","1","26","68","77","57","183","0","0",".236",".323",".461",".784",".333","12164"
"Kendrys Morales","Blue Jays","118","470","418","105","19","0","20","52","61","44","100","1","1",".252",".326",".447",".773",".332","8610"
"Dan Vogelbach","Mariners","43","167","145","35","6","0","6","19","22","21","40","0","0",".239",".339",".417",".756",".331","14130"
"Corey Dickerson","Pirates","131","543","508","142","31","5","17","67","62","28","97","5","3",".279",".319",".462",".781",".331","10762"
"Robbie Grossman","","40","157","134","35","7","0","3","18","15","21","30","1","0",".257",".359",".383",".741",".330","5254"
"Ryan O'Hearn","Royals","125","509","451","107","24","2","21","58","67","51","138","1","1",".237",".317",".439",".755",".325","16442"
"Tyler Austin","Twins","51","203","182","43","9","1","10","27","28","17","65","1","1",".239",".303",".462",".764",".325","11850"
"Christian Walker","Diamondbacks","66","228","207","49","11","1","10","29","32","18","65","2","0",".240",".309",".446",".755",".325","13419"
"Evan Gattis","","85","328","297","72","14","0","17","37","50","23","73","0","0",".241",".300",".460",".760",".324","11003"
"Mark Trumbo","Orioles","123","504","462","114","19","1","24","60","66","36","126","0","0",".247",".304",".445",".749",".322","6876"
"Daniel Palka","White Sox","84","438","402","96","13","2","21","52","61","32","102","2","1",".238",".297",".432",".729",".313","14897"
"Francisco Mejia","Padres","84","330","306","78","16","1","12","35","40","19","71","2","1",".254",".305",".431",".737",".312","16403"
"Matt Davidson","","91","360","325","73","15","0","16","37","47","30","123","0","0",".226",".297",".420",".717",".310","7226"
"Albert Pujols","Angels","95","394","365","91","15","0","14","41","54","24","54","1","0",".249",".298",".408",".706",".302","1177"
"Jose Rondon","White Sox","13","52","48","12","2","0","2","6","6","3","13","1","0",".239",".284",".404",".688",".297","14140"
"Victor Reyes","Tigers","54","210","197","49","9","2","2","24","18","9","42","7","2",".248",".283",".338",".621",".270","15487"
