"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Mike Trout","Angels","146","642","508","156","29","5","38","111","97","119","128","25","5",".308",".445",".609","1.053",".440","1.1","10155"
"J.D. Martinez","Red Sox","144","624","549","168","33","2","40","100","117","65","148","4","1",".307",".380",".592",".972",".405","5.6","6184"
"Mookie Betts","Red Sox","149","676","586","182","43","4","30","117","91","79","93","27","6",".310",".393",".548",".941",".397","1.9","13611"
"Aaron Judge","Yankees","144","629","520","139","24","1","39","103","98","98","191","7","3",".268",".387",".543",".930",".391","16.7","15640"
"Bryce Harper","Phillies","146","642","519","139","30","1","33","101","98","112","146","11","4",".268",".398",".522",".920",".389","20.5","11579"
"Juan Soto","Nationals","148","632","532","154","30","3","28","92","92","92","127","7","3",".290",".393",".513",".907",".387","34.4","20123"
"Christian Yelich","Brewers","149","656","573","173","34","4","27","102","94","72","134","18","4",".301",".383",".519",".902",".384","7.7","11477"
"Charlie Blackmon","Rockies","143","641","571","170","30","7","27","105","74","56","121","10","4",".298",".368",".515",".883",".375","27.1","7859"
"Rhys Hoskins","Phillies","152","657","556","141","32","1","38","91","102","86","145","4","2",".253",".358",".519",".878",".373","40.7","16472"
"Giancarlo Stanton","Yankees","150","653","570","152","29","1","42","99","110","69","184","4","1",".266",".350",".541",".891",".372","22.5","4949"
"Jesse Winker","Reds","136","562","482","141","28","1","16","69","72","70","84","1","1",".293",".386",".457",".843",".367","195.9","13590"
"Ronald Acuna Jr.","Braves","149","659","589","167","32","5","30","99","87","59","160","23","8",".283",".353",".506",".859",".366","9.2","18401"
"Michael Conforto","Mets","148","621","530","136","28","2","31","82","86","78","151","3","2",".256",".358",".492",".849",".362","109.6","16376"
"Tommy Pham","Rays","140","595","513","140","22","5","23","95","71","69","148","19","6",".274",".366",".469",".835",".361","55.7","2967"
"Brandon Nimmo","Mets","140","613","513","132","27","5","19","83","58","85","155","10","5",".257",".375",".445",".820",".359","170.7","12927"
"Nicholas Castellanos","Tigers","153","659","599","170","39","5","27","84","92","49","145","3","2",".284",".342",".499",".841",".358","94.0","11737"
"Joc Pederson","Dodgers","122","442","385","97","23","2","23","64","60","47","96","3","3",".253",".342",".497",".839",".358","362.1","11899"
"Khris Davis","Athletics","152","648","569","140","28","1","42","92","111","63","177","1","1",".245",".327",".519",".845",".357","44.0","9112"
"Mitch Haniger","Mariners","150","658","574","158","33","3","24","87","86","67","141","7","3",".275",".358",".471",".829",".357","94.9","14274"
"Cody Bellinger","Dodgers","154","640","561","148","30","5","31","89","94","71","153","13","3",".264",".347",".499",".846",".356","46.2","15998"
"Andrew Benintendi","Red Sox","146","652","571","163","38","5","19","97","84","67","104","20","5",".286",".362",".471",".832",".355","28.8","17901"
"Yasiel Puig","Reds","139","564","506","138","26","2","28","76","82","51","106","16","6",".272",".341",".500",".842",".355","75.0","14225"
"Steve Pearce","Red Sox","74","291","256","69","15","1","12","38","41","29","53","0","0",".270",".350",".477",".828",".355","537.2","9957"
"Aaron Hicks","Yankees","139","599","506","129","23","2","26","88","78","82","116","12","4",".255",".359",".462",".821",".355","120.9","5297"
"Joey Gallo","Rangers","145","591","506","109","23","2","40","85","95","78","207","5","3",".215",".325",".508",".834",".354","103.8","14128"
"David Dahl","Rockies","135","557","512","143","28","5","26","73","82","38","135","13","4",".280",".330",".504",".834",".354","72.7","13744"
"George Springer","Astros","140","622","545","146","27","1","25","102","75","65","122","6","4",".268",".353",".460",".813",".352","66.0","12856"
"David Peralta","Diamondbacks","137","588","533","150","27","5","22","75","73","47","114","5","2",".282",".344",".477",".821",".352","138.2","2136"
"Jose Martinez","Cardinals","115","444","399","118","22","1","14","53","60","39","80","1","1",".295",".358",".457",".815",".351","224.9","7996"
"Kyle Schwarber","Cubs","132","534","452","106","18","2","28","71","72","75","151","3","2",".235",".347",".471",".818",".350","214.9","16478"
"Adam Eaton","Nationals","115","493","429","124","24","4","9","74","46","49","84","11","3",".289",".375",".421",".796",".350","204.1","11205"
"Eloy Jimenez","White Sox","126","518","476","136","28","2","22","64","76","33","97","1","1",".286",".334",".495",".829",".350","117.1","sa830373"
"Andrew McCutchen","Phillies","147","629","536","139","28","2","23","80","75","80","134","11","6",".260",".360",".450",".810",".350","142.0","9847"
"Lorenzo Cain","Brewers","141","623","551","162","28","3","12","89","53","63","99","27","6",".295",".373",".423",".796",".348","60.9","9077"
"Marcell Ozuna","Cardinals","146","622","571","163","26","3","26","76","93","44","119","3","2",".286",".338",".477",".816",".348","78.3","10324"
"Michael Brantley","Astros","128","544","489","145","30","2","14","71","69","44","58","11","2",".297",".356",".453",".809",".348","118.6","4106"
"Justin Upton","Angels","147","626","550","140","27","1","30","85","91","65","177","8","3",".255",".339",".472",".811",".347","97.8","5222"
"Ezequiel Carrera","Dodgers","24","97","84","22","4","1","4","13","11","10","22","2","1",".261",".347",".451",".798",".346","999.0","9048"
"Hunter Renfroe","Padres","129","512","469","119","26","2","31","65","81","34","126","3","1",".255",".308",".513",".821",".345","200.8","15464"
"Eddie Rosario","Twins","145","623","580","163","33","3","27","87","82","34","116","9","4",".282",".322",".491",".812",".345","88.8","12155"
