"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Trevor Story","Rockies","150","642","578","162","36","4","34","98","92","55","173","20","7",".281",".347",".535",".882",".365","12564"
"Xander Bogaerts","Red Sox","152","653","579","170","40","2","26","94","101","64","115","6","2",".293",".365",".504",".869",".363","12161"
"Ketel Marte","Diamondbacks","153","634","572","169","32","9","24","90","79","55","88","10","3",".295",".360",".508",".868",".363","13613"
"Francisco Lindor","Indians","153","694","624","178","40","3","33","111","88","56","101","22","7",".285",".346",".516",".862",".357","12916"
"Carlos Correa","Astros","138","584","509","138","28","2","29","80","95","64","131","3","1",".271",".352",".505",".857",".355","14162"
"Gleyber Torres","Yankees","152","620","557","152","27","1","33","89","97","52","136","6","3",".273",".337",".504",".841",".350","16997"
"Fernando Tatis Jr.","Padres","142","619","554","151","25","7","29","94","76","52","174","24","9",".273",".341",".498",".839",".350","19709"
"Manny Machado","Padres","155","666","595","161","29","3","33","86","96","62","118","6","3",".271",".341",".498",".839",".350","11493"
"Trea Turner","Nationals","145","656","597","172","35","5","20","100","68","52","125","39","9",".288",".349",".466",".815",".345","16252"
"Corey Seager","Dodgers","136","565","505","140","34","1","22","80","81","51","102","2","1",".277",".347",".479",".826",".344","13624"
"Marcus Semien","Athletics","150","671","593","160","34","4","24","101","78","70","108","10","5",".270",".348",".463",".811",".343","12533"
"Jorge Polanco","Twins","149","656","588","165","35","6","19","91","79","53","109","6","4",".281",".342",".459",".802",".338","13152"
"Bo Bichette","Blue Jays","144","641","588","163","41","3","22","90","72","46","133","17","9",".277",".331",".471",".802",".337","19612"
"Javier Baez","Cubs","151","617","576","159","36","5","31","92","96","32","166","13","6",".275",".315",".513",".828",".337","12979"
"Brendan Rodgers","Rockies","41","157","146","40","8","1","5","19","19","9","36","1","0",".277",".329",".449",".778",".330","17907"
"Paul DeJong","Cardinals","153","639","570","142","30","1","29","85","86","51","153","6","3",".249",".321",".458",".779",".328","18015"
"Asdrubal Cabrera","Nationals","99","396","354","93","20","1","13","49","50","36","78","2","1",".264",".333",".436",".769",".326","4962"
"Lourdes Gurriel Jr.","Blue Jays","140","563","523","138","27","2","25","73","80","26","130","8","4",".265",".306",".469",".775",".323","19238"
"Carter Kieboom","Nationals","103","412","369","95","19","1","13","49","46","38","103","3","2",".257",".331",".422",".752",".322","19958"
"Jean Segura","Phillies","142","613","569","164","33","3","13","81","63","33","75","13","5",".288",".332",".424",".756",".321","5933"
"Ryan Mountcastle","Orioles","43","171","160","43","9","1","7","20","22","8","42","1","0",".269",".307",".459",".767",".321","sa874734"
"Johan Camargo","Braves","87","296","270","72","15","1","9","35","39","22","57","1","1",".266",".324",".434",".759",".320","14950"
"Aledmys Diaz","Astros","65","241","217","57","12","1","8","31","32","18","34","2","1",".262",".321",".440",".761",".320","15937"
"Chris Taylor","Dodgers","98","371","331","83","21","3","10","48","42","33","104","7","2",".251",".324",".427",".751",".319","13757"
"Dansby Swanson","Braves","141","575","510","130","26","3","19","71","66","54","131","9","4",".255",".328",".429",".757",".318","18314"
