"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Cody Bellinger","Dodgers","157","658","560","162","32","4","42","107","121","90","125","4","14","4",".290",".388",".584",".973",".394","3.4","1.5","6.5","15998"
"Freddie Freeman","Braves","160","672","578","171","38","3","33","101","108","82","128","7","7","3",".296",".387",".543",".930",".383","3.4","0.3","4.4","5361"
"Anthony Rizzo","Cubs","160","672","567","161","33","3","31","94","106","78","95","22","6","4",".284",".388",".516",".904",".378","4.2","-2.2","4.0","3473"
"Matt Olson","Athletics","157","658","575","146","31","0","39","92","108","69","167","9","1","0",".254",".341",".513",".854",".354","6.7","-0.5","3.7","14344"
"Peter Alonso","Mets","158","665","577","146","28","2","45","95","110","68","171","16","1","1",".253",".345",".542",".887",".365","1.2","-0.8","3.6","19251"
"Paul Goldschmidt","Cardinals","162","679","582","156","29","2","30","94","94","86","166","6","7","3",".267",".365",".480",".845",".355","2.5","1.0","3.2","9218"
"Max Muncy","Dodgers","140","588","491","122","22","1","31","86","92","85","151","7","4","1",".248",".364",".486",".850",".358","-0.8","1.0","2.9","13301"
"Rhys Hoskins","Phillies","155","651","540","130","28","3","35","91","101","96","159","9","4","2",".241",".362",".496",".858",".359","1.6","0.1","2.8","16472"
"Carlos Santana","Indians","158","665","557","143","30","2","28","91","92","99","104","4","3","1",".256",".370",".469",".839",".353","0.5","-0.3","2.5","2396"
"Matt Carpenter","Cardinals","127","532","445","106","26","2","20","72","59","75","132","6","4","1",".238",".353",".443",".796",".338","-3.9","0.0","2.2","8090"
"Josh Bell","Pirates","158","665","573","156","34","4","30","89","104","82","125","4","2","2",".272",".364",".501",".865",".358","-5.2","-2.4","2.1","13145"
"Joey Votto","Reds","155","651","544","148","30","1","20","85","71","95","120","6","4","1",".272",".383",".443",".826",".353","1.7","-2.7","2.1","4314"
"Trey Mancini","Orioles","158","665","598","163","31","3","31","87","93","54","152","7","1","0",".273",".338",".490",".828",".346","-5.1","-0.3","1.9","15149"
"Edwin Encarnacion","White Sox","133","560","481","117","18","0","34","80","94","66","127","8","1","1",".243",".341",".494",".835",".349","0.0","-2.3","1.8","2151"
"Brandon Belt","Giants","130","546","464","114","28","3","17","66","59","73","122","4","4","2",".246",".351",".426",".777",".332","4.9","-0.3","1.7","10264"
"C.J. Cron","Tigers","132","553","501","132","27","1","29","67","82","35","120","12","1","1",".263",".322",".493",".816",".339","1.6","-1.3","1.6","12546"
"Jose Abreu","White Sox","153","644","587","160","33","2","30","79","100","39","137","12","2","1",".272",".327",".487",".814",".337","-2.5","-1.8","1.6","15676"
"Yuli Gurriel","Astros","153","644","598","170","39","2","23","81","96","32","75","7","5","2",".285",".326",".470",".796",".333","-3.5","-1.4","1.5","19198"
"Luke Voit","Yankees","108","455","394","102","18","1","20","61","64","51","118","7","0","1",".258",".351",".463",".814",".345","-0.9","-0.7","1.5","14811"
"Ji-Man Choi","Rays","110","462","394","98","21","1","17","54","58","58","111","4","3","2",".247",".346",".437",".783",".333","-1.0","-0.2","1.3","5452"
"Daniel Vogelbach","Mariners","93","392","329","78","13","0","18","49","53","58","97","2","0","0",".236",".352",".444",".796",".339","0.0","-0.3","1.1","14130"
"Justin Smoak","Brewers","110","464","392","93","19","0","22","57","67","65","111","4","0","0",".237",".349",".456",".806",".342","-0.2","-1.8","1.0","9054"
"Christian Walker","Diamondbacks","128","539","479","120","26","3","24","69","75","50","141","5","5","1",".252",".327",".464",".791",".330","0.8","0.5","1.0","13419"
"Victor Caratini","Cubs","61","256","227","60","12","1","7","29","30","23","52","3","1","0",".265",".336",".420",".756",".323","-1.0","-0.1","1.0","14968"
"Ryan McMahon","Rockies","135","567","507","134","28","3","22","69","78","51","157","3","6","2",".264",".333",".458",".790",".332","-1.5","0.4","1.0","15112"
"Marwin Gonzalez","Twins","77","322","291","78","17","1","10","38","42","25","68","3","2","1",".266",".330",".436",".766",".324","0.2","-0.3","0.9","5497"
"Wilmer Flores","Giants","85","355","326","91","20","0","12","39","45","21","42","4","1","1",".279",".327",".448",".774",".326","-2.2","-1.3","0.9","5827"
"Eric Thames","Nationals","108","455","393","94","20","2","23","62","64","51","139","7","4","2",".239",".336",".476",".812",".339","-2.1","0.0","0.8","3711"
"Michael Chavis","Red Sox","117","490","444","109","22","1","23","60","70","36","145","5","3","1",".245",".308",".456",".764",".320","-3.2","-0.2","0.7","17321"
"Jesus Aguilar","Marlins","100","420","368","90","17","0","18","49","59","43","100","4","0","0",".245",".325",".435",".761",".322","1.0","-0.7","0.7","11342"
