"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Daniel Murphy","Rockies","147","616","561","175","40","3","22","84","91","44","73","5","4","1",".311",".363",".510",".873",".369","-1.2","-0.5","2.0","69.8","4316"
"Jose Altuve","Astros","153","644","576","176","33","3","17","90","77","54","80","8","21","6",".306",".370",".464",".834",".359","-2.6","1.0","4.8","13.9","5417"
"Javier Baez","Cubs","152","637","592","161","31","5","31","86","99","33","165","6","18","7",".272",".316",".501",".817",".342","-0.1","2.0","3.9","16.4","12979"
"Gleyber Torres","Yankees","150","630","560","146","25","3","27","75","90","57","148","6","11","5",".261",".332",".459",".791",".339","-6.3","-0.3","2.8","66.1","16997"
"Robinson Cano","Mets","150","630","572","157","31","1","21","75","82","47","87","6","1","1",".275",".334",".445",".779",".333","-0.5","-1.9","3.0","127.5","3269"
"Brian Dozier","Nationals","133","560","493","121","27","3","22","73","73","57","115","5","10","4",".246",".328",".446",".774",".333","-2.1","1.3","2.4","138.7","9810"
"Ketel Marte","Diamondbacks","152","637","573","160","32","9","12","78","62","54","88","3","10","3",".279",".341",".431",".772",".333","-0.5","0.7","2.9","224.3","13613"
"Ozzie Albies","Braves","155","651","599","163","34","6","20","88","76","40","110","5","16","4",".272",".322",".452",".773",".332","6.6","2.5","3.8","58.4","16556"
"Garrett Hampson","Rockies","63","263","236","68","12","3","4","32","24","22","44","1","14","4",".286",".347",".413",".760",".331","1.0","1.3","0.9","193.8","19262"
"Scooter Gennett","Reds","147","616","567","153","29","3","21","75","83","39","127","4","5","2",".270",".320",".441",".761",".326","-4.3","-0.5","1.9","91.1","10339"
"Jonathan Schoop","Twins","117","490","457","120","25","1","21","60","71","22","110","6","1","1",".263",".303",".461",".764",".326","-0.9","-0.7","1.9","184.6","11265"
"Jeff McNeil","Mets","73","307","280","77","14","4","7","37","32","19","40","5","5","2",".275",".329",".424",".753",".325","-0.7","1.1","1.3","343.1","15362"
"Brandon Lowe","Rays","58","245","217","53","12","1","8","29","29","23","61","2","3","2",".246",".322",".426",".747",".324","-0.6","0.0","0.9","541.5","18882"
"Ben Zobrist","Cubs","100","418","367","97","20","3","8","48","43","44","55","2","3","2",".264",".343",".396",".739",".323","-0.7","-0.7","1.2","468.3","7435"
"Jedd Gyorko","Cardinals","61","256","228","57","10","1","9","28","33","24","54","1","1","1",".251",".323",".423",".746",".323","0.1","-0.6","1.0","577.9","10816"
"Rougned Odor","Rangers","152","637","580","144","29","3","27","82","83","41","146","9","15","9",".249",".307",".449",".756",".323","-1.8","0.4","1.9","133.9","12282"
"Adam Frazier","Pirates","145","610","547","150","31","5","10","73","57","48","87","6","9","7",".273",".337",".402",".739",".322","-0.7","-0.2","2.3","385.1","15223"
"Whit Merrifield","Royals","152","637","581","161","35","3","12","78","58","43","104","5","31","9",".278",".330",".411",".741",".321","2.7","3.4","3.1","30.5","11281"
"Kolten Wong","Cardinals","117","490","428","111","23","3","11","53","52","41","76","13","9","4",".259",".339",".401",".740",".321","2.3","0.8","2.2","532.3","12532"
"Cesar Hernandez","Phillies","153","644","555","144","20","5","10","79","50","78","131","4","17","6",".259",".352",".370",".722",".320","-2.1","0.9","2.2","167.1","10556"
"Joe Panik","Giants","133","560","501","138","27","4","9","62","52","46","53","5","5","2",".276",".340",".397",".737",".320","-0.4","0.0","2.2","572.8","11936"
"Howie Kendrick","Nationals","40","166","152","42","8","1","3","19","17","11","32","2","3","1",".279",".332",".404",".736",".319","-0.9","-0.2","0.3","597.8","4229"
"Brock Holt","Red Sox","60","252","221","58","12","1","4","27","27","25","51","4","5","3",".263",".345",".380",".725",".319","-1.5","-0.4","0.5","583.0","9345"
"Jason Kipnis","Indians","147","616","546","136","33","2","17","73","69","56","122","6","8","3",".250",".324",".409",".733",".319","-0.5","1.0","2.1","433.6","9776"
"Logan Forsythe","Rangers","8","35","30","8","2","0","1","4","3","4","8","0","0","0",".251",".344",".371",".715",".317","0.0","0.0","0.1","999.0","7185"
"DJ LeMahieu","Yankees","135","567","510","138","23","2","11","72","55","46","87","3","8","4",".271",".333",".391",".723",".316","4.7","-0.7","2.1","253.2","9874"
"Adalberto Mondesi","Royals","155","651","604","155","30","7","24","83","78","30","164","4","49","12",".257",".294",".449",".743",".316","2.6","5.9","3.6","41.5","13769"
"Yoan Moncada","White Sox","153","644","563","132","25","5","20","77","63","71","200","3","18","7",".235",".322",".402",".724",".316","-1.7","1.5","2.4","159.4","17232"
