"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Gary Sanchez","Yankees","131","550","487","119","22","1","31","74","84","51","129","7","3","1",".245",".322",".482",".804",".344","-1.5","-0.4","3.5","11442"
"Buster Posey","Giants","130","547","481","138","27","1","12","61","62","55","67","5","4","2",".287",".364",".427",".791",".342","6.9","-2.0","4.4","9166"
"Yasmani Grandal","","130","544","462","110","22","2","24","65","71","73","134","3","2","1",".237",".343",".444",".787",".341","0.2","-3.0","3.6","11368"
"Chris Iannetta","Rockies","76","320","272","67","15","1","11","38","39","39","79","4","1","0",".248",".350",".434",".784",".339","-0.5","-1.4","1.4","8267"
"Willson Contreras","Cubs","114","480","420","108","22","3","15","55","60","47","105","7","4","2",".256",".340",".426",".766",".332","0.2","-1.9","2.8","11609"
"Danny Jansen","Blue Jays","91","384","337","86","19","1","12","45","44","34","59","7","3","1",".256",".335",".422",".757",".329","-1.7","0.4","2.3","16535"
"Francisco Cervelli","Pirates","110","462","393","101","18","3","9","48","47","54","99","9","4","2",".256",".357",".383",".740",".328","-0.4","-0.8","2.6","5275"
"J.T. Realmuto","Marlins","130","547","498","133","29","3","17","60","62","35","104","8","5","2",".267",".322",".435",".758",".326","2.6","1.3","3.7","11739"
"Willians Astudillo","Twins","30","127","120","35","6","1","4","15","16","4","9","2","2","1",".290",".319",".441",".760",".326","-0.1","0.1","0.6","15608"
"Kurt Suzuki","Nationals","73","307","279","73","15","0","10","34","39","18","41","7","1","0",".264",".322",".423",".745",".323","-1.5","-1.2","1.3","8259"
"Tyler Flowers","Braves","91","382","332","82","16","1","11","41","43","34","97","11","1","0",".248",".335",".398",".733",".322","-2.1","-1.0","1.6","9134"
"Wilson Ramos","Mets","91","384","352","92","16","1","15","42","50","26","70","2","1","0",".260",".312",".438",".750",".321","1.6","-2.9","2.2","1433"
"Russell Martin","Blue Jays","40","166","140","31","6","0","6","19","18","21","41","3","1","0",".222",".334",".386",".720",".319","0.1","-0.7","0.6","4616"
"Yadier Molina","Cardinals","125","527","483","129","25","1","15","59","63","31","73","6","5","2",".267",".317",".414",".731",".316","5.3","-3.2","2.9","7007"
"Victor Caratini","Cubs","44","183","164","43","9","1","4","19","20","15","36","2","1","0",".261",".327",".396",".723",".315","0.1","0.1","0.8","14968"
"Salvador Perez","Royals","127","534","501","126","25","1","24","61","75","20","108","8","1","1",".251",".288",".452",".740",".315","7.4","-2.7","3.0","7304"
"Devin Mesoraco","","15","64","56","13","3","0","2","7","8","6","13","1","0","0",".232",".313",".414",".727",".314","-0.2","-0.1","0.3","5666"
"Mitch Garver","Twins","41","174","154","38","9","1","4","19","19","16","41","1","1","0",".248",".321",".400",".721",".314","-0.9","0.0","0.7","15161"
"Alex Avila","Diamondbacks","99","415","343","72","14","1","11","42","40","64","142","3","1","1",".211",".337",".359",".696",".311","1.8","-1.8","1.5","7476"
"Stephen Vogt","","15","64","58","14","3","0","2","7","8","5","12","1","0","0",".244",".308",".408",".716",".310","-0.3","-0.1","0.2","5000"
"Elias Diaz","Pirates","38","160","147","39","8","0","3","16","18","10","27","1","1","0",".268",".318",".396",".713",".310","-0.2","-0.1","0.7","11680"
"Jonathan Lucroy","","76","320","287","74","16","1","6","32","34","26","49","3","1","0",".257",".322",".388",".710",".309","1.8","-1.1","1.5","7870"
