"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Yasmani Grandal","White Sox","130","544","452","108","20","2","25","74","73","82","130","4","3","1",".239",".358",".459",".817",".347","0.3","-3.3","4.9","11368"
"J.T. Realmuto","Phillies","127","532","481","130","27","2","23","68","74","38","111","7","6","2",".269",".329",".477",".805",".337","5.1","1.7","4.2","11739"
"Buster Posey","Giants","119","498","442","121","26","1","11","54","54","46","72","5","2","1",".274",".347",".409",".756",".324","6.1","-2.3","3.5","9166"
"Christian Vazquez","Red Sox","110","463","425","112","23","1","14","54","57","29","87","3","5","2",".262",".311",".418",".729",".308","3.0","-1.5","2.8","9774"
"Gary Sanchez","Yankees","109","456","401","97","17","1","30","65","77","43","118","7","1","1",".242",".324",".516",".840",".347","-3.0","-0.4","2.5","11442"
"Roberto Perez","Indians","91","384","337","74","14","1","15","44","46","39","113","3","1","0",".219",".303",".399",".703",".300","4.0","-0.9","2.3","2900"
"Danny Jansen","Blue Jays","76","320","282","70","15","1","11","38","39","28","57","5","2","1",".249",".326",".431",".757",".321","0.6","0.2","2.3","16535"
"Carson Kelly","Diamondbacks","100","422","364","91","19","1","15","47","50","47","81","4","1","1",".249",".340",".428",".768",".322","0.9","-0.3","2.1","13620"
"Jason Castro","Angels","91","384","333","73","16","1","13","44","44","41","119","4","1","1",".219",".311",".386",".697",".301","1.3","-1.0","2.0","8722"
"Mike Zunino","Rays","100","422","377","77","16","1","18","46","51","33","145","5","1","1",".204",".276",".395",".671",".285","2.4","-0.5","2.0","13265"
"Yadier Molina","Cardinals","104","435","401","106","21","1","12","45","51","24","66","5","4","2",".263",".311",".410",".721",".306","4.2","-2.9","1.9","7007"
"Will Smith","Dodgers","99","416","368","83","16","1","20","49","57","37","105","6","3","1",".225",".304",".440",".744",".313","0.8","0.0","1.9","19197"
"Mitch Garver","Twins","91","384","338","86","18","1","17","52","52","38","93","3","1","0",".254",".333",".464",".797",".336","-2.9","-0.3","1.9","15161"
"Sean Murphy","Athletics","91","384","346","86","19","1","15","47","50","29","82","4","3","1",".250",".313",".441",".753",".317","0.0","0.4","1.8","19352"
"Jacob Stallings","Pirates","81","339","308","81","18","1","7","32","36","21","65","4","2","1",".262",".316",".393",".710",".300","0.2","0.0","1.7","13723"
"Tyler Flowers","Braves","62","262","228","53","10","1","8","27","30","25","77","7","1","0",".232",".322",".391",".713",".306","-2.2","-0.7","1.6","9134"
"Salvador Perez","Royals","130","547","512","129","26","1","27","66","82","22","109","8","2","1",".252",".291",".465",".756",".314","6.4","-2.7","1.6","7304"
"Travis d'Arnaud","Braves","86","360","326","84","17","1","14","42","47","26","73","3","1","1",".257",".316",".440",".756",".319","-0.6","-0.4","1.6","7739"
"Tom Murphy","Mariners","119","499","457","99","21","2","21","52","61","31","170","4","3","1",".217",".271",".407",".678",".284","0.6","0.3","1.5","13499"
"Wilson Ramos","Mets","100","422","383","105","18","1","16","48","56","32","67","3","1","0",".274",".332",".447",".779",".327","-1.3","-3.3","1.5","1433"
"Martin Maldonado","Astros","87","365","328","72","15","1","11","40","42","23","91","8","1","0",".220",".286",".374",".660",".282","2.7","-1.1","1.5","6887"
"Reese McGuire","Blue Jays","73","307","277","67","14","1","8","33","33","23","61","3","3","1",".241",".303",".387",".690",".295","-0.7","0.1","1.4","15674"
"Austin Hedges","Padres","56","237","215","46","9","1","10","23","28","16","70","2","1","1",".213",".272",".391",".663",".278","0.3","-0.2","1.4","12976"
"Max Stassi","Angels","53","224","198","41","8","0","7","24","24","20","68","3","1","1",".208",".288",".353",".641",".278","-1.0","-0.3","1.4","10059"
"Willson Contreras","Cubs","99","416","363","93","19","2","17","51","57","42","99","7","3","1",".257",".342",".457",".799",".337","-0.3","-1.3","1.3","11609"
"Austin Barnes","Dodgers","50","211","181","41","9","1","5","22","22","23","50","4","3","1",".226",".322",".364",".686",".297","-0.2","-0.2","1.2","12158"
"Manny Pina","Brewers","62","262","237","58","12","1","8","27","30","18","61","4","1","1",".245",".307",".400",".707",".300","1.6","-0.7","1.2","2829"
"Alex Avila","Twins","52","218","179","38","7","0","7","27","24","34","72","2","1","1",".214",".342",".379",".722",".310","1.5","-0.8","1.1","7476"
"Jorge Alfaro","Marlins","107","448","411","100","18","2","14","43","51","22","144","9","4","2",".243",".294",".399",".693",".293","-1.3","-1.0","1.1","12180"
"Victor Caratini","Cubs","61","256","227","60","12","1","7","28","30","22","53","3","1","0",".263",".334",".420",".754",".322","-0.3","-0.1","1.0","14968"
