"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Nelson Cruz","Twins","150","630","554","156","26","1","37","91","107","60","137","11","1","1",".282",".361",".533",".895",".378","0.0","-3.2","3.2","2434"
"Shohei Ohtani","Angels","117","490","430","117","23","2","26","69","78","52","131","4","10","4",".273",".353",".514",".868",".369","0.0","0.5","2.7","19755"
"Khris Davis","Athletics","157","658","579","139","28","1","40","90","107","65","187","9","1","1",".240",".323",".500",".823",".349","0.0","-1.9","2.2","9112"
"Edwin Encarnacion","Mariners","137","574","493","117","19","1","30","74","84","70","131","6","2","1",".238",".337",".463",".800",".344","0.0","-3.0","1.8","2151"
"C.J. Cron","Twins","120","504","456","119","25","1","24","66","73","32","119","10","3","1",".261",".322",".480",".801",".342","1.5","-0.9","1.7","12546"
"Shin-Soo Choo","Rangers","152","637","539","137","25","1","20","86","65","79","146","9","7","3",".254",".356",".418",".775",".340","-0.1","-0.5","1.1","3174"
"Miguel Sano","Twins","142","595","518","122","24","1","29","76","84","68","204","4","1","0",".237",".327",".457",".784",".337","-2.3","-1.6","2.5","12164"
"Dan Vogelbach","Mariners","27","112","96","24","4","0","4","13","14","14","25","1","0","0",".247",".347",".426",".773",".336","0.0","-0.1","0.4","14130"
"Corey Dickerson","Pirates","142","595","552","151","33","4","21","72","76","32","116","4","6","3",".275",".317",".466",".783",".331","1.2","-0.7","2.0","10762"
"Kendrys Morales","Blue Jays","150","630","561","140","27","1","28","77","84","57","136","6","3","1",".249",".322",".450",".772",".330","0.0","-4.6","0.7","8610"
"Evan Gattis","","83","350","317","78","15","0","18","41","50","25","76","4","1","1",".246",".305",".463",".768",".327","0.0","-1.0","0.4","11003"
"Ji-Man Choi","Rays","100","420","363","88","19","1","15","49","50","48","108","3","3","1",".241",".333",".418",".751",".327","0.1","-0.4","0.8","5452"
"Mark Trumbo","Orioles","142","595","541","134","23","1","29","70","83","44","149","4","1","1",".247",".306",".455",".760",".326","0.0","-1.5","0.7","6876"
"Yandy Diaz","Rays","107","448","385","104","17","2","6","47","42","55","89","3","3","1",".271",".363",".371",".734",".326","1.5","-0.2","1.4","16578"
"Robbie Grossman","","33","140","119","30","6","0","3","15","14","18","28","1","1","0",".251",".354",".378",".731",".325","-1.3","-0.2","0.2","5254"
"Tyler Austin","Twins","42","175","157","38","8","1","8","21","23","14","55","1","1","1",".239",".305",".443",".748",".321","0.0","0.1","0.3","11850"
"Ryan O'Hearn","Royals","147","616","548","129","27","2","23","68","74","57","168","4","2","1",".235",".309",".422",".731",".316","-1.4","-0.3","0.5","16442"
"Daniel Palka","White Sox","108","455","412","95","15","2","23","53","62","36","145","3","3","2",".231",".294",".446",".740",".315","-2.6","-0.1","0.6","14897"
"Matt Holliday","","50","210","184","44","9","0","7","23","24","21","53","2","1","0",".237",".321",".399",".721",".315","-3.5","-0.9","-0.1","1873"
"Christian Walker","Diamondbacks","43","180","163","39","8","1","7","20","22","13","50","2","1","1",".239",".298",".425",".724",".311","0.1","0.1","0.2","13419"
"Albert Pujols","Angels","100","420","387","96","16","0","17","48","57","26","63","3","1","1",".249",".299",".421",".720",".308","-0.4","-2.9","0.1","1177"
"Matt Davidson","","83","350","313","67","14","0","15","37","44","29","117","4","1","0",".215",".287",".403",".691",".300","0.0","-0.7","-0.4","7226"
"Francisco Mejia","Padres","77","322","297","73","14","1","9","32","34","17","64","3","2","1",".247",".294",".394",".687",".297","-0.4","0.4","1.1","16403"
"Jose Rondon","White Sox","33","140","130","32","6","1","4","15","16","7","34","1","2","1",".242",".284",".398",".683",".294","0.3","-0.1","0.3","14140"
"Victor Reyes","Tigers","47","196","184","48","8","2","2","19","19","8","35","1","6","2",".261",".295",".362",".656",".285","-0.2","0.2","0.1","15487"
"Terrance Gore","Royals","2","7","6","1","0","0","0","1","0","0","2","0","1","0",".216",".276",".279",".554",".249","-0.1","0.0","0.0","13658"
