"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Mike Trout","Angels","163","686","537","159","30","3","45","126","113","128","138","12","14","5",".297",".439",".611","1.050",".427","-1.8","3.3","8.9","10155"
"Mookie Betts","Red Sox","160","672","572","170","40","4","31","116","93","85","97","5","18","5",".297",".390",".543",".933",".387","12.5","4.7","6.6","13611"
"Cody Bellinger","Dodgers","157","658","559","160","31","3","43","102","118","89","120","4","12","5",".287",".385",".584",".969",".392","2.0","1.2","5.9","15998"
"Christian Yelich","Brewers","158","665","564","172","34","3","36","111","99","85","136","7","22","7",".305",".400",".568",".968",".397","0.5","3.4","5.7","11477"
"Aaron Judge","Yankees","157","658","544","138","23","1","40","105","99","100","202","6","6","3",".254",".373",".525",".898",".373","8.2","0.5","5.2","15640"
"Juan Soto","Nationals","160","672","555","162","32","4","36","101","110","106","127","4","9","4",".292",".406",".555",".962",".399","-2.0","0.1","5.1","20123"
"George Springer","Astros","153","644","552","151","27","2","33","105","86","74","128","8","8","3",".274",".365",".510",".874",".367","-1.7","0.8","4.9","12856"
"Kris Bryant","Cubs","157","658","555","152","34","2","31","99","89","80","147","15","4","2",".273",".377",".508",".884",".371","-2.4","2.9","4.6","15429"
"Bryce Harper","Phillies","158","665","545","141","29","1","41","103","103","107","166","5","11","4",".259",".383",".541",".924",".380","0.0","0.4","4.4","11579"
"Ronald Acuna Jr.","Braves","158","665","580","164","28","3","36","104","91","68","162","7","29","11",".282",".363",".527",".890",".370","1.6","3.0","4.3","18401"
"Giancarlo Stanton","Yankees","147","616","535","143","24","1","49","101","115","68","181","7","3","1",".268",".355",".590",".944",".385","0.4","-0.4","4.3","4949"
"J.D. Martinez","Red Sox","157","658","578","174","35","2","40","103","121","70","150","4","3","1",".301",".378",".576",".954",".390","-0.1","-3.1","3.8","6184"
"Max Kepler","Twins","152","637","555","144","34","1","30","93","89","66","109","7","6","3",".260",".343",".490",".834",".349","6.2","1.3","3.7","12144"
"Jeff McNeil","Mets","152","637","573","165","35","3","20","85","70","41","85","14","9","4",".288",".348",".462",".810",".342","-0.3","1.1","3.4","15362"
"Ramon Laureano","Athletics","152","637","572","151","33","2","25","81","84","47","159","9","15","6",".264",".327",".457",".785",".331","1.0","2.3","3.4","17128"
"Byron Buxton","Twins","143","602","547","143","35","4","22","81","81","41","153","5","26","7",".262",".317",".461",".779",".326","6.3","4.4","3.4","14161"
"Joey Gallo","Rangers","153","644","536","124","23","2","45","94","105","94","226","6","8","3",".230",".349",".533",".882",".363","2.4","2.3","3.4","14128"
"Tommy Pham","Padres","150","630","539","146","27","3","24","89","73","76","136","7","18","6",".271",".366",".466",".832",".353","1.9","1.4","3.2","2967"
"Kyle Schwarber","Cubs","142","595","506","128","23","2","37","87","92","76","158","5","5","2",".253",".354",".528",".881",".362","1.4","0.4","3.2","16478"
"Marcell Ozuna","","153","644","576","159","27","2","33","84","102","59","134","3","7","3",".276",".344",".501",".845",".353","1.9","0.2","3.2","10324"
"Joc Pederson","Dodgers","118","497","429","110","22","2","31","76","75","52","105","8","3","2",".256",".346",".538",".884",".365","2.1","0.8","3.2","11899"
"Michael Conforto","Mets","143","602","509","128","27","1","31","82","85","79","143","8","5","2",".251",".358",".489",".847",".354","-0.6","0.9","3.1","16376"
"Luis Robert","White Sox","147","616","568","155","27","6","28","82","88","31","156","9","24","10",".273",".317",".488",".805",".335","0.0","0.9","3.1","sa3003396"
"Rhys Hoskins","Phillies","157","658","544","132","27","3","36","93","96","99","154","9","4","2",".242",".365",".499",".864",".362","2.2","0.3","3.1","16472"
"Eloy Jimenez","White Sox","145","609","559","156","27","2","34","82","98","38","138","5","1","1",".279",".329",".520",".848",".351","-2.4","0.8","2.9","17484"
"Starling Marte","Pirates","150","630","577","166","31","5","21","82","78","34","113","12","26","9",".287",".336",".468",".804",".338","-3.3","1.6","2.8","9241"
"Austin Meadows","Rays","145","609","545","148","29","5","27","85","82","50","124","6","14","6",".272",".337",".492",".830",".344","-2.8","0.6","2.7","15672"
"Lorenzo Cain","Brewers","150","630","558","154","29","1","15","81","63","57","108","7","19","6",".277",".349",".415",".763",".328","3.4","1.5","2.7","9077"
"Michael Brantley","Astros","145","609","549","158","33","2","20","83","85","48","71","5","5","2",".289",".349",".466",".816",".344","-1.4","0.1","2.6","4106"
"Andrew Benintendi","Red Sox","157","658","576","157","39","4","19","93","79","68","129","6","13","5",".273",".353",".452",".805",".342","1.3","1.3","2.6","17901"
"Mark Canha","Athletics","147","616","532","133","28","3","26","80","83","62","144","14","4","2",".251",".342",".460",".803",".339","-0.7","-0.2","2.6","11445"
"Eddie Rosario","Twins","152","637","597","169","34","2","30","86","103","32","105","2","5","2",".284",".320",".499",".819",".339","-1.2","2.2","2.5","12155"
"Jorge Soler","Royals","153","644","556","143","30","1","35","87","96","73","173","8","4","2",".257",".349",".503",".852",".356","-0.1","-0.5","2.4","14221"
"Brian Anderson","Marlins","153","644","567","147","33","2","20","75","74","58","137","12","5","2",".259",".339",".432",".771",".328","1.2","0.1","2.3","18289"
"Bryan Reynolds","Pirates","155","651","583","168","34","4","18","82","74","53","138","6","7","3",".288",".351",".453",".804",".341","-1.2","0.5","2.3","19326"
"Mitch Haniger","Mariners","152","637","555","138","30","2","25","80","75","64","157","10","7","3",".249",".335",".445",".780",".330","-1.0","-0.5","2.2","14274"
"Kevin Kiermaier","Rays","137","574","518","124","23","7","17","65","64","41","133","7","18","7",".240",".302",".410",".712",".301","5.9","2.6","2.2","11038"
"Alex Verdugo","Dodgers","123","518","468","133","27","2","16","63","65","39","71","4","6","2",".284",".342",".451",".793",".335","3.3","0.4","2.1","17027"
"Adam Eaton","Nationals","150","630","546","154","29","5","15","86","63","63","109","11","12","4",".282",".366",".433",".799",".344","-1.3","2.1","2.1","11205"
"Jackie Bradley Jr.","Red Sox","152","637","555","133","32","3","22","80","79","61","167","11","12","4",".240",".325",".426",".751",".318","0.9","1.9","2.1","12984"
"Andrew McCutchen","Phillies","135","567","482","125","24","2","26","80","71","72","126","6","8","3",".258",".359",".476",".835",".353","-2.3","-0.9","2.1","9847"
"Victor Robles","Nationals","157","658","590","154","33","3","18","76","76","42","138","16","29","12",".262",".326",".422",".748",".318","3.6","1.3","2.0","18363"
"Trey Mancini","Orioles","158","665","595","162","31","2","31","87","91","55","150","7","1","1",".272",".338",".486",".824",".345","-3.2","-0.5","2.0","15149"
"Jason Heyward","Cubs","152","637","558","146","27","4","18","74","72","65","106","5","7","3",".261",".342",".419",".761",".324","4.4","1.7","2.0","4940"
"David Peralta","Diamondbacks","142","595","535","150","32","4","21","76","76","47","119","6","3","1",".280",".342",".471",".814",".341","0.1","0.2","2.0","2136"
"Whit Merrifield","Royals","160","672","609","172","36","6","14","87","63","47","112","6","23","7",".282",".337",".427",".763",".323","-5.2","2.7","2.0","11281"
"Randal Grichuk","Blue Jays","133","560","513","126","31","3","31","73","86","35","151","6","3","1",".245",".298",".499",".797",".329","-1.3","0.2","1.9","10243"
"Brett Gardner","Yankees","122","511","448","110","20","4","17","67","58","50","100","5","10","3",".246",".327",".422",".748",".319","-1.5","2.3","1.8","9927"
"Yasiel Puig","","127","532","476","127","24","2","24","67","77","46","110","4","14","6",".268",".335",".479",".814",".341","-0.1","-1.0","1.8","14225"
"Adam Frazier","Pirates","135","567","508","141","29","5","10","66","54","44","76","7","7","4",".277",".340",".412",".752",".321","-1.4","1.0","1.8","15223"
"Harrison Bader","Cardinals","112","471","414","99","18","2","16","50","54","41","134","9","11","5",".238",".318",".407",".726",".308","5.6","1.4","1.8","18030"
"Brandon Nimmo","Mets","122","511","419","97","21","3","15","63","51","74","137","10","7","3",".231",".358",".399",".757",".329","-5.2","1.0","1.7","12927"
"Charlie Blackmon","Rockies","148","623","558","164","31","5","28","96","79","48","114","8","8","3",".294",".356",".520",".877",".365","-5.0","0.3","1.7","7859"
"Justin Upton","Angels","148","623","546","131","25","1","30","81","91","66","187","6","5","2",".240",".325",".456",".781",".329","-3.3","0.7","1.7","5222"
"Howie Kendrick","Nationals","97","406","368","113","23","1","13","52","56","28","65","5","4","2",".307",".361",".484",".846",".356","0.3","-1.1","1.7","4229"
"Khris Davis","Athletics","152","637","565","137","24","1","39","86","104","60","178","7","1","0",".243",".321",".497",".818",".339","0.0","-1.9","1.6","9112"
"Franmil Reyes","Indians","140","588","525","136","24","1","37","83","95","54","153","3","1","1",".260",".329",".517",".846",".350","0.0","-0.6","1.6","14566"
"Trent Grisham","Padres","123","518","448","110","20","4","18","65","55","58","111","4","10","4",".245",".335",".427",".761",".324","3.5","0.8","1.6","18564"
"Nicholas Castellanos","","153","644","586","161","42","2","26","86","87","45","145","6","3","2",".275",".331",".490",".821",".342","-7.1","-0.3","1.6","11737"
"Ian Happ","Cubs","120","504","434","103","20","2","22","63","65","59","147","4","7","3",".238",".332",".444",".777",".328","-0.1","0.1","1.6","17919"
"Nomar Mazara","White Sox","125","525","475","121","23","1","25","67","78","40","118","5","3","1",".255",".318",".467",".784",".327","-0.9","-0.6","1.5","14553"
"Lourdes Gurriel Jr.","Blue Jays","142","595","553","147","30","2","27","75","84","28","138","7","9","4",".265",".307",".472",".780",".325","-0.9","0.4","1.5","19238"
"Kyle Tucker","Astros","102","427","382","95","19","2","21","59","61","35","103","4","14","6",".248",".315",".471",".786",".328","0.4","0.5","1.5","18345"
"Nick Senzel","Reds","139","584","525","137","30","4","17","72","61","46","135","5","17","7",".260",".323",".431",".754",".319","-0.1","0.4","1.4","19293"
"Jesse Winker","Reds","115","483","417","117","22","2","17","62","57","54","77","6","3","1",".280",".368",".461",".830",".352","-4.3","-1.0","1.4","13590"
"Stephen Piscotty","Athletics","98","413","367","96","22","1","16","52","55","36","87","5","2","1",".262",".334",".460",".793",".335","-1.4","-0.7","1.4","13367"
"Ender Inciarte","Braves","132","553","495","131","24","3","10","62","52","46","85","4","16","7",".265",".330",".387",".717",".308","1.3","2.3","1.3","4922"
"Kole Calhoun","Diamondbacks","138","581","504","123","25","2","24","71","71","64","140","6","4","2",".243",".332",".441",".774",".326","2.0","-0.1","1.3","11200"
"Austin Hays","Orioles","110","462","430","111","22","1","20","55","61","22","99","4","8","4",".258",".299",".458",".756",".316","-1.3","0.3","1.3","19363"
"J.D. Davis","Mets","120","504","452","119","23","1","21","61","67","42","116","4","3","1",".264",".329",".461",".790",".332","-3.8","-0.7","1.3","16219"
"A.J. Pollock","Dodgers","107","448","405","103","22","2","18","57","58","31","95","7","7","2",".254",".316",".449",".765",".321","-2.2","1.1","1.3","9256"
"Gregory Polanco","Pirates","133","560","496","123","28","3","22","68","71","54","127","4","9","3",".249",".325",".448",".773",".325","-0.2","0.5","1.2","12907"
"Corey Dickerson","Marlins","135","567","523","142","33","4","20","66","70","32","113","4","4","2",".272",".317",".463",".780",".324","-0.8","-0.8","1.2","10762"
"Willie Calhoun","Rangers","133","560","504","138","26","2","26","73","81","45","85","4","2","1",".273",".335",".483",".818",".342","-3.1","-0.4","1.2","17838"
"Kevin Pillar","","113","476","444","118","27","2","14","52","59","20","76","6","10","4",".264",".302",".429",".732",".307","0.2","1.7","1.2","12434"
"Steven Souza Jr.","","120","504","438","106","20","2","22","64","66","54","145","6","8","3",".243",".331",".450",".780",".330","-2.3","1.2","1.2","5667"
"Alex Dickerson","Giants","114","480","431","117","24","4","14","53","59","37","101","6","3","1",".272",".336",".448",".784",".330","-2.7","-0.2","1.2","12649"
"Ryan Braun","Brewers","128","539","488","131","28","2","25","70","81","40","111","5","9","3",".268",".329",".488",".817",".340","-2.3","-1.1","1.1","3410"
"Hunter Renfroe","Rays","137","574","521","120","24","1","31","71","84","42","168","5","4","2",".231",".293",".460",".753",".313","0.0","-0.3","1.1","15464"
"Anthony Santander","Orioles","140","588","545","143","30","2","24","69","79","32","117","5","5","2",".262",".306",".454",".760",".318","-0.5","0.5","1.1","14551"
"Scott Kingery","Phillies","150","630","576","138","30","3","19","68","72","39","167","6","16","6",".240",".294",".405",".699",".295","3.1","2.4","1.0","17975"
"Austin Riley","Braves","94","395","359","90","18","1","20","47","58","27","115","4","2","1",".249",".307",".475",".781",".324","-2.0","0.2","1.0","18360"
"Nick Markakis","Braves","145","609","539","153","33","2","14","70","75","59","86","4","2","1",".284",".357",".432",".789",".336","-4.7","-1.9","1.0","5930"
"Oscar Mercado","Indians","143","602","546","140","29","3","15","75","66","41","116","7","22","10",".256",".313",".402",".715",".305","0.8","0.8","1.0","16375"
"Avisail Garcia","Brewers","121","508","463","125","23","2","21","62","71","33","120","7","7","3",".269",".324",".462",".786",".329","-1.2","-0.8","1.0","5760"
