"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Manny Machado","","150","630","562","162","32","2","33","90","97","59","98","3","9","4",".288",".356",".529",".885",".371","-4.2","-0.5","5.0","11493"
"Francisco Lindor","Indians","157","658","582","166","35","2","29","101","88","61","87","6","20","8",".286",".358",".505",".863",".366","10.0","1.1","6.5","12916"
"Trevor Story","Rockies","153","644","579","157","36","4","32","90","101","53","176","6","19","7",".271",".335",".515",".850",".359","-1.9","1.1","3.6","12564"
"Corey Seager","Dodgers","152","637","560","159","35","2","24","92","76","62","115","6","4","2",".284",".359",".480",".839",".359","3.5","1.5","5.7","13624"
"Xander Bogaerts","Red Sox","153","644","573","164","37","3","20","86","87","58","112","6","10","4",".286",".355",".465",".820",".352","-2.6","1.9","4.3","12161"
"Carlos Correa","Astros","153","644","560","148","32","2","26","86","91","74","133","5","4","2",".265",".352",".466",".818",".351","-2.4","1.0","4.8","14162"
"Jung Ho Kang","Pirates","55","230","204","54","11","1","9","27","31","19","50","5","2","1",".265",".339",".462",".800",".345","-0.4","-0.1","1.3","17182"
"Trea Turner","Nationals","153","644","577","165","31","6","17","93","66","53","116","5","40","11",".287",".350",".447",".797",".344","0.4","5.0","4.4","16252"
"Ketel Marte","Diamondbacks","142","595","532","149","29","8","12","66","65","52","83","4","8","3",".280",".346",".435",".781",".336","0.0","0.4","2.8","13613"
"Javier Baez","Cubs","152","637","591","159","31","5","30","81","97","34","162","6","17","7",".269",".313",".488",".801",".335","-1.4","2.1","3.4","12979"
"Ian Desmond","Rockies","115","485","437","117","19","4","17","59","62","38","115","5","15","5",".268",".330",".448",".778",".335","1.0","1.1","0.9","6885"
"Asdrubal Cabrera","Rangers","142","595","537","145","33","1","19","74","73","46","108","5","2","1",".271",".332",".445",".777",".334","0.1","-1.7","2.3","4962"
"Garrett Hampson","Rockies","63","263","237","69","12","3","4","30","28","21","42","2","12","4",".291",".350",".417",".766",".334","0.3","0.8","0.9","19262"
"Jurickson Profar","Athletics","147","616","544","141","31","4","16","73","70","55","92","9","8","3",".259",".335",".420",".755",".328","-1.5","0.7","2.9","10815"
"Didi Gregorius","Yankees","70","294","269","71","13","1","11","36","40","19","39","3","4","2",".265",".317",".446",".763",".326","0.4","1.0","1.6","6012"
"Jorge Polanco","Twins","148","623","561","153","31","5","14","80","64","49","101","4","15","7",".272",".332",".419",".752",".326","-5.9","0.7","2.5","13152"
"Paul DeJong","Cardinals","143","602","548","139","29","1","25","71","83","39","150","8","2","1",".254",".311",".449",".760",".325","2.4","0.3","3.3","18015"
"Jean Segura","Phillies","152","637","586","166","30","3","14","77","62","35","87","7","20","8",".284",".330",".414",".744",".322","-5.9","1.2","2.4","5933"
"Aledmys Diaz","Astros","32","133","122","32","7","0","4","16","17","8","20","1","2","1",".263",".312",".435",".747",".320","-0.2","-0.2","0.6","15937"
"Troy Tulowitzki","Yankees","92","385","349","88","15","1","15","45","50","28","73","3","2","1",".252",".312",".426",".738",".318","-0.8","-1.2","1.5","3531"
"Marcus Semien","Athletics","153","644","576","145","31","2","19","76","72","57","128","3","12","5",".251",".319",".412",".731",".317","-6.6","1.0","2.5","12533"
"Eduardo Escobar","Diamondbacks","152","637","576","145","36","4","19","70","75","49","130","5","4","2",".252",".314",".428",".742",".317","0.0","0.5","2.0","6153"
"Andrelton Simmons","Angels","155","651","596","165","31","4","12","72","70","43","60","5","11","4",".277",".328",".399",".727",".316","11.0","-0.1","4.2","10847"
"Daniel Robertson","Rays","90","378","325","79","16","1","8","41","38","41","86","7","3","1",".243",".337",".374",".711",".316","0.5","0.1","1.6","14145"
"Chris Taylor","Dodgers","148","623","553","137","32","5","14","68","64","55","164","6","12","5",".248",".321",".401",".722",".315","0.3","2.4","2.5","13757"
"Lourdes Gurriel Jr.","Blue Jays","147","616","575","153","29","1","21","76","68","25","128","6","8","3",".266",".302",".429",".730",".313","-4.1","0.4","2.1","19238"
"Addison Russell","Cubs","88","371","329","81","18","1","10","38","42","33","76","4","3","1",".248",".321",".402",".723",".313","3.3","0.6","1.8","14106"
"Elvis Andrus","Rangers","155","651","592","157","34","4","11","73","69","46","97","5","14","6",".266",".322",".394",".715",".312","-4.6","1.8","1.7","8709"
"Jose Peraza","Reds","153","644","597","168","28","4","11","72","66","30","76","8","22","9",".281",".322",".398",".720",".312","-1.8","2.0","2.2","13593"
"Zack Cozart","Angels","150","630","560","136","27","4","18","77","67","55","105","6","3","1",".243",".315",".400",".715",".311","8.1","-0.3","3.1","2616"
"Adalberto Mondesi","Royals","155","651","606","153","29","7","23","83","76","32","165","4","45","14",".253",".292",".436",".729",".311","2.1","4.3","3.1","13769"
"Brandon Crawford","Giants","152","637","571","146","33","3","15","61","69","53","128","6","6","3",".255",".322",".402",".725",".310","3.4","0.2","2.8","5343"
"Jonathan Villar","Orioles","142","595","531","133","24","2","16","69","58","52","155","4","32","10",".250",".319",".390",".709",".310","-10.7","2.1","1.2","10071"
