"","player","team","error"
"1","Colin McHugh","bellevegas","not matched"
"2","AJ Reed","bellevegas","not matched"
"3","Victor Robles","isotopes","not matched"
"4","Mkevin Maitan","deano","not matched"
"5","Ryon Healey","hermanos","not matched"
"6","Brady Aiken","hermanos","not matched"
"7","Ozzie Albies","bears","not matched"
"8","Brendan Rodgers","marmaduke","not matched"
"9","Nathan Karns","pk dodgers","not matched"
"10","Cody Bellinger","pk dodgers","not matched"
"11","Jared Eickhoff","dembums","not matched"
"12","Jacob Nottingham","counsel","not matched"
"13","Randall Grichuk","counsel","not matched"
"14","Gleybar Torres","counsel","not matched"
"15","Greg Bird","sturgeon","not matched"
"16","David Dahl ","sturgeon","not matched"
"17","Harrison Bader","sturgeon","not matched"
"18","Aldemys Diaz","baycity","not matched"
"19","Rafael Devers","baycity","not matched"
"20","D.J. LeMahieu","deener","not matched"
"21","Nick Descalfini","deener","not matched"
"22","Sean Newcomb","deener","not matched"
"23","A.J. Puk","deener","not matched"
"24","Eric Thames","bears","not matched"
"25","Zach Greinke","dembums","not matched"
