"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Joey Votto","Reds","154","679","549","175","35","2","27","99","117","120","120","5","5","1",".319",".442",".537",".979",".414","0.0","0.1","6.0","4314"
"Paul Goldschmidt","Diamondbacks","154","673","558","173","38","2","31","97","119","105","143","4","25","4",".310",".419",".552",".971",".405","3.0","2.9","5.7","9218"
"Anthony Rizzo","Cubs","155","678","574","167","40","3","33","98","119","78","109","21","5","2",".291",".392",".544",".936",".394","5.0","-0.2","5.5","3473"
"Freddie Freeman","Braves","155","682","584","172","40","4","30","97","112","85","151","9","5","2",".295",".390",".531",".921",".389","3.0","-0.2","5.0","5361"
"Miguel Cabrera","Tigers","153","674","590","184","36","1","31","103","110","74","109","4","3","2",".312",".389",".534",".923",".386","3.0","-0.6","5.3","1744"
"Edwin Encarnacion","Indians","146","631","543","145","32","1","35","97","110","77","118","5","3","1",".267",".360",".523",".883",".372","-1.0","-0.2","3.3","2151"
"Chris Davis","Orioles","155","666","567","142","28","0","40","101","118","85","205","9","4","2",".250",".354",".511",".866",".365","2.0","-0.4","3.6","9272"
"Brandon Belt","Giants","149","651","553","153","37","6","19","86","89","88","145","6","4","2",".277",".379",".468",".848",".365","5.0","-0.4","4.0","10264"
"Jose Abreu","White Sox","151","658","592","174","33","2","29","94","101","47","126","14","1","0",".294",".357",".503",".861",".362","-3.0","-0.2","3.0","15676"
"Hanley Ramirez","Red Sox","136","580","517","146","29","1","26","81","93","54","105","6","5","1",".282",".355",".493",".848",".361","-3.0","0.3","2.1","8001"
"Carlos Santana","Indians","154","686","578","144","34","2","28","113","94","101","109","3","6","2",".249",".362",".460",".822",".354","1.0","0.0","3.0","2396"
"Eric Hosmer","Royals","156","682","613","177","33","3","25","90","94","61","123","3","5","2",".289",".353",".475",".828",".352","-1.0","-0.2","2.6","3516"
"A.J. Reed","Astros","93","376","326","84","20","2","16","52","56","43","90","3","1","0",".258",".346",".479",".824",".351","-3.0","0.0","1.3","16246"
"Dan Vogelbach","Mariners","113","457","392","102","22","1","17","60","65","58","98","3","0","0",".260",".357",".452",".808",".348","-3.0","-0.3","1.6","14130"
"Gregory Bird","Yankees","135","562","492","130","28","1","23","75","82","58","137","6","0","0",".264",".345",".465",".811",".347","-3.0","-0.3","1.7","14131"
"Josh Bell","Pirates","136","597","515","144","25","5","15","71","72","73","81","3","4","2",".280",".369",".435",".803",".346","-9.0","-0.4","1.2","13145"
"Wil Myers","Padres","150","661","582","153","33","3","25","87","88","73","144","3","20","3",".263",".346",".459",".805",".346","4.0","2.4","3.1","10047"
"Justin Bour","Marlins","139","587","522","141","29","0","26","80","89","60","113","2","1","0",".270",".346",".475",".821",".345","2.0","-0.1","2.1","9744"
"Lucas Duda","Mets","120","503","435","110","25","0","21","67","74","56","110","9","0","0",".253",".348",".455",".803",".343","0.0","-0.3","1.7","2502"
"Kennys Vargas","Twins","99","412","357","89","19","1","17","54","58","49","119","3","1","1",".249",".342",".451",".793",".340","0.0","-0.4","0.9","12101"
"Tommy Joseph","Phillies","140","590","533","140","28","1","27","78","87","40","122","10","1","1",".263",".322",".471",".793",".338","0.0","-0.5","1.5","10349"
"Mike Napoli","Rangers","143","602","523","129","21","1","26","79","87","71","155","5","4","1",".247",".341",".440",".780",".337","-3.0","0.0","1.2","3057"
"Joe Mauer","Twins","133","589","510","144","27","3","10","70","62","75","88","1","4","0",".282",".374",".406",".779",".336","2.0","0.4","1.9","1857"
"Byung-ho Park","Twins","99","414","362","88","17","1","18","54","59","37","117","12","1","0",".243",".331",".445",".776",".335","1.0","0.0","1.0","18497"
"Tyler Austin","Yankees","84","332","298","77","13","2","13","43","46","30","87","2","2","0",".258",".328",".446",".775",".333","-2.0","0.2","1.0","11850"
"John Jaso","Pirates","99","422","362","98","18","2","5","39","46","53","71","5","1","1",".271",".370",".373",".743",".331","-3.0","-0.5","0.8","5887"
"Adrian Gonzalez","Dodgers","146","628","562","155","30","0","19","68","78","56","114","4","0","0",".276",".342",".431",".773",".330","1.0","-0.4","1.6","1908"
"C.J. Cron","Angels","132","552","512","137","26","2","21","66","73","29","101","7","4","2",".268",".313",".449",".763",".326","1.0","-0.3","1.4","12546"
"Albert Pujols","Angels","139","596","543","141","22","0","26","70","80","44","76","4","4","1",".260",".317",".444",".761",".322","-2.0","0.1","0.9","1177"
"Ryan Zimmerman","Nationals","116","474","426","107","24","2","18","54","58","37","100","2","3","1",".251",".308",".444",".752",".320","-2.0","0.0","0.2","4220"
"Yonder Alonso","Athletics","127","514","460","122","27","1","10","49","54","48","68","2","3","1",".265",".335",".393",".728",".317","1.0","-0.1","1.7","2530"
"Rob Refsnyder","Yankees","57","226","198","51","8","1","4","22","24","24","41","2","3","1",".258",".341",".369",".709",".312","-2.0","0.0","0.5","13770"
"Justin Smoak","Blue Jays","118","476","416","98","16","0","14","48","52","52","126","4","0","0",".236",".324",".375",".699",".306","0.0","-0.3","0.0","9054"
"Marwin Gonzalez","Astros","109","436","410","108","18","1","9","40","43","22","92","4","9","4",".263",".307",".378",".685",".299","1.0","-0.1","0.8","5497"
