"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Jose Altuve","Astros","156","692","616","203","41","4","23","100","104","62","79","8","32","7",".330",".395",".521",".916",".385","-2.0","2.9","6.6","2.1","5417"
"Jose Ramirez","Indians","156","687","620","188","46","5","24","93","99","59","70","3","16","4",".303",".364",".510",".874",".368","3.0","1.1","5.5","19.3","13510"
"Daniel Murphy","Nationals","130","564","510","159","34","3","19","74","83","43","68","5","3","1",".312",".367",".502",".869",".362","-5.0","-0.2","3.0","67.3","4316"
"Brian Dozier","Twins","153","696","613","163","32","4","33","128","95","70","148","8","15","3",".266",".346",".493",".839",".353","0.0","1.3","4.4","38.3","9810"
"DJ LeMahieu","Rockies","152","689","618","197","26","5","10","105","71","62","87","4","11","3",".319",".382",".426",".807",".351","4.0","0.4","2.8","129.3","9874"
"Robinson Cano","Mariners","154","676","616","179","35","1","26","92","92","51","90","5","2","1",".291",".348",".477",".825",".348","1.0","-0.4","4.3","83.0","3269"
"Cesar Hernandez","Phillies","148","674","591","172","24","9","11","102","68","77","118","4","19","6",".291",".375",".418",".793",".345","5.0","0.7","3.9","252.6","10556"
"Yoan Moncada","White Sox","142","644","556","145","25","5","22","107","77","75","187","9","13","2",".261",".356",".442",".798",".343","0.0","1.3","3.8","134.1","17232"
"Jason Kipnis","Indians","134","576","514","144","32","4","17","67","76","50","104","6","12","3",".280",".347",".457",".804",".343","0.0","0.8","3.1","261.4","9776"
"Dustin Pedroia","Red Sox","121","521","465","141","23","1","9","54","63","52","50","1","4","2",".303",".372",".415",".787",".343","8.0","-0.4","3.4","437.1","8370"
"Ian Happ","Cubs","135","570","504","131","25","4","25","76","85","56","154","3","11","3",".260",".333",".474",".808",".340","1.0","0.6","2.4","139.9","17919"
"Jean Segura","Mariners","139","627","579","175","31","5","13","92","69","38","92","8","24","6",".302",".352",".440",".793",".340","-2.0","1.8","4.0","78.1","5933"
"Ozzie Albies","Braves","146","652","591","171","26","10","15","94","73","51","102","5","27","6",".289",".348",".443",".791",".339","7.0","2.4","3.9","145.3","16556"
"Kolten Wong","Cardinals","134","531","459","127","23","6","10","62","65","53","77","14","13","3",".277",".365",".418",".784",".337","2.0","1.0","2.8","376.5","12532"
"Jedd Gyorko","Cardinals","133","549","490","128","23","1","23","71","76","51","117","3","4","2",".261",".332",".453",".785",".334","2.0","-0.4","2.6","355.9","10816"
"Joe Panik","Giants","143","639","567","164","30","5","10","84","65","59","58","6","5","1",".289",".358",".413",".771",".333","5.0","0.1","3.3","376.3","11936"
"Devon Travis","Blue Jays","109","495","463","136","34","0","12","73","52","27","89","2","8","2",".294",".333",".445",".778",".333","3.0","0.5","2.6","405.3","13862"
"Ian Kinsler","Angels","144","658","597","161","28","4","19","99","66","50","95","8","13","4",".270",".333",".425",".758",".326","6.0","0.5","3.6","190.9","6195"
"Javier Baez","Cubs","140","566","523","141","25","2","23","70","75","32","144","9","13","3",".270",".322",".457",".779",".326","7.0","1.0","2.7","102.3","12979"
"Yangervis Solarte","Blue Jays","124","502","459","122","25","2","17","58","62","35","60","5","3","1",".266",".323",".440",".763",".325","0.0","-0.1","1.9","275.0","5352"
"Scooter Gennett","Reds","129","535","497","137","22","3","18","62","67","33","112","3","4","2",".276",".323",".441",".764",".325","-4.0","-0.4","1.3","197.5","10339"
"Ben Zobrist","Cubs","132","549","478","125","22","2","12","56","62","65","75","2","4","2",".262",".350",".391",".741",".323","0.0","-0.4","1.4","451.0","7435"
"Jed Lowrie","Athletics","141","624","552","147","36","2","11","68","62","65","96","3","1","0",".266",".345",".399",".743",".322","-3.0","-0.2","2.1","426.3","4418"
"Whit Merrifield","Royals","153","704","656","186","35","5","17","101","63","37","112","5","31","6",".284",".324",".430",".754",".322","1.0","3.2","2.9","70.9","11281"
"Greg Garcia","Cardinals","92","361","305","81","10","1","3","37","38","49","71","6","3","1",".266",".377",".334",".711",".322","0.0","-0.1","1.2","711.5","10951"
"Rougned Odor","Rangers","149","610","566","140","24","5","28","74","78","31","133","9","15","5",".247",".295",".456",".751",".315","-3.0","0.6","1.4","110.1","12282"
"Josh Harrison","Pirates","141","626","576","160","29","4","11","68","59","31","94","14","14","4",".278",".327",".399",".727",".314","3.0","0.7","2.0","266.5","8202"
"Starlin Castro","Marlins","143","620","588","166","23","1","18","62","69","24","115","4","5","2",".282",".313",".417",".730",".311","-7.0","-0.2","0.8","259.3","4579"
"Dee Gordon","Mariners","152","697","657","198","18","9","2","75","44","31","93","5","58","13",".301",".336",".365",".701",".306","0.0","5.6","2.5","28.2","8203"
"Jose Peraza","Reds","134","564","527","147","16","6","5","42","48","28","73","5","30","8",".279",".319",".361",".680",".295","1.0","2.2","1.1","201.9","13593"
"Ehire Adrianza","Twins","60","219","195","50","7","1","2","22","20","19","33","3","6","2",".256",".329",".333",".662",".295","3.0","0.2","0.6","673.5","8418"
"Raul Mondesi","Royals","135","510","477","119","17","9","13","56","54","26","147","2","32","5",".249",".288",".405",".693",".294","5.0","4.0","1.9","333.8","13769"
"Ronald Torreyes","Yankees","99","368","349","97","13","2","2","32","29","14","46","2","3","1",".278",".307",".344",".651",".284","1.0","-0.1","0.3","493.4","11400"
