"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Gary Sanchez","Yankees","134","572","507","142","27","0","34","93","105","52","125","8","3","1",".280",".353",".535",".888",".372","4.0","-0.2","5.7","20.1","11442"
"Willson Contreras","Cubs","132","557","485","136","25","2","23","80","90","61","118","8","4","2",".280",".368",".482",".851",".364","5.0","-0.4","4.9","52.6","11609"
"Buster Posey","Giants","135","590","512","158","32","1","13","71","75","66","69","5","4","0",".309",".388",".451",".839",".357","2.0","0.4","4.9","59.0","9166"
"Austin Barnes","Dodgers","111","435","370","103","15","2","10","59","60","58","76","5","4","1",".278",".382",".411",".792",".348","1.0","0.0","3.3","184.1","12158"
"Mike Zunino","Mariners","130","517","454","109","26","0","27","76","82","50","167","10","1","1",".240",".327",".476",".803",".341","2.0","-0.5","4.0","159.4","13265"
"Tyler Flowers","Braves","105","432","375","101","18","0","11","48","52","39","100","15","0","0",".269",".359",".405",".764",".335","0.0","-0.3","2.4","298.8","9134"
"J.T. Realmuto","Marlins","135","584","539","156","30","4","16","65","72","36","103","5","8","2",".289",".337",".449",".786",".334","3.0","0.4","3.7","102.5","11739"
"Evan Gattis","Astros","114","449","413","108","20","4","21","63","66","28","81","4","1","1",".262",".312",".482",".794",".332","-1.0","-0.5","0.7","148.3","11003"
"Yasmani Grandal","Dodgers","101","399","351","83","19","0","19","56","59","44","99","1","0","0",".236",".321",".453",".774",".329","2.0","-0.2","2.5","229.1","11368"
"Russell Martin","Blue Jays","120","483","408","95","17","1","17","58","63","63","108","9","3","2",".233",".346",".404",".750",".328","3.0","-0.6","3.0","320.9","4616"
"Christian Vazquez","Red Sox","115","418","387","110","23","2","8","57","51","25","77","5","6","1",".284",".335",".416",".751",".324","5.0","0.5","2.7","289.6","9774"
"Brian McCann","Astros","109","422","371","90","12","1","18","60","59","40","67","7","2","0",".243",".325",".426",".751",".322","-2.0","0.1","2.2","215.4","4810"
"Travis d'Arnaud","Mets","105","422","384","101","18","1","14","48","52","32","72","4","1","0",".263",".325",".424",".749",".321","-3.0","-0.1","1.8","289.9","7739"
"Salvador Perez","Royals","135","575","544","147","24","1","25","68","77","21","111","6","0","0",".270",".303",".456",".758",".318","3.0","-0.3","3.0","97.2","7304"
"Mitch Garver","Twins","56","219","190","47","9","0","5","25","25","25","55","2","1","0",".247",".338",".374",".712",".314","0.0","0.0","0.9","569.5","15161"
"Jorge Alfaro","Phillies","111","440","408","102","21","2","16","52","54","20","127","10","2","1",".250",".300",".429",".729",".310","-2.0","-0.3","1.4","246.8","12180"
"Yadier Molina","Cardinals","126","519","481","133","25","1","12","50","53","29","67","3","4","1",".277",".318",".407",".725",".310","3.0","0.1","2.3","148.3","7007"
"Tucker Barnhart","Reds","126","502","446","120","26","1","7","46","50","49","80","3","4","1",".269",".343",".379",".722",".308","7.0","0.1","2.4","328.3","10200"
"Mike Marjama","Mariners","45","165","149","37","8","1","4","21","19","12","31","3","0","0",".248",".315",".396",".711",".308","1.0","-0.1","0.9","732.1","12594"
"Carson Kelly","Cardinals","79","311","281","72","13","0","7","32","33","25","48","3","0","0",".256",".322",".377",".699",".305","2.0","-0.2","1.3","534.6","13620"
"Jason Castro","Twins","110","412","364","85","19","1","9","47","44","45","112","2","1","0",".234",".320",".365",".686",".301","1.0","-0.1","1.5","377.9","8722"
"Sandy Leon","Red Sox","65","237","213","50","8","1","5","25","23","20","58","2","0","0",".235",".304",".352",".656",".286","1.0","-0.1","0.6","543.4","5273"
"Martin Maldonado","Angels","115","421","379","86","17","0","11","46","43","29","103","11","1","1",".227",".299",".359",".658",".284","3.0","-0.5","1.4","402.0","6887"
"Matt Wieters","Nationals","102","396","362","86","14","1","10","38","38","28","81","2","0","0",".238",".293",".365",".658",".283","0.0","-0.2","0.5","328.3","4298"
