"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Gary Sanchez","Yankees","126","537","465","120","24","0","29","82","92","61","125","7","2","0",".258",".350",".497",".847",".362","3.0","0.1","5.1","57.7","11442"
"J.T. Realmuto","Phillies","136","586","532","153","33","3","23","77","89","42","103","8","5","1",".288",".346",".491",".837",".357","3.0","0.2","5.2","50.0","11739"
"Yasmani Grandal","Brewers","135","563","483","119","27","1","24","77","85","75","125","2","3","2",".246",".348",".455",".804",".348","2.0","-0.6","4.2","129.6","11368"
"Buster Posey","Giants","132","574","502","148","28","1","12","64","70","62","64","5","4","1",".295",".375",".426",".801",".346","2.0","0.0","4.5","145.8","9166"
"Wilson Ramos","Mets","117","496","456","134","24","0","18","63","71","35","86","1","0","0",".294",".343",".465",".808",".345","1.0","-0.3","4.0","134.0","1433"
"Willson Contreras","Cubs","130","533","469","125","24","3","17","65","70","52","115","9","5","2",".267",".349",".439",".788",".342","4.0","-0.2","4.1","139.6","11609"
"Danny Jansen","Blue Jays","114","467","404","107","24","1","13","55","59","45","75","14","2","0",".265",".355",".426",".781",".341","0.0","0.1","3.4","189.4","16535"
"Willians Astudillo","Twins","75","305","284","86","14","1","8","35","38","11","18","7","1","0",".303",".341",".444",".785",".338","-2.0","0.0","1.6","246.1","15608"
"Omar Narvaez","Mariners","111","440","389","105","16","0","10","50","53","48","87","2","1","1",".270",".352",".388",".740",".327","-1.0","-0.5","2.8","294.3","13338"
"Mitch Garver","Twins","79","316","282","75","16","1","7","34","37","31","66","1","0","0",".266",".339",".404",".743",".324","-2.0","-0.2","1.5","425.7","15161"
"Yadier Molina","Cardinals","134","557","507","138","22","1","16","60","66","37","69","7","5","2",".272",".327",".414",".741",".320","3.0","-0.2","3.3","146.9","7007"
"Tucker Barnhart","Reds","135","529","472","121","25","2","9","54","55","51","93","3","2","1",".256",".331",".375",".706",".306","5.0","-0.3","2.5","271.3","10200"
"Jorge Alfaro","Marlins","114","456","421","103","20","2","14","46","51","22","140","11","3","1",".245",".298",".401",".700",".301","4.0","0.0","2.3","240.3","12180"
"Jason Castro","Twins","100","385","337","76","16","1","7","39","39","44","112","3","0","0",".226",".319",".341",".661",".296","3.0","-0.2","1.6","580.4","8722"
"Luke Maile","Blue Jays","58","213","191","44","11","0","3","21","19","19","58","2","2","0",".230",".305",".335",".640",".285","1.0","0.3","0.7","598.3","13355"
"Austin Romine","Yankees","69","261","240","57","11","0","6","26","25","16","61","2","0","0",".238",".287",".358",".646",".282","0.0","-0.1","0.6","531.2","5491"
