"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Shohei Ohtani","Angels","117","506","450","128","24","2","23","73","83","52","125","3","7","2",".284",".362",".500",".862",".368","-1.0","0.3","2.7","183.8","19755"
"Shohei Ohtani","Angels","117","506","450","128","24","2","23","73","83","52","125","3","7","2",".284",".362",".500",".862",".368","-1.0","0.3","2.7","183.8","19755"
"Nelson Cruz","Twins","146","626","549","150","23","1","36","97","111","59","129","12","1","0",".273",".353",".515",".869",".368","-1.0","-0.2","3.0","96.0","2434"
"Khris Davis","Athletics","154","665","579","145","28","1","45","106","123","70","172","9","3","1",".250",".337",".535",".872",".368","-4.0","-0.2","3.2","44.0","9112"
"Miguel Sano","Twins","135","574","507","126","30","2","32","87","97","63","183","2","0","0",".249",".333",".505",".838",".355","-3.0","-0.3","3.5","211.5","12164"
"Edwin Encarnacion","Mariners","127","544","475","117","20","1","29","76","86","58","112","5","1","0",".246",".331",".476",".807",".344","-1.0","-0.1","1.8","129.9","2151"
"C.J. Cron","Twins","143","611","550","140","28","2","30","82","92","40","143","14","2","1",".255",".318",".476",".794",".338","1.0","-0.3","1.8","260.6","12546"
"Kendrys Morales","Blue Jays","125","524","465","118","19","0","19","62","68","50","107","5","2","1",".254",".330",".417",".747",".324","-1.0","-0.3","0.5","503.6","8610"
"Daniel Palka","White Sox","122","516","475","117","19","3","24","64","71","36","150","2","4","2",".246",".300",".451",".751",".320","-5.0","-0.3","0.6","357.7","14897"
"Albert Pujols","Angels","115","484","450","115","19","0","18","54","59","28","62","2","1","0",".256",".300",".418",".717",".307","-1.0","-0.1","0.1","514.3","1177"
