"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Mike Trout","Angels","154","684","549","171","33","5","40","120","137","119","125","11","26","6",".311",".440",".608","1.048",".432","-1.0","2.1","9.2","1.1","10155"
"Bryce Harper","Nationals","145","637","532","164","34","2","37","105","122","96","127","3","7","2",".308",".413",".588","1.001",".412","3.0","0.1","6.1","8.3","11579"
"Aaron Judge","Yankees","151","673","548","149","26","3","44","125","129","113","195","7","5","1",".272",".400",".571",".971",".404","5.0","0.1","6.7","16.6","15640"
"Giancarlo Stanton","Yankees","147","642","553","153","30","1","49","115","133","80","160","6","3","1",".277",".372",".600",".973",".399","3.0","-0.2","5.6","9.3","4949"
"Charlie Blackmon","Rockies","156","718","639","200","37","10","32","130","102","62","115","13","17","5",".313",".383",".552",".935",".391","-4.0","0.8","4.7","9.4","7859"
"J.D. Martinez","","137","593","526","156","31","2","37","100","115","60","151","3","5","2",".297",".369",".574",".943",".391","-6.0","-0.2","3.7","23.0","6184"
"Rhys Hoskins","Phillies","151","657","547","147","28","3","36","100","117","93","129","10","5","2",".269",".381",".528",".909",".383","-3.0","-0.3","4.0","52.7","16472"
"George Springer","Astros","143","655","567","158","29","3","33","131","93","74","121","11","7","3",".279",".371",".515",".886",".376","1.0","-0.3","5.7","31.1","12856"
"Mookie Betts","Red Sox","147","660","582","174","41","5","25","115","96","70","76","2","24","4",".299",".373",".515",".888",".374","16.0","2.7","6.0","8.7","13611"
"Cody Bellinger","Dodgers","150","643","557","149","32","4","38","99","117","76","157","4","10","2",".268",".356",".544",".900",".373","4.0","0.8","4.1","25.0","15998"
"Michael Conforto","Mets","123","541","465","130","26","2","25","88","85","66","130","7","4","2",".280",".375",".505",".881",".372","3.0","-0.4","4.0","157.1","16376"
"Nelson Cruz","Mariners","150","646","569","161","25","1","37","98","116","63","143","9","2","1",".283",".361",".525",".886",".371","-2.0","-0.4","3.3","56.4","2434"
"Tommy Pham","Cardinals","144","644","552","156","28","4","24","109","92","83","141","6","26","6",".283",".380",".478",".859",".368","6.0","2.2","5.3","63.4","2967"
"Mitch Haniger","Mariners","142","581","513","144","37","5","24","84","90","51","122","11","7","2",".281",".355",".513",".867",".365","6.0","0.2","4.4","207.9","14274"
"Yoenis Cespedes","Mets","138","609","546","157","32","3","30","95","95","53","110","5","2","1",".288",".353",".522",".875",".364","1.0","-0.4","3.5","104.6","13110"
"Justin Upton","Angels","152","659","575","152","37","2","33","96","108","77","176","4","14","4",".264",".354",".508",".861",".363","0.0","0.7","4.1","45.7","5222"
"Andrew Benintendi","Red Sox","156","699","608","177","32","8","23","112","94","77","112","6","22","6",".291",".372",".484",".856",".362","4.0","1.4","4.2","41.9","17901"
"Khris Davis","Athletics","151","651","567","142","24","2","41","102","115","72","182","6","4","1",".250",".338",".517",".855",".359","-8.0","0.0","2.0","71.9","9112"
"Kyle Schwarber","Cubs","135","583","499","125","24","2","30","86","96","76","162","6","2","1",".251",".355",".487",".842",".358","-1.0","-0.4","2.5","189.0","16478"
"Matt Olson","Athletics","153","645","559","141","26","1","36","100","110","76","166","5","4","0",".252",".344",".496",".840",".354","3.0","0.4","3.2","117.0","14344"
"Dexter Fowler","Cardinals","134","596","508","136","24","7","18","86","77","77","127","7","11","3",".268",".369",".449",".818",".352","0.0","0.5","2.8","249.8","4062"
"Jose Martinez","Cardinals","105","433","381","110","17","1","15","57","61","46","81","2","4","1",".289",".365",".457",".822",".352","-3.0","0.1","1.8","273.3","7996"
"Christian Yelich","Marlins","152","681","606","179","35","2","18","102","84","67","129","4","21","4",".295",".367",".449",".816",".351","1.0","2.0","4.1","70.8","11477"
"Adam Eaton","Nationals","146","649","571","166","29","9","12","90","75","62","100","13","18","5",".291",".371",".436",".807",".350","4.0","1.0","3.3","156.4","11205"
"Aaron Hicks","Yankees","135","565","486","130","22","3","20","74","82","72","100","2","16","5",".267",".361",".449",".810",".348","10.0","0.7","4.3","237.5","5297"
"Andrew McCutchen","Giants","153","685","597","164","30","3","23","106","87","76","127","7","9","3",".275",".361",".451",".811",".346","-2.0","0.1","2.8","81.5","9847"
"Yasiel Puig","Dodgers","141","589","521","141","24","3","23","78","85","59","107","5","11","4",".271",".348",".461",".809",".344","8.0","0.1","3.1","110.8","14225"
"Lorenzo Cain","","146","658","591","173","30","4","15","100","71","56","104","7","24","4",".293",".359",".433",".792",".340","7.0","2.6","4.1","97.9","9077"
"A.J. Pollock","Diamondbacks","130","596","536","148","34","5","17","97","63","52","89","4","23","4",".276",".342",".453",".796",".340","4.0","2.5","3.0","65.9","9256"
"Jackie Bradley Jr.","Red Sox","148","595","528","137","28","5","23","78","85","55","128","9","7","2",".259",".338",".462",".800",".340","8.0","0.2","3.7","283.3","12984"
"Derek Fisher","Astros","105","384","341","87","20","4","15","64","59","38","104","3","13","3",".255",".333",".469",".803",".340","1.0","1.1","1.8","430.3","16192"
"Josh Reddick","Astros","135","555","501","145","27","3","14","63","67","49","70","0","5","1",".289",".350",".439",".789",".337","1.0","0.2","2.3","257.1","3892"
"Chris Taylor","Dodgers","146","668","602","166","27","7","18","106","68","61","152","4","16","4",".276",".346",".434",".779",".337","3.0","1.1","3.6","95.6","13757"
"Robbie Grossman","Twins","92","362","308","81","16","1","7","44","45","52","62","1","3","1",".263",".370",".390",".760",".336","-3.0","-0.1","0.4","621.3","5254"
"Byron Buxton","Twins","147","631","572","154","26","12","20","72","83","49","166","5","34","3",".269",".330",".462",".791",".335","12.0","5.2","4.6","52.7","14161"
"Eddie Rosario","Twins","148","624","580","162","29","7","24","78","87","37","118","1","12","5",".279",".321",".478",".798",".334","2.0","-0.1","2.1","118.2","12155"
"Kole Calhoun","Angels","148","613","538","142","26","3","19","72","78","64","113","6","5","2",".264",".346",".429",".775",".334","6.0","-0.3","2.8","286.1","11200"
"Ian Happ","Cubs","135","578","514","133","24","4","24","71","81","54","156","3","8","2",".259",".329",".461",".790",".334","1.0","0.4","2.2","145.0","17919"
"Teoscar Hernandez","Blue Jays","105","413","378","97","20","3","19","60","62","29","114","4","5","1",".257",".315",".476",".791",".334","-2.0","0.4","1.1","308.8","13066"
"Bradley Zimmer","Indians","148","599","532","137","29","5","19","71","76","52","162","12","31","6",".258",".336",".438",".774",".332","8.0","3.3","3.7","201.2","16221"
