"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Aroldis Chapman","Yankees","3","2","2.35","0","57","34","57.0","35","15","3","86","25","1.05","13.58","3.95","2.25","1.5","10233"
"Chris Sale","Red Sox","16","6","2.58","28","28","0","177.0","125","51","17","249","37","0.92","12.66","1.88","2.29","7.0","10603"
"Noah Syndergaard","Mets","14","6","2.83","29","29","0","183.0","157","58","13","210","41","1.08","10.33","2.02","2.53","5.3","11762"
"Max Scherzer","Nationals","17","8","2.90","32","32","0","214.0","153","69","23","278","52","0.96","11.69","2.19","2.76","6.8","3137"
"Jacob deGrom","Mets","14","7","2.66","31","31","0","203.0","166","60","18","233","46","1.04","10.33","2.04","2.77","5.4","10954"
"Clayton Kershaw","Dodgers","16","6","2.33","30","30","0","198.0","160","51","18","209","36","0.99","9.50","1.64","2.84","4.9","2036"
"Luis Severino","Yankees","17","7","2.94","32","32","0","200.0","164","65","19","236","49","1.07","10.62","2.21","2.85","6.0","15890"
"Taylor Rogers","Twins","4","2","2.75","0","69","4","69.0","58","21","5","71","18","1.10","9.26","2.35","2.91","1.2","13449"
"Gerrit Cole","Astros","16","8","3.18","32","32","0","201.0","160","71","22","257","60","1.09","11.51","2.69","3.01","5.3","13125"
"Justin Verlander","Astros","16","8","2.96","32","32","0","205.0","158","68","26","255","45","0.99","11.20","1.98","3.04","5.6","8700"
"Aaron Nola","Phillies","15","8","2.98","32","32","0","206.0","175","68","19","220","53","1.11","9.61","2.32","3.07","5.0","16149"
"Patrick Corbin","Nationals","14","8","3.33","31","31","0","191.0","171","71","20","209","52","1.17","9.85","2.45","3.23","4.3","9323"
"Nick Pivetta","Phillies","12","8","3.83","30","30","0","165.0","152","70","22","186","48","1.21","10.15","2.62","3.60","2.9","15454"
"Jose Berrios","Twins","14","9","3.46","31","31","0","194.0","171","75","23","202","58","1.18","9.37","2.69","3.61","4.1","14168"
"Mike Foltynewicz","Braves","14","8","3.13","30","30","0","183.0","157","64","20","201","68","1.23","9.89","3.34","3.61","3.5","10811"
"Sean Newcomb","Braves","11","11","3.75","29","29","0","162.0","141","68","17","171","74","1.33","9.50","4.11","3.91","2.5","16943"
"Kevin Gausman","Braves","12","9","3.58","29","29","0","171.0","175","68","20","139","50","1.32","7.32","2.63","4.02","2.4","14107"
"Masahiro Tanaka","Yankees","14","7","3.45","27","27","0","157.0","146","60","26","162","37","1.17","9.29","2.12","4.03","2.4","15764"
"J.A. Happ","Yankees","15","7","3.82","29","29","0","164.0","149","70","24","165","49","1.21","9.05","2.69","4.04","2.8","7410"
"Jake Arrieta","Phillies","12","10","3.92","30","30","0","166.0","155","72","21","138","51","1.24","7.48","2.77","4.16","1.8","4153"
"Kyle Gibson","Twins","12","10","3.75","31","31","0","188.0","185","78","23","167","69","1.35","7.99","3.30","4.19","2.6","10123"
"CC Sabathia","Yankees","10","6","3.75","24","24","0","122.0","118","51","16","104","42","1.31","7.67","3.10","4.29","1.7","404"
"Jake Odorizzi","Twins","9","11","4.35","30","30","0","156.0","141","75","22","147","64","1.31","8.48","3.69","4.46","2.1","6397"
"Julio Teheran","Braves","10","9","4.35","23","27","0","146.0","132","71","20","128","62","1.33","7.89","3.82","4.59","1.1","6797"
