"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Corey Seager","Dodgers","155","691","619","188","41","4","26","110","100","61","126","6","6","2",".304",".369",".509",".878",".373","5.0","0.0","6.7","13624"
"Carlos Correa","Astros","155","678","592","169","36","5","28","95","103","76","131","5","18","3",".285",".369",".505",".874",".371","-1.0","2.0","6.2","14162"
"Jung Ho Kang","Pirates","129","546","475","130","26","1","24","80","89","49","111","19","4","2",".274",".363",".484",".847",".364","-1.0","-0.3","3.9","17182"
"Trevor Story","Rockies","142","597","536","143","28","7","29","89","98","52","162","7","14","3",".267",".338",".507",".846",".358","-1.0","1.3","3.1","12564"
"Xander Bogaerts","Red Sox","155","687","621","187","36","2","20","94","88","55","113","6","15","4",".301",".361",".462",".823",".354","-1.0","0.9","4.6","12161"
"Francisco Lindor","Indians","156","694","622","191","32","6","16","96","82","59","90","3","21","7",".307",".365",".455",".820",".352","17.0","0.9","6.7","12916"
"Aledmys Diaz","Cardinals","138","610","544","156","33","3","18","83","76","53","84","8","5","2",".287",".356",".458",".813",".348","-5.0","-0.2","3.5","15937"
"Ian Desmond","Rockies","152","650","597","167","34","3","25","80","93","45","155","5","19","4",".280",".334",".472",".806",".344","0.0","1.8","1.1","6885"
"Troy Tulowitzki","Blue Jays","133","569","511","139","25","0","23","70","80","47","106","6","2","0",".272",".337",".456",".793",".339","6.0","0.1","4.0","3531"
"Jonathan Villar","Brewers","154","704","628","176","29","5","14","103","65","70","167","3","52","11",".280",".354",".409",".763",".333","-7.0","5.4","2.8","10071"
"Eugenio Suarez","Reds","149","615","551","143","27","3","22","74","80","54","140","7","8","3",".260",".332",".439",".771",".333","2.0","0.0","2.8","12552"
"Addison Russell","Cubs","152","623","553","141","31","2","22","74","78","58","133","8","6","2",".255",".332",".438",".770",".330","13.0","0.0","4.4","14106"
"Elvis Andrus","Rangers","149","603","544","151","30","3","14","63","69","49","92","3","16","5",".278",".337",".421",".758",".327","1.0","0.8","2.4","8709"
"Dansby Swanson","Braves","146","653","582","162","27","6","12","78","65","59","132","7","14","2",".278",".349",".407",".756",".326","2.0","1.6","3.3","18314"
