"","Name","Team","position","playerid","IP","ERA","WHIP","SV","W","K","marginal.total.points","dollar.value","status"
"1","Chris Sale","Red Sox","pitcher","10603",204,2.76,0.97,0,17,278,20.06,55.22,"drafted"
"2","Max Scherzer","Nationals","pitcher","3137",210,3.13,1.04,0,15,274,17.45,48.04,""
"3","Jacob deGrom","Mets","pitcher","10954",210,2.93,1.06,0,14,255,16.68,45.91,"drafted"
"4","Justin Verlander","Astros","pitcher","8700",205,3.37,1.07,0,15,253,15.56,42.84,"drafted"
"5","Corey Kluber","Indians","pitcher","2429",211,3.45,1.11,0,15,223,13.87,38.18,"drafted"
"6","Gerrit Cole","Astros","pitcher","13125",199,3.48,1.13,0,15,238,13.82,38.05,"drafted"
"7","Luis Severino","Yankees","pitcher","15890",198,3.48,1.15,0,15,224,13.05,35.93,"drafted"
"8","Carlos Carrasco","Indians","pitcher","6632",199,3.39,1.13,0,14,217,12.97,35.71,""
"9","Blake Snell","Rays","pitcher","13543",192,3.23,1.19,0,13,235,12.7,34.97,"drafted"
"10","Trevor Bauer","Indians","pitcher","12703",195,3.54,1.2,0,14,221,11.73,32.3,"drafted"
"11","Clayton Kershaw","Dodgers","pitcher","2036",185,3.23,1.12,0,13,180,11.6,31.94,""
"12","James Paxton","Yankees","pitcher","11828",172,3.48,1.15,0,13,198,11.07,30.48,"drafted"
"13","Aaron Nola","Phillies","pitcher","16149",194,3.57,1.19,0,12,210,10.7,29.45,"drafted"
"14","Patrick Corbin","Nationals","pitcher","9323",182,3.43,1.21,0,13,189,10.27,28.27,"drafted"
"15","Walker Buehler","Dodgers","pitcher","19374",163,3.27,1.18,0,12,186,10.26,28.25,"drafted"
"16","Edwin Diaz","Mets","pitcher","14710",65,2.46,1,30,4,97,10.19,28.04,"drafted"
"17","Chris Archer","Pirates","pitcher","6345",194,3.64,1.23,0,12,207,9.89,27.23,""
"18","Stephen Strasburg","Nationals","pitcher","10131",177,3.66,1.19,0,12,192,9.7,26.7,""
