"","Name","Team","position","marginal.total.points","dollar.value","status"
"1","Andrew McCutchen","Phillies","outfield",8.6,23.68,""
"2","Rougned Odor","Rangers","second_base",8.58,23.62,""
"3","Jarrod Dyson","Diamondbacks","outfield",7.57,20.84,""
"4","Jackie Bradley Jr.","Red Sox","outfield",7.51,20.68,""
"5","Kendrys Morales","Blue Jays","dh",7.43,20.45,""
"6","Corey Dickerson","Pirates","dh",7.24,19.94,""
"7","Mark Trumbo","Orioles","dh",6.6,18.16,""
"8","Miguel Sano","Twins","dh",6.57,18.1,""
"9","Justin Smoak","Blue Jays","first_base",6.56,18.06,""
"10","Odubel Herrera","Phillies","outfield",6.52,17.96,""
"11","Corey Knebel","Brewers","pitcher",6.47,17.82,""
"12","Kevin Kiermaier","Rays","outfield",6.43,17.7,""
"13","Kevin Pillar","Blue Jays","outfield",6.41,17.64,""
"14","Hunter Renfroe","Padres","outfield",6.37,17.54,""
"15","Adam Duvall","Braves","outfield",6.28,17.29,""
"16","Josh Bell","Pirates","first_base",6.21,17.09,""
"17","Kole Calhoun","Angels","outfield",6.11,16.82,""
"18","Kyle Seager","Mariners","third_base",5.96,16.41,""
"19","Ketel Marte","Diamondbacks","shortstop",5.91,16.26,""
"20","Brandon Morrow","Cubs","pitcher",5.91,16.26,""
"21","Ryan McMahon","Rockies","first_base",5.9,16.24,""
"22","Andrew Miller","Cardinals","pitcher",5.84,16.08,""
"23","Steven Souza Jr.","Diamondbacks","outfield",5.82,16.03,""
"24","Enrique Hernandez","Dodgers","outfield",5.76,15.86,""
"25","Manuel Margot","Padres","outfield",5.74,15.8,""
"26","Evan Longoria","Giants","third_base",5.65,15.55,""
"27","Hernan Perez","Brewers","outfield",5.64,15.53,""
"28","Anthony Swarzak","Mariners","pitcher",5.58,15.37,""
"29","Trevor May","Twins","pitcher",5.58,15.35,""
"30","Jorge Soler","Royals","outfield",5.57,15.34,""
"31","Brandon Belt","Giants","first_base",5.51,15.18,""
"32","Domingo Santana","Mariners","outfield",5.47,15.05,""
"33","Marco Gonzales","Mariners","pitcher",5.42,14.93,""
"34","Leonys Martin","Indians","outfield",5.3,14.59,""
"35","Drew Steckenrider","Marlins","pitcher",5.3,14.59,""
"36","Francisco Cervelli","Pirates","catcher",5.27,14.5,""
"37","Mike Zunino","Rays","catcher",5.25,14.46,""
"38","Welington Castillo","White Sox","catcher",5.25,14.45,""
"39","Avisail Garcia",NA,"outfield",5.23,14.39,""
"40","Steven Matz","Mets","pitcher",5.19,14.28,""
"41","Yuli Gurriel","Astros","first_base",5.18,14.25,""
"42","Kevin Newman","Pirates","shortstop",5.15,14.19,""
"43","Ryan O'Hearn","Royals","dh",5.15,14.17,""
"44","Alex Verdugo","Dodgers","outfield",5.03,13.84,""
"45","Roman Quinn","Phillies","outfield",5,13.76,""
"46","Joe Musgrove","Pirates","pitcher",4.95,13.63,""
"47","Tucker Barnhart","Reds","catcher",4.95,13.62,""
"48","Tyler Naquin","Indians","outfield",4.93,13.57,""
"49","Greg Allen","Indians","outfield",4.91,13.53,""
"50","Jakob Junis","Royals","pitcher",4.9,13.48,""
"51","Austin Barnes","Dodgers","catcher",4.89,13.47,""
"52","Kyle Gibson","Twins","pitcher",4.87,13.41,""
"53","Mychal Givens","Orioles","pitcher",4.87,13.39,""
"54","Ronald Guzman","Rangers","first_base",4.86,13.38,""
"55","Dellin Betances","Yankees","pitcher",4.84,13.32,""
"56","Brad Peacock","Astros","pitcher",4.84,13.32,""
"57","Brandon Crawford","Giants","shortstop",4.78,13.15,""
"58","Adam Frazier","Pirates","outfield",4.75,13.09,""
"59","John Hicks","Tigers","catcher",4.73,13.03,""
"60","Zack Cozart","Angels","shortstop",4.71,12.98,""
"61","Alex Gordon","Royals","outfield",4.71,12.96,""
"62","Todd Frazier","Mets","third_base",4.66,12.84,""
"63","Jeimer Candelario","Tigers","third_base",4.64,12.77,""
"64","Josh Phegley","Athletics","catcher",4.62,12.73,""
