"","Name","Team","position","playerid","PA","AB","R","HR","RBI","SB","AVG","marginal.total.points","dollar.value"
"1","Mike Trout","Angels","outfield","10155",686,538,123,45,115,14,0.296,18.08,49.78
"2","Christian Yelich","Brewers","outfield","11477",665,565,109,36,99,22,0.304,17.19,47.33
"3","Ronald Acuna Jr.","Braves","outfield","18401",665,580,105,36,91,29,0.282,16.64,45.82
"4","Cody Bellinger","Dodgers","outfield","15998",658,559,103,43,116,13,0.286,16.14,44.43
"5","Mookie Betts","Red Sox","outfield","13611",672,572,116,31,93,18,0.296,15.32,42.19
"6","J.D. Martinez","Red Sox","outfield","6184",658,578,104,40,119,3,0.301,14.91,41.05
"7","Giancarlo Stanton","Yankees","outfield","4949",644,559,107,51,121,3,0.268,14.89,40.98
"8","Trevor Story","Rockies","shortstop","12564",665,594,95,37,109,20,0.279,14.62,40.24
"9","Trea Turner","Nationals","shortstop","16252",672,601,98,21,74,38,0.29,14.57,40.1
"10","Francisco Lindor","Indians","shortstop","12916",665,594,106,34,95,20,0.288,14.48,39.86
"11","Jose Ramirez","Indians","third_base","13510",658,573,97,31,102,24,0.277,14.35,39.5
"12","Nolan Arenado","Rockies","third_base","9777",679,599,104,41,117,4,0.296,14.26,39.27
"13","Juan Soto","Nationals","outfield","20123",672,554,101,35,104,9,0.292,13.86,38.17
"14","Bryce Harper","Phillies","outfield","11579",665,546,103,41,104,11,0.259,13.35,36.74
"15","Adalberto Mondesi","Royals","shortstop","13769",623,579,77,19,73,48,0.253,13,35.79
"16","Rafael Devers","Red Sox","third_base","17350",644,584,93,32,105,9,0.299,12.91,35.53
"17","Freddie Freeman","Braves","first_base","5361",672,576,100,34,104,6,0.293,12.81,35.28
"18","Starling Marte","Pirates","outfield","9241",630,577,84,21,78,26,0.287,12.53,34.5
"19","Nelson Cruz","Twins","dh","2434",630,552,95,39,112,1,0.281,12.47,34.33
"20","Yordan Alvarez","Astros","dh","19556",616,529,98,39,104,4,0.275,12.41,34.17
"21","Alex Bregman","Astros","third_base","17678",658,547,109,32,99,6,0.287,12.14,33.43
"22","Javier Baez","Cubs","shortstop","12979",665,618,87,34,102,15,0.272,12.12,33.36
"23","Aaron Judge","Yankees","outfield","15640",658,544,105,40,100,6,0.253,11.83,32.58
"24","Anthony Rizzo","Cubs","first_base","3473",672,566,100,32,100,6,0.283,11.76,32.38
"25","Manny Machado","Padres","third_base","11493",679,603,96,38,100,7,0.271,11.71,32.23
"26","George Springer","Astros","outfield","12856",644,552,106,33,86,7,0.273,11.44,31.49
"27","Jonathan Villar","Orioles","shortstop","10071",679,605,86,21,73,33,0.261,11.4,31.37
"28","Marcell Ozuna",NA,"outfield","10324",644,576,85,33,101,7,0.276,11.39,31.34
"29","Byron Buxton","Twins","outfield","14161",602,546,81,22,80,26,0.262,11.24,30.96
"30","Charlie Blackmon","Rockies","outfield","7859",623,558,97,28,78,8,0.294,11.22,30.88
"31","Shohei Ohtani","Angels","dh","19755",560,496,80,29,88,13,0.28,11.21,30.85
"32","Gleyber Torres","Yankees","shortstop","16997",658,586,93,36,102,7,0.271,11.16,30.72
"33","Fernando Tatis Jr.","Padres","shortstop","19709",651,582,81,30,87,21,0.264,11.12,30.62
"34","Luis Robert","White Sox","outfield","sa3003396",560,517,74,25,79,22,0.272,11.09,30.53
"35","Eddie Rosario","Twins","outfield","12155",637,595,88,30,97,5,0.284,10.97,30.2
"36","Victor Robles","Nationals","outfield","18363",658,590,79,18,72,30,0.262,10.89,29.99
"37","Peter Alonso","Mets","first_base","19251",665,574,93,44,105,2,0.251,10.87,29.93
"38","Eloy Jimenez","White Sox","outfield","17484",630,577,86,35,98,2,0.279,10.8,29.73
"39","Yasiel Puig",NA,"outfield","14225",623,556,77,28,88,16,0.267,10.76,29.61
"40","Tommy Pham","Rays","outfield","2967",630,539,88,24,78,18,0.27,10.73,29.53
"41","Ryan Braun","Brewers","outfield","3410",630,570,82,30,92,11,0.268,10.63,29.26
"42","Carlos Correa","Astros","shortstop","14162",644,561,95,34,107,3,0.273,10.61,29.22
"43","Xander Bogaerts","Red Sox","shortstop","12161",665,584,95,26,97,6,0.291,10.5,28.91
"44","Kris Bryant","Cubs","outfield","15429",658,555,100,31,89,4,0.273,10.47,28.83
"45","Jose Altuve","Astros","second_base","5417",658,588,96,24,93,12,0.295,10.43,28.73
"46","Jose Abreu","White Sox","first_base","15676",672,612,89,32,103,3,0.275,10.39,28.6
"47","Joey Gallo","Rangers","outfield","14128",609,507,90,42,98,8,0.23,10.37,28.55
"48","Paul Goldschmidt","Cardinals","first_base","9218",679,581,93,32,95,5,0.272,10.36,28.52
"49","Anthony Rendon",NA,"third_base","12861",665,571,93,28,96,4,0.288,10.33,28.43
"50","Ketel Marte","Diamondbacks","shortstop","13613",672,600,87,24,89,9,0.296,10.23,28.17
"51","Bo Bichette","Blue Jays","shortstop","19612",630,574,80,21,80,22,0.274,10.17,27.99
"52","Austin Meadows","Rays","outfield","15672",588,526,81,26,81,14,0.271,10.15,27.94
"53","Whit Merrifield","Royals","outfield","11281",672,609,87,14,64,23,0.282,10.11,27.82
"54","Matt Olson","Athletics","first_base","14344",658,571,94,39,103,1,0.254,10.09,27.77
"55","Jorge Soler","Royals","outfield","14221",658,568,90,35,95,4,0.257,9.98,27.48
"56","Yuli Gurriel","Astros","first_base","19198",644,596,85,25,97,5,0.288,9.98,27.46
"57","Yoan Moncada","White Sox","third_base","17232",672,594,93,28,83,12,0.267,9.94,27.37
