"","team_name","spent","left","picks.left","total_points","R_points","HR_points","RBI_points","SB_points","AVG_points","ERA_points","WHIP_points","K_points","SV_points","W_points"
"1","allrise",251,9,6,111.4,6.9,7.9,7.1,18,10.3,14.3,12.9,11.9,11.8,10.3
"2","ottawa",253,7,3,106.7,9.5,11.6,10.9,13.4,8.1,12.7,11.7,12.5,6.3,10
"3","isotopes",250,10,4,103,13.4,10.2,11.5,11.7,9.7,12.5,11.2,8.3,6.9,7.6
"4","bellevegas",259,1,1,99.4,10,12.5,12.4,6.2,7.8,11.1,7.8,9.9,12,9.7
"5","marmaduke",251,9,6,96.9,8.6,9,9.3,8,11.1,13.9,14.4,9.9,3.7,9
"6","rippe",257,3,3,96.7,3.6,6.7,5.1,9.3,10.5,18,17.4,11.4,7.8,6.9
"7","bears",244,16,4,92.1,9,9.9,9.1,10.6,8.9,11.2,6.8,10.6,9,7
"8","pasadena",243,17,8,90,10,12.2,11.8,10.5,10.9,13.5,10.2,3.1,5.2,2.6
"9","pkdodgers",257,3,1,88.1,6.3,3.6,4.3,12.2,9.4,12.7,12.7,8.8,9.4,8.7
"10","chicago",242,18,1,88.1,10.7,8.6,10.7,7.5,10,12.6,10.2,2.9,11.1,3.8
"11","deener",260,0,0,87,2.2,6.8,5.2,3.2,6.3,11.9,10.6,17.8,7,16
"12","dsb",248,12,5,82.4,5.3,9.6,8.1,4.4,7.8,10.4,11.9,10.7,4.7,9.5
"13","balco",251,9,2,81.3,9.8,9.2,9.8,10,8.8,12.3,8.4,2.6,7.1,3.3
"14","dembums",240,20,10,80.5,4.8,7.4,4.3,10.4,10.2,12.3,11.2,7.4,6.5,6
"15","jobu",260,0,0,80.3,6.5,9.6,9.5,2.4,6.7,6.3,7.7,14.1,5.5,12
"16","deano",253,7,5,76.6,2.8,2.1,1.1,10.4,9.7,10.9,9.1,8,12.8,9.7
"17","sturgeon",241,19,5,69.9,6.1,9.1,6.1,13.1,10.6,10.2,6.3,1,6.4,1
"18","hermanos",259,1,1,62.9,4.5,10.2,8,5.7,4.4,8.7,5.9,4.3,6.5,4.7
