"","team_name","spent","left","picks.left","total_points","R_points","HR_points","RBI_points","SB_points","AVG_points","ERA_points","WHIP_points","K_points","SV_points","W_points"
"isotopes","isotopes",260,0,0,135,15.9,15.6,18,12.1,13.9,11.3,12.8,10.3,16.7,8.4
"marmaduke","marmaduke",260,0,0,118.8,12.1,11.4,12.6,12.4,12.6,12.1,13.8,11.7,9.7,10.4
"deano","deano",260,0,0,117.4,5.1,7.6,7.1,9.7,15.5,14.3,17.8,12.4,17.7,10.2
"pasadena","pasadena",248,12,0,114.7,11.4,14.6,13.8,8.6,15.6,11.1,12.2,9.8,8.5,9.1
"rippe","rippe",260,0,0,114.2,11.5,12.4,12.6,10.4,16,11.2,12,7.2,14.7,6.2
"baycity","baycity",260,0,0,110.3,11.3,10.1,12.8,6.4,12,12.7,12.8,12.1,10.1,10
"sturgeon","sturgeon",260,0,0,108.9,12.7,14.4,15,14.2,13.7,9.4,9.8,8.6,3.8,7.3
"ottawa","ottawa",260,0,0,105,13.3,15.9,16.1,11,5.9,8.2,7.6,12.1,3.8,11.1
"bears","bears",260,0,0,102.3,7.2,12.1,9.4,11.5,10.6,11.3,12.8,13.8,1.4,12.2
"d&s","d&s",260,0,0,101.6,8.9,8.6,9.5,13.7,13.9,11.1,13.4,10.2,3,9.3
"dembums","dembums",260,0,0,98.9,6,10.6,8.4,4.8,16.1,10.6,11.4,9.9,11.6,9.5
"deener","deener",260,0,0,97.7,8.7,8.1,9.6,9,14.9,8.4,9.2,11.4,7.6,10.8
"counsel","counsel",240,20,0,93.4,11.2,12.5,13.8,7.1,12.6,12.6,13.3,3.1,5.7,1.5
"hermanos","hermanos",260,0,0,93,8.9,12.6,12.5,4.8,5.1,10.5,10.7,7.7,11.6,8.6
"jobu","jobu",260,0,0,91.6,7.4,7.9,6.1,9.2,3.5,10.6,11.3,10,17,8.6
"bellevegas","bellevegas",256,4,0,90.2,6.7,13,11.1,4.7,3.9,9.4,10.1,10.8,10.3,10.2
"balco","balco",260,0,0,87.4,11.6,13.2,13.4,6.1,10.4,9.7,9.4,2.9,8.5,2.2
"pk dodgers","pk dodgers",260,0,0,77.6,3.6,3.6,3.1,15.3,9.7,10.2,12.4,5.2,10.7,3.8
