"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Kris Bryant","Cubs","147","646","542","155","32","3","33","102","94","84","138","12","8","5","",".285",".390",".536",".927",".390","","140","2.9","2.1","","36.2","4.0","6.1","","15.7","15429"
"Josh Donaldson","Blue Jays","139","612","515","142","29","2","34","95","95","84","125","6","4","2","",".275",".380",".536",".916",".386","","142","0.0","4.5","","31.8","6.4","5.9","","28.4","5038"
"Nolan Arenado","Rockies","149","646","579","171","37","5","39","99","114","57","102","4","3","2","",".295",".360",".576",".936",".386","","123","-0.5","6.1","","18.3","8.6","4.7","","5.3","9777"
"Manny Machado","Orioles","146","642","580","169","34","1","37","95","105","53","102","3","8","5","",".291",".351",".544",".895",".373","","133","-1.2","0.4","","25.2","7.7","5.5","","19.0","11493"
"Justin Turner","Dodgers","128","558","487","142","31","1","21","76","77","53","83","12","4","2","",".292",".373",".490",".863",".367","","129","-0.6","2.4","","20.5","4.5","4.3","","85.8","5235"
"Anthony Rendon","Nationals","137","582","499","141","33","1","21","79","78","70","95","6","7","4","",".282",".375",".480",".855",".364","","123","0.5","6.2","","17.4","8.5","4.4","","57.8","12861"
"Miguel Sano","Twins","111","472","409","104","19","2","28","67","77","56","156","3","1","1","",".255",".347",".513",".861",".361","","124","-1.6","-0.2","","12.3","0.8","2.9","","98.1","12164"
"Jose Ramirez","Indians","148","642","578","172","42","4","21","89","90","53","66","4","17","9","",".297",".358",".492",".850",".359","","123","1.1","2.9","","19.1","5.4","4.6","","19.3","13510"
"Matt Carpenter","Cardinals","128","572","472","124","31","2","18","80","64","86","119","6","3","2","",".262",".380",".454",".834",".359","","122","0.1","-1.7","","16.4","-9.5","2.5","","185.2","8090"
"Joey Gallo","Rangers","140","576","486","111","18","3","38","82","94","78","199","6","6","4","",".227",".338",".512",".850",".357","","119","1.2","-0.6","","14.7","-12.1","2.2","","115.4","14128"
"Adrian Beltre","Rangers","126","542","488","141","26","2","20","70","79","45","74","5","2","1","",".289",".352",".474",".826",".350","","114","-1.5","5.2","","8.1","6.9","3.4","","158.9","639"
"Alex Bregman","Astros","146","624","555","153","33","4","22","87","83","56","95","6","12","7","",".276",".346",".473",".819",".348","","121","-0.6","-2.2","","15.2","0.2","3.7","","33.2","17678"
"Jake Lamb","Diamondbacks","140","592","509","129","28","4","25","76","84","73","144","5","6","3","",".254",".350",".475",".825",".347","","107","0.8","-4.8","","6.2","-2.5","2.3","","118.0","13329"
"Mike Moustakas","","125","525","475","127","24","1","28","69","82","39","83","6","1","1","",".267",".327",".500",".827",".346","","113","-1.9","-0.1","","6.9","2.0","2.6","","110.2","4892"
"Rafael Devers","Red Sox","126","513","468","134","30","3","19","65","73","36","107","3","6","4","",".286",".338",".483",".821",".346","","112","-0.3","-2.3","","7.4","-0.2","2.5","","128.5","17350"
"Jung Ho Kang","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".267",".344",".463",".807",".345","","112","0.0","0.0","","0.0","0.0","0.0","","702.7","17182"
"Nick Castellanos","Tigers","139","591","540","147","30","6","23","74","82","41","132","4","4","3","",".273",".326",".482",".808",".341","","111","-1.8","-8.6","","5.9","-16.1","1.0","","103.7","11737"
"Kyle Seager","Mariners","145","605","534","140","29","1","26","77","84","58","101","6","3","2","",".262",".338",".469",".807",".340","","116","-0.9","1.5","","10.8","3.2","3.5","","134.2","9785"
"Yandy Diaz","Indians","52","209","181","52","9","1","3","24","22","24","39","1","2","1","",".288",".372",".402",".774",".340","","109","-0.1","0.0","","2.3","0.9","1.0","","487.7","16578"
"Maikel Franco","Phillies","130","531","485","128","26","1","25","63","77","37","83","4","1","1","",".264",".319",".478",".797",".335","","104","-0.8","-2.1","","2.0","0.1","1.9","","236.4","12179"
"Eugenio Suarez","Reds","140","595","518","130","25","2","23","72","72","63","140","7","6","4","",".251",".338",".438",".776",".334","","103","-0.8","0.3","","1.3","2.6","2.3","","190.1","12552"
"Wilmer Flores","Mets","89","366","339","92","18","1","17","43","52","20","53","3","2","1","",".271",".316",".474",".790",".333","","108","-0.8","0.7","","2.7","-4.4","1.0","","322.1","5827"
"Evan Longoria","Giants","143","612","557","150","33","2","23","74","86","44","112","5","3","2","",".269",".326",".463",".789",".333","","107","0.0","3.4","","5.5","5.8","3.1","","198.1","9368"
"Yangervis Solarte","Blue Jays","73","298","268","73","16","1","9","36","37","23","38","3","1","1","",".272",".335",".443",".778",".332","","105","-0.8","-2.9","","1.0","-1.3","1.0","","275.0","5352"
"Jedd Gyorko","Cardinals","121","496","443","112","19","2","22","59","69","44","109","3","4","2","",".253",".322",".453",".776",".330","","103","-1.0","-0.6","","1.0","0.6","1.8","","355.9","10816"
"Travis Shaw","Brewers","136","576","513","128","26","1","26","70","81","54","135","5","5","3","",".249",".323",".454",".778",".329","","98","-1.2","-2.0","","-2.6","0.0","1.6","","94.7","11982"
"Derek Dietrich","Marlins","90","364","317","80","16","3","11","39","41","29","78","13","2","1","",".252",".337",".424",".760",".326","","101","0.2","-3.3","","0.9","-7.1","0.6","","514.0","10542"
"Eduardo Nunez","","85","361","336","96","20","1","10","44","41","17","51","3","15","7","",".286",".324",".440",".765",".326","","100","0.3","-1.4","","0.4","0.1","1.2","","130.1","6848"
"Danny Valencia","","30","124","112","29","6","1","4","14","16","10","30","1","1","0","",".262",".322",".441",".763",".326","","100","-0.6","-0.9","","-0.6","-3.4","0.0","","604.8","6364"
"Yunel Escobar","","63","282","254","71","13","1","6","34","27","22","40","3","2","1","",".280",".342",".405",".746",".324","","99","-1.6","-2.8","","-2.0","-1.7","0.6","","651.4","4191"
"Todd Frazier","Mets","136","554","482","109","21","1","26","64","73","59","127","7","6","4","",".227",".318",".436",".754",".323","","101","-0.2","1.1","","0.2","3.3","2.1","","287.3","785"
"Luis Valbuena","Angels","65","257","222","51","11","0","11","31","33","30","64","2","1","1","",".228",".320",".426",".746",".320","","102","-0.4","0.1","","0.1","-3.6","0.5","","540.0","4969"
"Cheslor Cuthbert","Royals","127","522","473","124","26","2","16","57","59","40","101","3","3","2","",".261",".320",".425",".745",".319","","96","-1.1","2.1","","-3.5","-8.5","0.6","","577.4","10473"
"David Freese","Pirates","52","217","189","48","9","0","5","23","24","21","56","5","1","0","",".254",".340",".392",".733",".319","","95","-1.0","-0.9","","-2.4","-1.3","0.3","","619.4","9549"
"Josh Harrison","Pirates","129","563","516","143","31","3","12","65","57","28","92","11","12","6","",".276",".325",".417",".742",".319","","95","0.9","-1.9","","-2.6","0.3","1.6","","266.5","8202"
"Matt Chapman","Athletics","140","570","506","115","25","3","27","68","77","53","165","4","6","4","",".227",".303",".445",".748",".317","","98","0.6","3.7","","-0.6","6.1","2.5","","280.1","16505"
"Jeimer Candelario","Tigers","99","409","365","91","22","2","12","46","47","36","88","3","1","1","",".250",".321",".416",".737",".317","","94","-0.1","-1.3","","-3.0","-0.1","1.1","","338.4","13621"
"Miguel Andujar","Yankees","88","338","311","83","16","1","11","40","43","18","56","3","4","2","",".267",".311",".430",".742",".316","","95","0.1","0.0","","-2.1","1.5","1.1","","469.1","15878"
"Eduardo Escobar","Twins","68","265","242","63","13","2","8","30","33","18","52","2","2","1","",".261",".313",".430",".743",".316","","93","0.2","-0.1","","-2.1","1.0","0.8","","430.6","6153"
"Tommy La Stella","Cubs","29","117","103","27","6","0","2","13","12","12","19","1","1","1","",".264",".342",".377",".719",".315","","91","-0.2","-0.4","","-1.6","-2.4","0.0","","674.7","12371"
"Martin Prado","Marlins","97","421","384","105","21","1","8","45","41","29","58","3","2","1","",".274",".327",".400",".727",".313","","93","-1.5","0.5","","-5.6","1.3","0.9","","550.5","3312"
"Alex Guerrero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".291",".450",".741",".313","","91","0.0","0.0","","0.0","0.0","0.0","","999.0","15670"
"Jhonny Peralta","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".316",".408",".724",".311","","91","0.0","0.0","","0.0","0.0","0.0","","999.0","1738"
"Colin Moran","Pirates","99","404","366","95","17","1","11","40","46","30","87","3","2","2","",".259",".318",".399",".717",".308","","88","-0.4","-0.5","","-6.4","1.2","0.8","","498.6","16909"
"J.P. Crawford","Phillies","133","534","460","108","19","4","12","54","53","65","101","2","7","4","",".236",".330",".371",".701",".308","","87","-0.3","-5.4","","-9.3","1.2","0.9","","378.7","15491"
"Ryon Healy","Mariners","110","440","411","106","21","1","16","48","56","21","102","3","1","1","",".259",".297",".430",".726",".308","","94","-0.5","-1.3","","-3.8","-10.2","0.1","","192.7","15447"
"Drew Robinson","Rangers","25","100","87","20","4","1","3","12","11","11","29","1","2","1","",".229",".316",".395",".711",".308","","85","-0.1","-0.6","","-1.9","-0.9","0.1","","675.3","11761"
"Pat Valaika","Rockies","23","88","82","21","5","0","3","10","11","4","21","0","1","1","",".259",".297",".428",".725",".308","","72","0.1","-0.2","","-3.1","0.6","0.0","","564.9","14885"
"Adonis Garcia","Braves","23","96","90","24","5","0","3","10","11","4","16","1","1","1","",".270",".306",".417",".723",".308","","87","-0.3","-0.6","","-1.9","-1.1","0.0","","648.5","13777"
"Greg Garcia","Cardinals","58","222","191","48","9","1","2","21","20","24","45","3","3","1","",".253",".344",".349",".693",".307","","88","0.3","-0.6","","-3.1","-2.3","0.2","","711.5","10951"
"Chase Headley","Padres","102","416","367","91","18","1","9","39","42","40","96","5","4","2","",".247",".326",".377",".704",".307","","90","-0.4","0.7","","-5.6","2.4","1.0","","406.9","4720"
"Matt Duffy","Rays","86","360","329","88","16","2","7","37","38","24","58","3","6","3","",".267",".320",".388",".708",".307","","92","-0.2","0.9","","-3.8","2.5","1.1","","478.2","13836"
"Brian Anderson","Marlins","62","250","226","56","11","1","7","25","28","19","56","3","1","1","",".247",".311",".400",".711",".307","","88","0.1","-0.3","","-3.7","-2.1","0.2","","547.8","18289"
"Trevor Plouffe","","16","67","60","14","3","0","2","7","8","6","16","0","0","0","",".238",".307",".407",".714",".306","","87","-0.2","-0.7","","-1.3","-0.5","0.0","","693.3","7462"
"Cory Spangenberg","Padres","74","305","277","71","14","2","6","30","30","22","72","3","6","3","",".257",".316",".387",".703",".304","","88","0.8","-1.9","","-3.8","-3.1","0.3","","383.8","12294"
"Johan Camargo","Braves","104","402","374","102","22","2","7","37","43","20","72","2","2","1","",".272",".311",".400",".711",".304","","84","0.1","2.0","","-7.9","3.1","0.8","","442.8","14950"
"Rio Ruiz","Braves","53","207","183","43","9","1","6","21","23","20","52","1","1","1","",".237",".312",".392",".704",".304","","84","0.0","0.4","","-4.1","-0.6","0.2","","667.0","14103"
"J.D. Davis","Astros","11","44","40","9","2","0","2","5","6","3","12","0","0","0","",".236",".294",".418",".713",".304","","90","0.0","-0.1","","-0.6","0.1","0.1","","635.1","16219"
