"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Gary Sanchez","Yankees","119","502","452","122","21","1","30","71","84","39","108","6","3","2","",".269",".333",".517",".851",".357","","123","-0.6","-0.3","","13.4","8.0","3.9","","20.1","11442"
"Buster Posey","Giants","122","528","463","138","28","1","15","66","68","55","62","5","4","2","",".297",".375",".459",".835",".354","","121","-1.9","7.0","","12.2","16.1","4.5","","59.0","9166"
"Willson Contreras","Cubs","118","490","433","117","24","1","19","62","69","47","101","5","5","4","",".271",".346",".464",".811",".346","","111","-1.7","-0.5","","4.9","8.0","2.9","","52.6","11609"
"Chris Iannetta","Rockies","59","233","200","51","11","0","9","28","30","28","59","2","1","1","",".253",".350",".450",".799",".344","","95","-0.9","-0.1","","-2.3","4.8","1.0","","282.3","8267"
"Evan Gattis","Astros","106","417","379","96","19","1","22","54","64","28","86","4","2","1","",".254",".309",".486",".795",".333","","110","-1.2","-0.8","","4.1","-7.2","1.1","","148.3","11003"
"Yasmani Grandal","Dodgers","71","278","239","56","11","0","13","32","37","34","72","1","1","1","",".234",".330",".441",".771",".331","","106","-1.3","-0.1","","0.8","5.8","1.6","","229.1","11368"
"Alex Avila","Diamondbacks","82","326","268","62","12","1","10","36","36","51","106","2","1","1","",".229",".354",".396",".750",".329","","96","-1.4","1.2","","-3.2","6.2","1.3","","364.7","7476"
"Jonathan Lucroy","","103","414","366","99","20","2","11","45","48","39","61","4","2","1","",".270",".344",".424",".768",".329","","102","-1.7","2.7","","-0.7","11.3","2.4","","184.0","7870"
"Tyler Flowers","Braves","84","340","301","78","16","0","11","36","42","26","86","9","1","1","",".260",".334",".426",".760",".328","","100","-1.0","-2.7","","-1.0","4.3","1.4","","298.8","9134"
"Russell Martin","Blue Jays","99","393","335","77","15","1","15","47","47","47","99","6","2","2","",".231",".334",".413",".747",".325","","100","-1.5","2.8","","-1.3","11.1","2.3","","320.9","4616"
