"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Yasmani Grandal","Brewers","118","489","415","98","19","1","23","60","66","66","122","3","2","1","",".237",".344",".453",".797",".345","","115","-2.7","0.1","","6.1","10.0","3.3","","129.6","11368"
"Gary Sanchez","Yankees","115","490","434","106","20","1","27","66","76","45","115","6","2","1","",".245",".322",".483",".805",".344","","116","-0.4","-1.4","","9.2","5.3","3.2","","57.7","11442"
"Buster Posey","Giants","123","538","473","136","27","1","12","61","61","54","66","5","4","2","",".287",".364",".427",".791",".342","","117","-1.8","6.2","","9.3","15.1","4.3","","145.8","9166"
"Chris Iannetta","Rockies","75","292","248","62","13","1","10","34","36","36","72","4","1","0","",".249",".350",".435",".784",".340","","98","-1.3","-0.5","","-2.1","5.7","1.3","","431.8","8267"
"J.T. Realmuto","Phillies","125","537","489","132","26","2","20","65","72","35","108","8","5","2","",".269",".325",".457",".782",".335","","110","1.2","2.5","","7.7","12.9","3.9","","50.0","11739"
"Willson Contreras","Cubs","114","472","413","106","22","3","14","53","58","47","103","7","4","2","",".257",".340",".427",".766",".333","","108","-1.8","0.2","","2.8","9.7","2.8","","139.6","11609"
"Danny Jansen","Blue Jays","98","400","352","90","20","1","12","47","46","36","61","7","3","1","",".256",".335",".423",".757",".329","","108","0.4","-1.7","","4.1","6.5","2.4","","189.4","16535"
"Francisco Cervelli","Pirates","84","350","298","76","14","2","7","36","35","41","75","7","3","1","",".256",".357",".382",".739",".328","","107","-0.6","-0.3","","2.2","6.3","2.0","","267.7","5275"
"Willians Astudillo","Twins","44","182","171","50","9","1","5","21","23","6","12","2","3","1","",".291",".320",".442",".762",".327","","104","0.1","-0.1","","1.0","1.2","0.8","","246.1","15608"
"Kurt Suzuki","Nationals","58","239","216","57","12","0","7","26","30","14","32","5","0","0","",".264",".322",".424",".746",".323","","100","-0.9","-1.1","","-1.0","3.7","1.1","","335.8","8259"
