"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Nelson Cruz","Twins","146","619","544","153","26","1","36","89","104","59","135","11","1","1","",".282",".361",".533",".894",".378","","139","-3.2","0.0","","25.6","-17.0","3.0","2434"
"Shohei Ohtani","Angels","113","469","410","112","22","2","25","66","72","49","125","4","10","4","",".273",".353",".515",".868",".369","","138","0.6","0.0","","21.8","-13.2","2.5","19755"
"Khris Davis","Athletics","150","636","560","134","27","1","39","86","103","63","181","8","1","1","",".240",".323",".500",".822",".349","","123","-1.9","0.0","","15.8","-17.5","2.0","9112"
"Edwin Encarnacion","Mariners","133","564","484","115","19","1","29","72","82","69","129","6","2","1","",".237",".337",".463",".800",".344","","122","-3.0","-0.3","","12.1","-15.1","1.6","2151"
"C.J. Cron","Twins","117","488","441","115","25","1","23","64","71","32","115","10","3","1","",".261",".323",".481",".804",".343","","115","-0.9","1.5","","7.8","-8.3","1.6","12546"
"Shin-Soo Choo","Rangers","147","662","560","142","26","1","21","89","68","83","151","9","7","3","",".254",".357",".418",".776",".340","","108","-0.5","-0.7","","5.7","-17.0","1.1","3174"
"Miguel Sano","Twins","138","588","511","121","24","1","29","75","83","67","202","4","1","0","",".236",".327",".456",".783",".336","","110","-1.6","-2.3","","5.7","-1.3","2.5","12164"
"Dan Vogelbach","Mariners","26","102","87","22","4","0","4","12","12","13","23","1","0","0","",".247",".346",".425",".771",".336","","117","-0.1","0.1","","2.0","-2.6","0.3","14130"
"Corey Dickerson","Pirates","138","583","540","148","33","4","21","71","75","32","113","4","6","3","",".275",".317",".466",".783",".332","","109","-0.7","1.2","","5.9","-5.7","1.9","10762"
"Kendrys Morales","Blue Jays","146","608","541","135","26","1","27","75","83","56","131","5","3","1","",".249",".323",".449",".773",".331","","109","-4.7","-0.2","","1.7","-16.9","0.5","8610"
"Evan Gattis","","81","326","295","72","14","0","16","38","47","23","70","3","1","1","",".245",".306",".462",".768",".327","","105","-1.0","0.0","","1.0","-9.4","0.2","11003"
"Ji-Man Choi","Rays","113","466","403","97","21","1","16","54","56","54","119","4","3","2","",".241",".334",".417",".751",".327","","109","-0.4","0.3","","4.4","-12.1","0.8","5452"
"Mark Trumbo","Orioles","138","572","521","129","22","1","28","67","80","42","144","3","1","0","",".247",".306",".454",".760",".326","","105","-1.5","-0.1","","1.7","-15.9","0.5","6876"
"Yandy Diaz","Rays","112","458","394","107","18","2","6","48","43","56","91","3","3","1","",".271",".363",".371",".733",".325","","108","-0.2","1.8","","4.0","-6.5","1.3","16578"
"Robbie Grossman","","32","134","113","28","6","0","3","14","13","18","27","1","1","0","",".250",".353",".377",".731",".325","","104","-0.2","-1.3","","0.4","-3.0","0.2","5254"
"Tyler Austin","Twins","40","161","145","35","7","0","7","19","21","13","50","1","1","0","",".239",".305",".444",".749",".321","","100","0.1","0.0","","0.0","-3.5","0.2","11850"
"Hanley Ramirez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".316",".428",".743",".319","","100","0.0","0.0","","0.0","0.0","0.0","8001"
"Ryan O'Hearn","Royals","143","579","514","121","25","2","22","65","70","54","157","3","2","1","",".235",".310",".422",".732",".316","","97","-0.3","-1.4","","-2.1","-13.5","0.4","16442"
"Matt Holliday","","49","203","178","42","9","0","6","22","24","21","51","2","1","0","",".236",".321",".399",".720",".314","","97","-0.9","-3.5","","-1.8","-5.9","-0.1","1873"
"Daniel Palka","White Sox","105","438","397","92","15","2","22","51","60","34","139","3","3","1","",".231",".294",".444",".738",".314","","99","-0.1","-3.1","","-0.8","-9.4","0.4","14897"
"Christian Walker","Diamondbacks","56","218","197","47","10","1","8","24","27","16","61","2","2","1","",".239",".299",".427",".727",".312","","93","0.1","0.2","","-1.9","-5.2","0.0","13419"
"Kennys Vargas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".310",".402",".712",".309","","93","0.0","0.0","","0.0","0.0","0.0","12101"
"Albert Pujols","Angels","97","414","383","95","15","0","17","48","57","26","62","2","1","0","",".249",".299",".421",".720",".308","","96","-3.0","-0.5","","-4.8","-9.4","-0.1","1177"
"Chad Huffman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".314",".389",".703",".308","","92","0.0","0.0","","0.0","0.0","0.0","5311"
"Pedro Alvarez","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".294",".416",".710",".306","","95","0.0","0.0","","0.0","0.0","0.0","2495"
"Victor Martinez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".260",".315",".389",".703",".304","","90","0.0","0.0","","0.0","0.0","0.0","393"
"Cesar Puello","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".319",".367",".686",".302","","88","0.0","0.0","","0.0","0.0","0.0","7216"
"Francisco Mejia","Padres","79","320","296","73","14","1","9","32","34","17","64","3","2","1","",".247",".294",".394",".688",".297","","87","0.3","-0.4","","-4.9","4.9","1.0","16403"
"Matt Davidson","","81","333","298","63","13","0","13","35","41","28","110","4","1","0","",".213",".286",".395",".681",".296","","84","-0.7","0.0","","-7.0","-9.4","-0.6","7226"
"Carlos Beltran","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".294",".388",".682",".294","","83","0.0","0.0","","0.0","0.0","0.0","589"
"Jose Rondon","White Sox","32","134","124","30","6","1","4","14","15","7","31","1","2","1","",".242",".284",".393",".677",".292","","84","-0.1","0.4","","-2.7","1.1","0.3","14140"
"Matt Skole","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".297",".367",".664",".291","","81","0.0","0.0","","0.0","0.0","0.0","12119"
"Rickie Weeks Jr.","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".294",".352",".647",".286","","77","0.0","0.0","","0.0","0.0","0.0","1849"
"Victor Reyes","Tigers","45","178","167","44","7","2","2","17","17","7","32","1","5","2","",".261",".294",".363",".657",".285","","77","0.2","-0.2","","-4.6","-0.3","0.1","15487"
"David Washington","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".276",".377",".653",".284","","76","0.0","0.0","","0.0","0.0","0.0","12110"
"Ryan Raburn","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".288",".349",".637",".281","","74","0.0","0.0","","0.0","0.0","0.0","2218"
"Allen Craig","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".291",".325",".616",".273","","71","0.0","0.0","","0.0","0.0","0.0","3433"
"Terrance Gore","Royals","2","7","6","1","0","0","0","1","0","0","2","0","0","0","",".216",".276",".279",".555",".249","","52","0.0","-0.1","","-0.3","-0.1","0.0","13658"
