"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Mike Trout","Angels","146","641","526","160","31","4","33","103","101","100","134","8","19","8","",".304",".419",".568",".987",".414","","168","3.8","1.2","","56.2","3.6","8.3","","1.2","10155"
"Bryce Harper","Nationals","138","600","486","139","27","2","30","91","90","104","110","4","15","9","",".286",".413",".531",".944",".396","","147","0.9","4.3","","35.9","-2.6","5.3","","10.9","11579"
"Giancarlo Stanton","Marlins","120","513","441","118","23","1","34","74","89","64","144","4","3","2","",".268",".363",".557",".920",".383","","141","-0.1","0.4","","25.7","-5.5","3.7","","37.2","4949"
"Mookie Betts","Red Sox","145","642","581","180","38","4","25","95","94","51","71","3","21","9","",".310",".366",".516",".882",".375","","132","3.6","11.3","","28.6","4.1","5.6","","3.4","13611"
"Kris Bryant","Cubs","146","639","549","151","30","3","32","93","93","72","153","11","9","5","",".275",".368",".512",".880",".374","","134","2.8","4.8","","29.2","6.5","5.7","","4.6","15429"
"Jose Bautista","Blue Jays","126","543","450","112","22","1","27","77","79","83","102","5","3","2","",".249",".369",".486",".855",".366","","130","-1.4","-3.6","","17.9","-11.3","2.6","","97.0","1887"
"Andrew McCutchen","Pirates","143","626","536","152","30","3","22","82","81","77","128","8","8","5","",".283",".378",".470",".848",".363","","129","0.2","-5.6","","22.5","-11.8","3.1","","61.3","9847"
"Carlos Gonzalez","Rockies","136","585","531","152","32","2","28","78","92","47","126","2","3","1","",".285",".344",".511",".855",".360","","107","-0.1","-1.2","","4.8","-8.0","1.6","","56.8","7287"
"Kyle Schwarber","Cubs","122","535","463","122","21","2","27","77","72","61","126","5","6","4","",".264",".353",".490",".843",".360","","124","0.7","-0.6","","16.5","-6.7","2.7","","75.3","16478"
"Christian Yelich","Marlins","142","623","546","161","34","3","16","80","72","67","122","4","12","6","",".294",".373",".456",".829",".357","","123","1.1","-3.4","","19.1","-1.0","3.9","","59.6","11477"
"Hanley Ramirez","Red Sox","124","522","465","131","26","1","22","70","79","47","98","5","6","4","",".282",".351",".487",".839",".357","","120","-1.3","-0.6","","11.0","-13.6","1.6","","74.8","8001"
"Yasiel Puig","Dodgers","117","484","432","123","24","3","18","60","64","40","95","6","6","4","",".284",".351",".481",".832",".356","","126","0.0","1.0","","15.7","-4.9","2.7","","212.4","14225"
"Ryan Braun","Brewers","125","544","487","136","25","3","24","71","76","47","105","4","12","6","",".280",".346",".492",".838",".354","","117","-1.3","-3.5","","9.8","-10.6","1.7","","47.5","3410"
"Matt Holliday","Yankees","115","485","423","115","22","1","19","62","67","49","88","8","2","1","",".272",".356",".466",".822",".353","","121","-1.9","-0.5","","10.5","-13.3","1.4","","270.6","1873"
"George Springer","Astros","140","627","535","138","24","3","26","90","76","74","153","9","13","6","",".259",".356",".461",".818",".352","","124","1.4","-2.2","","19.3","-2.0","4.0","","33.6","12856"
"Nelson Cruz","Mariners","141","601","537","142","24","1","33","79","96","53","149","6","2","1","",".264",".335",".498",".832",".351","","125","-2.9","-0.4","","14.8","-16.3","1.9","","38.4","2434"
"J.D. Martinez","Tigers","132","564","508","140","29","2","25","75","81","45","148","5","3","2","",".275",".337",".487",".824",".349","","119","-1.5","-6.2","","11.0","-13.3","1.7","","68.8","6184"
"Joc Pederson","Dodgers","129","524","438","105","20","1","25","65","69","74","139","5","7","4","",".239",".353",".455",".808",".347","","120","0.1","0.0","","13.2","2.1","3.3","","207.4","11899"
"Justin Upton","Tigers","145","602","531","138","27","2","27","78","85","60","159","5","10","5","",".260",".338",".474",".812",".346","","116","1.1","-4.8","","12.9","-12.5","2.1","","89.4","5222"
"Trea Turner","Nationals","142","630","577","174","30","8","15","88","67","41","119","3","40","16","",".301",".347",".459",".807",".346","","114","2.2","-3.7","","12.9","3.4","3.7","","14.2","16252"
"Charlie Blackmon","Rockies","142","646","583","168","31","5","20","92","68","43","107","11","23","10","",".288",".346",".460",".806",".345","","97","1.4","-9.0","","-1.1","-6.7","1.3","","16.9","7859"
"Michael Brantley","Indians","99","418","372","108","24","1","10","51","52","38","43","3","7","3","",".291",".359",".442",".801",".344","","114","0.4","-2.0","","7.4","-7.7","1.4","","192.2","4106"
"Mark Trumbo","Orioles","133","557","506","131","23","1","31","73","88","43","138","3","2","1","",".259",".318",".494",".812",".344","","113","-1.3","-2.3","","7.6","-14.9","1.2","","79.3","6876"
"Shin-Soo Choo","Rangers","120","534","452","117","23","1","16","72","58","65","125","10","8","5","",".260",".362",".424",".786",".343","","111","-0.1","-0.9","","7.1","-14.0","1.2","","310.9","3174"
"Ben Zobrist","Cubs","123","538","460","124","28","2","13","69","58","69","71","3","5","3","",".270",".365",".426",".791",".343","","113","-0.6","-0.1","","8.0","-0.2","2.5","","148.3","7435"
"Seth Smith","Orioles","103","437","379","99","22","2","15","56","52","48","89","5","1","1","",".261",".349",".446",".795",".343","","113","-0.8","-2.2","","5.8","-8.7","1.2","","437.9","7331"
"Ian Desmond","Rockies","133","563","511","143","28","3","20","71","75","42","144","5","14","6","",".280",".338",".463",".801",".343","","95","1.1","8.0","","-2.2","-2.3","1.4","","143.7","6885"
"Domingo Santana","Brewers","124","517","448","113","22","1","21","62","65","59","149","5","6","4","",".253",".343",".449",".792",".342","","109","0.2","-7.8","","5.9","-14.0","0.8","","276.1","10348"
"Steve Pearce","Blue Jays","92","375","331","86","18","1","16","47","51","35","75","4","2","2","",".259",".335",".465",".800",".342","","113","-0.1","0.1","","5.7","-6.2","1.2","","387.4","9957"
"Yoenis Cespedes","Mets","135","581","528","140","28","2","28","72","84","42","124","5","4","2","",".264",".322",".482",".805",".339","","114","0.8","3.0","","10.9","-3.2","2.7","","52.7","13110"
"Starling Marte","Pirates","133","575","525","151","32","4","15","71","69","31","118","14","33","15","",".289",".342",".447",".789",".338","","112","1.8","0.6","","10.5","2.4","3.2","","25.2","9241"
"Hyun Soo Kim","Orioles","97","408","362","102","16","1","12","52","45","36","57","4","4","3","",".282",".352",".429",".781",".338","","109","-0.1","-5.3","","4.5","-10.2","0.8","","391.6","18718"
"A.J. Pollock","Diamondbacks","130","576","519","146","31","4","15","74","59","46","85","3","23","10","",".281",".341",".440",".780",".337","","103","0.8","5.2","","3.3","7.4","3.0","","37.5","9256"
"Josh Reddick","Astros","112","449","401","107","20","2","17","54","59","41","64","1","6","3","",".267",".334",".452",".787",".336","","113","1.1","2.2","","7.9","-3.4","2.0","","301.9","3892"
"Josh Bell","Pirates","121","514","453","127","23","3","12","61","56","52","76","3","6","4","",".280",".355",".425",".780",".336","","111","-0.6","-3.0","","6.2","-11.7","1.1","","263.4","13145"
"Khris Davis","Athletics","141","598","539","133","26","2","31","75","90","47","156","7","3","2","",".247",".313",".475",".788",".335","","113","-1.3","-3.6","","8.4","-12.2","1.7","","95.6","9112"
"Michael Conforto","Mets","79","322","286","74","16","1","12","36","41","29","66","3","2","2","",".259",".330",".450",".781",".334","","111","0.3","1.6","","4.7","-3.7","1.2","","306.8","16376"
"Marcell Ozuna","Marlins","134","556","507","138","27","4","19","64","75","40","114","3","3","2","",".273",".327",".456",".783",".334","","108","0.6","5.6","","6.0","-0.7","2.4","","180.4","10324"
"Adam Eaton","Nationals","144","651","579","167","30","6","10","85","57","53","108","10","14","7","",".288",".355",".412",".767",".334","","106","2.2","-4.6","","6.9","-2.2","2.6","","125.7","11205"
"Andrew Benintendi","Red Sox","126","523","474","134","32","6","10","65","60","38","76","4","13","8","",".283",".338",".440",".778",".334","","104","-0.1","-0.6","","2.3","-6.4","1.4","","113.9","17901"
"Jackie Bradley Jr.","Red Sox","135","538","473","123","28","4","16","65","65","51","123","6","7","4","",".261",".338",".439",".777",".334","","104","0.4","6.4","","2.8","8.6","3.0","","135.0","12984"
"Dexter Fowler","Cardinals","134","608","513","131","25","5","12","80","50","79","133","7","14","7","",".255",".360",".394",".754",".333","","107","1.8","-8.9","","7.2","-6.6","2.0","","164.6","4062"
"Willson Contreras","Cubs","108","434","388","105","21","2","13","47","54","36","79","5","5","3","",".271",".337",".432",".769",".332","","106","-0.4","0.3","","2.7","5.5","2.3","","98.4","11609"
"Melky Cabrera","White Sox","142","617","564","163","32","3","14","70","71","44","75","2","2","1","",".289",".340",".432",".772",".332","","107","-2.0","-7.0","","3.2","-15.2","0.9","","243.3","4022"
"Jayce Ray","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".286",".344",".422",".766",".332","","103","0.0","0.0","","0.0","0.0","0.0","","999.0","sa621655"
"Jason Heyward","Cubs","127","518","454","122","25","2","13","58","58","53","81","4","11","5","",".268",".347",".415",".763",".332","","105","1.6","14.6","","5.1","8.6","3.1","","262.4","4940"
"Matt Kemp","Braves","139","594","545","146","31","1","24","67","83","41","141","3","3","2","",".268",".320",".460",".780",".331","","105","-1.2","-13.8","","2.5","-20.7","0.1","","96.1","5631"
"Aaron Judge","Yankees","99","386","341","84","14","1","17","47","51","37","111","3","4","2","",".248",".324",".446",".770",".331","","106","0.1","-0.1","","3.1","-5.1","1.1","","306.8","15640"
"Stephen Cardullo","Rockies","25","98","90","25","5","1","3","11","12","6","16","1","1","1","",".279",".329",".446",".775",".331","","88","-0.1","0.0","","-1.6","-2.6","-0.1","","846.7","11204"
"Nomar Mazara","Rangers","133","545","492","134","20","3","18","65","68","41","103","5","2","2","",".272",".332",".437",".768",".331","","103","-0.6","2.5","","1.1","-4.1","1.6","","194.5","14553"
"Jayson Werth","Nationals","115","482","419","107","22","1","14","56","54","53","111","4","4","2","",".257",".343",".414",".758",".331","","104","0.3","-6.1","","2.4","-11.9","0.6","","345.2","1327"
"David Peralta","Diamondbacks","124","529","483","132","25","7","15","61","63","36","108","4","6","4","",".273",".327",".446",".773",".330","","99","0.5","-1.8","","0.0","-8.0","0.9","","269.9","2136"
"Jorge Soler","Royals","107","438","387","99","20","1","15","50","54","43","108","4","2","1","",".257",".333",".432",".765",".330","","104","0.2","-2.6","","2.1","-10.0","0.7","","274.8","14221"
"Max Kepler","Twins","129","534","476","125","24","6","16","62","65","49","95","4","8","5","",".262",".333",".437",".770",".330","","104","1.0","0.2","","3.7","-6.3","1.6","","235.0","12144"
"Adam Jones","Orioles","143","633","587","159","27","1","28","83","84","31","117","7","3","2","",".270",".313",".463",".775",".330","","104","1.2","-4.3","","4.0","-1.9","2.4","","104.5","6368"
"Alex Dickerson","Padres","77","318","287","78","17","2","10","34","37","23","57","4","2","1","",".272",".331",".444",".775",".329","","107","-0.2","-1.2","","2.5","-6.9","0.6","","377.2","12649"
"Stephen Piscotty","Cardinals","143","613","552","148","32","3","17","70","75","48","120","7","7","5","",".268",".333",".429",".762",".329","","105","-1.4","1.3","","2.1","-5.9","1.6","","122.6","13367"
"Hunter Pence","Giants","114","486","439","117","23","2","16","55","62","40","103","2","3","2","",".266",".328",".437",".765",".329","","108","0.0","0.6","","4.9","-5.1","1.6","","195.6","8252"
"Carlos Beltran","Astros","121","511","468","126","27","1","19","61","70","35","94","3","1","1","",".269",".322",".449",".771",".329","","108","-2.1","-0.8","","2.5","-14.0","0.6","","207.3","589"
"Brandon Moss","Royals","125","509","448","106","22","2","23","62","69","49","143","6","1","1","",".237",".319",".453",".771",".328","","103","-0.1","-0.3","","1.5","-13.5","0.5","","329.5","4467"
"Kole Calhoun","Angels","144","636","568","149","29","3","20","80","75","54","130","5","4","2","",".262",".329",".430",".759",".328","","109","1.1","5.3","","8.2","-1.9","2.9","","173.7","11200"
"Gregory Polanco","Pirates","136","592","528","140","30","3","18","73","68","54","111","2","18","10","",".265",".333",".434",".767",".328","","106","1.0","3.8","","5.0","-2.4","2.2","","70.3","12907"
"Curtis Granderson","Mets","134","593","507","119","23","3","22","75","63","71","129","7","6","3","",".235",".335",".424",".758",".327","","106","0.8","-8.5","","5.5","-7.9","1.7","","250.0","4747"
"Chris Young","Red Sox","79","316","281","71","18","1","11","38","41","27","69","3","4","2","",".251",".322",".438",".760",".326","","99","0.1","-1.4","","-0.4","-6.2","0.4","","748.7","3882"
"Brandon Guyer","Indians","70","276","243","65","15","1","6","31","30","17","49","12","4","2","",".266",".341",".402",".743",".326","","102","0.0","-0.5","","0.6","-3.7","0.6","","691.1","2636"
"David Dahl","Rockies","113","461","423","115","22","4","14","52","57","30","109","2","12","7","",".271",".321",".438",".760",".325","","84","0.4","0.8","","-8.9","-4.5","0.1","","131.6","13744"
"Lorenzo Cain","Royals","125","549","500","141","28","3","11","63","61","37","105","6","16","7","",".283",".338",".417",".755",".325","","100","0.8","7.2","","1.1","8.8","2.9","","125.1","9077"
"Matt Joyce","Athletics","113","466","389","90","19","2","13","53","50","67","108","5","3","2","",".232",".349",".393",".742",".325","","107","0.2","-6.7","","3.9","-12.3","0.8","","548.5","3353"
"Derek Dietrich","Marlins","75","307","269","68","14","3","8","34","34","23","66","11","2","1","",".253",".334",".413",".748",".325","","102","0.1","0.3","","0.7","-4.4","0.6","","565.8","10542"
"Michael Saunders","Phillies","118","486","423","102","23","2","17","53","58","54","131","3","3","2","",".240",".328",".423",".751",".325","","101","0.8","-3.8","","1.5","-10.1","0.7","","355.4","9981"
"Yasmany Tomas","Diamondbacks","115","474","440","117","24","2","19","52","64","26","114","2","4","3","",".267",".309",".455",".764",".324","","95","-1.6","-8.4","","-4.6","-14.4","-0.4","","185.0","17171"
"Joey Gallo","Rangers","46","180","155","34","6","1","9","22","25","21","65","1","1","1","",".217",".314",".444",".758",".323","","97","0.2","0.6","","-0.4","-2.3","0.3","","393.2","14128"
"Brett Gardner","Yankees","126","561","490","127","24","4","12","71","53","57","110","6","12","5","",".258",".340",".395",".736",".323","","101","2.0","2.0","","2.3","-4.3","1.8","","280.5","9927"
"Christin Stewart","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".316",".430",".746",".322","","100","0.0","0.0","","0.0","0.0","0.0","","999.0","sa858826"
"Randal Grichuk","Cardinals","124","497","458","114","25","3","22","56","70","29","132","4","6","4","",".248",".296",".463",".759",".322","","100","0.6","5.0","","0.4","-0.2","1.6","","223.5","10243"
"Howie Kendrick","Phillies","115","488","441","123","24","2","9","51","47","37","88","3","7","4","",".280",".337",".404",".741",".321","","99","-0.8","0.4","","-1.5","-5.1","0.9","","324.7","4229"
"Alex Gordon","Royals","126","529","460","114","23","2","15","60","57","54","134","9","6","3","",".248",".335",".404",".739",".321","","98","0.7","8.0","","-0.9","1.7","1.9","","326.1","5209"
"Josh Hamilton","Rangers","10","40","37","9","2","0","2","5","5","3","11","0","0","0","",".254",".311",".442",".753",".321","","96","0.0","0.0","","-0.2","-0.9","0.0","","784.8","1875"
"Rob Refsnyder","Yankees","42","161","144","39","8","0","3","18","17","14","27","1","3","1","",".274",".341",".396",".737",".320","","99","-0.2","-1.4","","-0.4","-1.2","0.4","","836.0","13770"
"Jesse Winker","Reds","12","50","44","11","2","0","1","5","5","5","9","0","0","0","",".263",".346",".391",".736",".320","","96","0.0","0.0","","-0.3","-0.6","0.1","","999.0","sa657865"
"Odubel Herrera","Phillies","144","641","573","157","26","4","12","74","58","53","131","6","19","10","",".273",".340",".397",".736",".319","","98","0.5","1.4","","-1.5","3.8","2.3","","137.3","11476"
