"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Carlos Correa","Astros","139","597","522","152","32","2","28","87","95","66","109","4","7","4","",".291",".372",".517",".889",".374","","139","0.9","-2.0","","29.3","5.0","5.5","","13.9","14162"
"Corey Seager","Dodgers","138","608","537","155","34","1","24","87","78","59","114","4","4","2","",".289",".361",".492",".854",".361","","125","1.4","4.6","","21.3","11.5","5.2","","39.2","13624"
"Francisco Lindor","Indians","148","661","591","174","35","3","26","98","88","58","82","4","14","7","",".294",".358",".493",".851",".360","","123","0.0","10.5","","18.8","17.9","5.9","","21.1","12916"
"Trea Turner","Nationals","138","629","572","170","32","7","17","95","66","43","116","4","49","18","",".297",".348",".466",".814",".347","","111","3.5","0.4","","12.6","7.3","4.0","","5.2","16252"
"Jung Ho Kang","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".267",".344",".463",".807",".345","","112","0.0","0.0","","0.0","0.0","0.0","","702.7","17182"
"Ian Desmond","Rockies","137","571","517","146","27","2","21","72","79","43","140","5","15","7","",".281",".339",".467",".807",".343","","95","0.9","5.5","","-3.0","-6.0","0.9","","114.3","6885"
"Xander Bogaerts","Red Sox","137","593","532","154","30","3","15","76","73","50","99","5","10","5","",".290",".353",".445",".798",".342","","109","2.0","-1.2","","8.9","5.7","3.5","","85.9","12161"
"Trevor Story","Rockies","136","556","494","125","29","3","25","69","79","50","167","4","9","5","",".252",".324",".472",".797",".336","","90","0.6","-0.7","","-6.8","6.1","1.7","","115.3","12564"
"Wilmer Flores","Mets","89","366","339","92","18","1","17","43","52","20","53","3","2","1","",".271",".316",".474",".790",".333","","108","-0.8","0.7","","2.7","-4.4","1.0","","322.1","5827"
"Troy Tulowitzki","Blue Jays","98","398","358","93","18","1","16","48","52","32","76","4","2","1","",".261",".326",".447",".773",".330","","104","-1.5","0.0","","0.3","4.9","1.9","","380.2","3531"
"Ketel Marte","Diamondbacks","122","489","443","128","26","4","7","52","52","37","67","2","9","5","",".289",".344",".418",".762",".327","","94","0.4","-3.9","","-3.2","2.2","1.5","","355.3","13613"
"Eduardo Nunez","","85","361","336","96","20","1","10","44","41","17","51","3","15","7","",".286",".324",".440",".765",".326","","100","0.3","-1.4","","0.4","0.1","1.2","","130.1","6848"
"Addison Russell","Cubs","123","484","429","108","24","2","18","55","63","43","104","6","4","2","",".252",".326",".444",".770",".326","","98","0.3","8.4","","-1.1","14.5","2.9","","250.9","14106"
"Brendan Rodgers","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".285",".321",".443",".764",".326","","83","0.0","0.0","","0.0","0.0","0.0","","562.8","sa874238"
"Jorge Polanco","Twins","133","558","505","139","28","4","14","67","64","42","81","3","12","8","",".274",".332",".426",".758",".325","","100","0.0","-4.0","","-0.3","2.6","2.1","","204.8","13152"
"Paul DeJong","Cardinals","127","522","482","126","25","1","23","61","76","29","132","5","3","2","",".262",".308",".463",".771",".325","","100","-0.6","-0.3","","-0.5","6.0","2.2","","150.1","18015"
"Marcus Semien","Athletics","136","587","522","132","28","2","21","75","66","54","125","2","12","5","",".252",".323",".434",".757",".324","","103","0.4","-9.9","","2.6","-3.1","2.0","","230.0","12533"
"Javier Baez","Cubs","126","508","465","122","23","2","22","60","71","31","128","6","10","5","",".262",".314",".462",".776",".322","","95","1.0","2.7","","-2.2","4.7","1.9","","102.3","12979"
"Elvis Andrus","Rangers","146","637","579","162","34","3","12","79","67","46","89","4","22","10","",".280",".335",".411",".746",".322","","95","1.7","-5.8","","-2.3","1.5","2.1","","56.6","8709"
