"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Freddie Freeman","Braves","152","663","572","171","39","4","28","95","97","77","131","9","3",".299",".388",".528",".916",".387","21.0","5361"
"Joey Votto","Reds","151","658","535","154","32","3","22","92","82","110","111","4","1",".288",".412",".479",".891",".384","66.9","4314"
"Paul Goldschmidt","Cardinals","152","662","557","155","30","2","32","97","91","94","157","13","4",".279",".386",".511",".897",".381","19.0","9218"
"Anthony Rizzo","Cubs","151","660","559","158","35","3","29","93","92","75","89","8","3",".284",".384",".511",".895",".380","36.3","3473"
"Matt Carpenter","Cardinals","144","627","521","133","32","3","29","87","85","93","145","4","2",".256",".373",".495",".868",".370","73.3","8090"
"Joey Gallo","Rangers","151","645","551","124","25","3","46","96","112","85","231","6","1",".226",".334",".533",".867",".365","103.8","14128"
"Jose Abreu","White Sox","146","613","554","159","32","2","27","77","85","41","119","3","1",".286",".347",".496",".843",".358","85.9","15676"
"Miguel Cabrera","Tigers","151","636","553","157","33","2","22","79","81","73","121","2","1",".283",".369",".470",".838",".358","167.0","1744"
"Max Muncy","Dodgers","139","570","482","116","23","1","29","78","82","79","150","4","1",".241",".351",".478",".829",".355","111.4","13301"
"Cody Bellinger","Dodgers","146","639","559","142","31","3","33","89","93","72","160","10","2",".255",".341",".498",".839",".354","46.2","15998"
"Steve Pearce","Red Sox","79","346","305","82","18","1","14","47","48","33","63","2","0",".268",".347",".472",".820",".352","537.2","9957"
"Jesus Aguilar","Brewers","146","632","560","142","29","1","36","83","96","59","164","1","0",".254",".329",".502",".831",".352","80.9","11342"
"Edwin Encarnacion","Mariners","133","565","486","116","20","1","32","72","84","69","130","3","1",".239",".337",".481",".819",".350","129.9","2151"
"Carlos Santana","Indians","146","630","527","132","29","2","23","82","79","94","91","4","1",".250",".365",".443",".807",".350","201.2","2396"
"Matt Adams","Nationals","89","248","224","58","12","1","14","32","41","20","59","1","0",".260",".322",".503",".826",".348","540.0","9393"
"Justin Bour","Angels","94","405","352","88","15","1","21","53","57","47","94","1","0",".251",".341",".476",".818",".348","428.3","9744"
"Brandon Belt","Giants","146","624","537","138","34","5","21","78","76","77","146","4","1",".257",".354",".454",".808",".348","398.1","10264"
"C.J. Cron","Twins","109","463","419","110","24","1","22","62","64","32","107","3","1",".263",".327",".488",".814",".347","260.6","12546"
"Justin Smoak","Blue Jays","149","629","543","133","28","1","30","81","81","77","158","2","0",".244",".340",".463",".803",".345","230.8","9054"
"Hanley Ramirez","Indians","11","49","44","12","2","0","2","6","7","4","10","1","0",".267",".339",".464",".802",".344","595.9","8001"
"Eric Thames","Brewers","86","232","201","47","10","1","12","31","32","26","72","3","1",".235",".331",".475",".806",".344","448.4","3711"
"Wil Myers","Padres","131","564","499","127","27","2","24","77","71","57","146","16","4",".255",".334",".464",".797",".342","110.0","10047"
"Ryan Zimmerman","Nationals","130","547","493","130","28","2","24","70","79","46","116","2","1",".264",".328",".472",".799",".342","354.8","4220"
"Tyler White","Astros","133","577","511","132","27","2","24","76","78","55","120","4","1",".257",".335",".458",".793",".341","254.9","15564"
"Matt Olson","Athletics","151","641","555","130","32","1","31","81","86","75","171","2","1",".235",".330",".467",".797",".341","112.8","14344"
"Eric Hosmer","Padres","151","648","579","161","28","2","21","80","77","62","118","7","2",".278",".349",".443",".792",".341","178.4","3516"
"Josh Bell","Pirates","143","613","536","142","29","4","19","75","75","70","115","5","2",".265",".350",".439",".790",".340","270.1","13145"
"Greg Bird","Yankees","42","183","158","38","10","0","8","24","25","21","46","0","0",".238",".332",".462",".795",".340","517.8","14131"
"Jose Martinez","Cardinals","126","469","422","119","23","1","14","58","55","40","88","3","1",".283",".346",".442",".788",".340","224.9","7996"
"Luke Voit","Yankees","115","500","446","116","22","2","21","65","65","45","120","1","0",".259",".333",".458",".791",".340","191.8","14811"
"Wilmer Flores","Diamondbacks","143","600","550","152","34","3","21","69","80","39","71","2","1",".277",".326",".465",".791",".337","411.5","5827"
"Jake Bauers","Indians","143","616","537","137","34","2","19","79","73","67","133","13","4",".255",".341",".432",".773",".335","238.3","15194"
"Marwin Gonzalez","Twins","117","498","444","118","25","2","16","63","57","43","104","6","2",".265",".334",".437",".771",".332","243.9","5497"
