"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Jose Altuve","Astros","149","647","579","182","34","3","19","94","83","54","81","21","7",".314",".376",".481",".857",".368","5417"
"Daniel Murphy","Rockies","143","619","564","171","42","5","22","82","89","45","75","4","1",".304",".356",".511",".868",".366","4316"
"Scooter Gennett","Reds","147","644","590","165","32","3","27","83","89","43","135","5","2",".279",".330",".480",".810",".345","10339"
"Robinson Cano","Mets","146","624","564","157","34","1","23","73","81","52","94","1","0",".278",".341",".465",".806",".344","3269"
"Javier Baez","Cubs","147","645","597","161","32","3","33","89","95","34","171","15","4",".270",".315",".501",".816",".343","12979"
"Gleyber Torres","Yankees","146","634","567","151","29","3","26","86","80","56","158","10","3",".267",".335",".463",".798",".342","16997"
"Brian Dozier","Nationals","130","567","496","121","27","2","26","76","79","60","122","10","3",".244",".330",".465",".795",".341","9810"
"Ozzie Albies","Braves","151","656","600","166","35","6","21","86","81","44","117","16","4",".276",".329",".459",".788",".337","16556"
"Rougned Odor","Rangers","149","638","579","148","29","5","29","87","84","43","142","19","5",".256",".316",".475",".791",".336","12282"
"DJ LeMahieu","Yankees","126","549","494","141","22","2","12","71","56","46","82","9","3",".287",".349",".413",".762",".332","9874"
"Daniel Descalso","Cubs","79","266","227","54","12","1","9","33","30","35","65","1","0",".239",".343",".419",".762",".332","8392"
"Luis Urias","Padres","138","571","501","138","26","3","10","68","54","53","106","7","3",".275",".353",".403",".756",".331","16622"
"Jonathan Schoop","Twins","130","552","513","137","29","1","24","68","74","27","118","2","1",".266",".311",".465",".776",".331","11265"
"Jason Kipnis","Indians","143","616","546","140","34","3","19","77","76","57","122","8","2",".257",".331",".436",".767",".331","9776"
"Jed Lowrie","Mets","152","592","520","132","31","2","18","66","69","64","113","1","0",".254",".336",".426",".763",".330","4418"
"Ben Zobrist","Cubs","120","423","370","97","23","2","9","51","45","47","58","3","1",".263",".346",".412",".758",".330","7435"
"Howie Kendrick","Nationals","62","168","154","43","9","1","4","21","20","12","33","3","1",".282",".336",".427",".762",".329","4229"
"Daniel Robertson","Rays","87","374","324","82","16","1","10","43","40","39","86","3","1",".253",".344",".401",".745",".327","14145"
"Jeff McNeil","Mets","84","242","218","60","12","2","6","28","25","17","36","4","1",".274",".334",".422",".756",".327","15362"
"Whit Merrifield","Royals","147","617","562","155","37","3","13","75","65","45","100","27","6",".276",".332",".423",".755",".326","11281"
"Dustin Pedroia","Red Sox","128","557","497","139","29","1","10","68","61","53","74","4","1",".279",".348",".400",".748",".326","8370"
"Adam Frazier","Pirates","136","566","507","140","28","4","10","67","58","47","86","11","4",".276",".342",".406",".748",".326","15223"
"Jedd Gyorko","Cardinals","78","257","229","56","10","1","10","31","32","24","55","2","0",".246",".321",".429",".750",".324","10816"
"Cesar Hernandez","Phillies","149","639","558","146","20","5","12","77","55","74","137","15","5",".262",".350",".379",".729",".322","10556"
"Ketel Marte","Diamondbacks","138","591","534","144","29","6","12","68","62","49","85","8","2",".270",".332",".412",".743",".321","13613"
"Brandon Lowe","Rays","57","242","215","52","12","1","8","28","29","23","63","3","1",".240",".317",".418",".735",".318","18882"
"Ian Kinsler","Padres","126","522","474","120","27","2","16","61","59","40","77","10","4",".254",".316",".420",".736",".318","6195"
"Yoan Moncada","White Sox","147","620","542","128","26","4","19","76","61","69","201","19","4",".236",".326",".404",".730",".318","17232"
"Jose Peraza","Reds","149","651","604","171","28","5","13","82","66","30","82","26","6",".283",".322",".411",".733",".316","13593"
"Garrett Hampson","Rockies","79","264","238","64","13","2","4","33","24","22","50","9","2",".268",".331",".394",".725",".315","19262"
"Max Moroff","Indians","36","154","133","30","7","1","5","19","17","19","44","2","1",".227",".324",".396",".720",".315","14556"
"Devon Travis","Blue Jays","97","410","382","101","22","2","11","48","45","22","75","4","1",".265",".308",".419",".727",".313","13862"
"Brock Holt","Red Sox","58","254","225","58","12","1","4","32","24","24","50","5","1",".259",".336",".374",".710",".313","9345"
"Kolten Wong","Cardinals","113","493","436","110","21","3","11","58","48","39","79","9","3",".252",".328",".389",".717",".312","12532"
