"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Gary Sanchez","Yankees","138","553","491","124","24","1","32","77","82","52","131","3","1",".253",".331",".498",".829",".353","57.7","11442"
"J.T. Realmuto","Phillies","138","548","497","135","27","3","23","71","75","39","112","6","1",".272",".330",".478",".808",".345","50.0","11739"
"Buster Posey","Giants","138","542","478","140","27","2","11","63","62","54","67","4","1",".292",".366",".429",".795",".344","145.8","9166"
"Yasmani Grandal","Brewers","122","481","413","97","19","1","24","63","63","62","125","2","1",".234",".336",".458",".794",".342","129.6","11368"
"Chris Iannetta","Rockies","81","322","274","67","16","1","12","41","40","40","82","1","0",".245",".348",".442",".789",".342","431.8","8267"
"Francisco Cervelli","Pirates","117","460","394","102","17","3","12","57","49","52","104","5","1",".258",".356",".411",".767",".337","267.7","5275"
"Kurt Suzuki","Nationals","78","311","281","76","16","1","11","37","43","20","41","1","0",".271",".329",".455",".784",".336","335.8","8259"
"Salvador Perez","Royals","134","517","482","126","26","2","26","59","80","24","100","1","0",".261",".303",".486",".788",".334","130.1","7304"
"Tyler Flowers","Braves","97","370","323","80","16","1","13","45","46","35","100","1","0",".249",".337",".426",".763",".333","450.0","9134"
"Willson Contreras","Cubs","122","486","429","111","23","2","15","62","55","46","108","5","2",".259",".338",".427",".765",".332","139.6","11609"
"Yadier Molina","Cardinals","130","498","457","126","26","2","16","60","61","31","72","6","2",".275",".324",".440",".764",".328","146.9","7007"
"Robinson Chirinos","Astros","97","386","335","73","15","1","18","50","52","38","121","2","1",".217",".314",".431",".744",".323","243.1","3142"
"Wilson Ramos","Mets","97","381","350","92","15","1","15","43","49","26","74","1","0",".264",".315",".439",".754",".323","134.0","1433"
"Welington Castillo","White Sox","105","405","368","93","17","1","17","46","52","29","108","2","0",".252",".312",".438",".750",".323","225.1","3256"
"Russell Martin","Dodgers","57","227","192","43","8","0","7","28","24","29","56","2","1",".226",".338",".384",".721",".320","522.4","4616"
"Danny Jansen","Blue Jays","113","437","387","96","22","1","13","51","46","38","78","4","1",".247",".326",".411",".737",".320","189.4","16535"
"Willians Astudillo","Twins","31","125","118","33","7","0","3","14","15","5","8","1","0",".280",".315",".424",".739",".316","246.1","15608"
"Francisco Mejia","Padres","94","335","308","80","18","2","10","37","39","21","68","2","1",".260",".313",".424",".737",".316","262.3","16403"
"Alex Avila","Diamondbacks","113","380","317","66","14","1","12","44","40","59","132","1","0",".208",".335",".373",".708",".314","597.1","7476"
"Mitch Garver","Twins","44","172","153","37","9","1","5","20","19","16","41","0","0",".242",".320",".403",".723",".314","425.7","15161"
"Tucker Barnhart","Reds","122","485","429","108","23","2","10","54","51","47","91","3","1",".251",".327",".387",".714",".310","271.3","10200"
