"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Nelson Cruz","Twins","146","622","553","153","29","2","37","89","97","56","132","2","0",".277",".350",".536",".886",".374","96.0","2434"
"Khris Davis","Athletics","152","648","570","143","28","2","43","91","106","64","176","2","1",".250",".332",".533",".865",".364","44.0","9112"
"Shohei Ohtani","Angels","122","523","462","119","27","2","27","75","74","54","157","8","2",".257",".337",".497",".834",".354","183.8","19755"
"Shohei Ohtani","Angels","122","523","462","119","27","2","27","75","74","54","157","8","2",".257",".337",".497",".834",".354","183.8","19755"
"Shin-Soo Choo","Rangers","147","631","534","140","28","2","20","84","69","81","142","8","3",".262",".368",".435",".803",".352","286.5","3174"
"Miguel Sano","Twins","138","588","507","122","27","1","31","80","85","72","202","1","0",".240",".338",".484",".822",".350","211.5","12164"
"Edwin Encarnacion","Mariners","133","565","486","116","20","1","32","72","84","69","130","3","1",".239",".337",".481",".819",".350","129.9","2151"
"C.J. Cron","Twins","109","463","419","110","24","1","22","62","64","32","107","3","1",".263",".327",".488",".814",".347","260.6","12546"
"Hanley Ramirez","Indians","11","49","44","12","2","0","2","6","7","4","10","1","0",".267",".339",".464",".802",".344","595.9","8001"
"Corey Dickerson","Pirates","138","592","549","154","35","5","21","72","82","35","114","6","2",".280",".324",".476",".800",".339","203.6","10762"
"Ji-Man Choi","Rays","97","415","361","87","21","1","15","49","50","47","106","3","1",".241",".333",".427",".760",".329","533.8","5452"
"Matt Holliday","","49","210","183","45","10","1","7","25","24","21","48","1","0",".244",".333",".417",".749",".326","999.0","1873"
"Kendrys Morales","Blue Jays","146","615","551","136","27","1","26","73","77","54","133","3","1",".246",".317",".440",".757",".324","503.6","8610"
"Dan Vogelbach","Mariners","26","110","94","22","5","0","4","12","13","14","26","0","0",".232",".335",".406",".741",".324","600.1","14130"
"Matt Davidson","Rangers","23","97","87","20","4","0","5","12","13","8","31","0","0",".230",".306",".445",".750",".322","587.1","7226"
"Evan Gattis","","81","350","318","77","14","1","17","42","48","25","76","1","1",".242",".302",".453",".756",".322","571.3","11003"
"Tyler Austin","Twins","16","69","62","15","3","0","3","9","9","6","23","0","0",".237",".305",".443",".749",".321","572.8","11850"
"Robbie Grossman","Athletics","44","186","159","40","9","1","3","21","16","24","36","1","0",".250",".350",".370",".720",".320","598.7","5254"
"Mark Trumbo","Orioles","138","574","524","126","22","1","27","63","72","44","144","1","0",".241",".301",".439",".740",".318","505.2","6876"
"Francisco Mejia","Padres","94","335","308","80","18","2","10","37","39","21","68","2","1",".260",".313",".424",".737",".316","262.3","16403"
"Yandy Diaz","Rays","104","443","386","102","17","2","5","48","38","51","90","3","1",".263",".351",".358",".709",".314","475.5","16578"
"Daniel Palka","White Sox","105","443","401","91","17","2","22","52","60","36","148","4","1",".226",".293",".441",".734",".313","357.7","14897"
"Ryan O'Hearn","Royals","134","563","503","115","26","2","19","59","68","53","165","3","1",".229",".304",".406",".711",".307","405.0","16442"
"Christian Walker","Diamondbacks","65","179","162","38","9","1","6","20","22","13","53","1","0",".232",".295",".417",".712",".306","595.8","13419"
"Jose Rondon","White Sox","34","143","132","32","7","1","5","16","15","8","35","3","1",".245",".291",".405",".697",".300","999.0","14140"
"Albert Pujols","Angels","94","405","377","89","17","1","16","43","51","21","58","2","0",".236",".278",".410",".688",".294","514.3","1177"
"Victor Reyes","Tigers","45","191","179","46","8","2","2","20","16","10","38","5","1",".254",".293",".352",".644",".280","600.4","15487"
"Terrance Gore","Royals","2","7","6","1","0","0","0","1","0","0","2","0","0",".213",".277",".282",".559",".251","600.7","13658"
