"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Joey Votto","Reds","137","592","477","139","29","2","21","80","73","106","115","4","7","2",".291",".421",".493",".913",".388","1.9","0.2","4.1","22.4","4314"
"Anthony Rizzo","Cubs","153","667","567","159","36","3","33","94","108","78","114","18","8","5",".280",".382",".529",".911",".385","5.3","-0.8","4.8","11.9","3473"
"Paul Goldschmidt","Diamondbacks","143","630","521","151","32","2","27","89","94","99","136","4","20","5",".290",".403",".514",".918",".385","3.8","1.6","4.2","6.3","9218"
"Miguel Cabrera","Tigers","135","583","511","154","29","1","27","73","91","64","104","3","1","0",".301",".379",".521",".900",".376","0.6","-0.1","3.7","16.1","1744"
"Freddie Freeman","Braves","148","639","544","153","34","3","26","94","86","82","148","9","4","2",".281",".382",".498",".880",".373","2.3","-0.4","3.7","28.5","5361"
"Edwin Encarnacion","Indians","133","576","495","131","26","1","32","77","102","70","101","5","2","1",".265",".358",".515",".873",".368","0.0","-0.3","2.6","24.2","2151"
"Steve Pearce","Blue Jays","82","292","259","70","16","1","14","37","41","28","60","4","1","2",".270",".349",".502",".851",".362","1.6","-0.8","1.5","387.4","9957"
"Chris Davis","Orioles","142","595","515","123","22","0","39","86","99","69","200","7","2","2",".239",".334",".509",".843",".355","3.5","-0.7","2.8","74.7","9272"
"Hanley Ramirez","Red Sox","128","533","471","132","28","1","20","62","86","53","100","6","9","3",".280",".358",".471",".830",".355","-3.6","0.3","1.7","74.8","8001"
"Brandon Belt","Giants","130","529","454","121","30","5","16","66","62","68","127","4","4","3",".267",".365",".460",".825",".355","4.5","-0.7","2.8","169.6","10264"
"Carlos Santana","Indians","142","615","515","128","28","2","25","70","84","94","110","2","6","2",".249",".364",".456",".821",".354","-0.7","0.0","2.5","111.4","2396"
"Jose Abreu","White Sox","151","652","590","170","31","2","28","79","99","44","123","13","1","2",".288",".348",".490",".838",".354","-3.3","-1.0","2.3","54.3","15676"
"Lucas Duda","Mets","97","382","327","79","17","0","20","50","62","45","95","7","1","1",".242",".343",".477",".820",".347","0.8","-0.4","1.5","324.6","2502"
"Chris Carter","Yankees","140","544","470","105","21","1","37","73","96","61","184","6","3","1",".223",".316",".509",".825",".346","-3.3","-0.1","1.7","255.8","9911"
"Mark Reynolds","Rockies","119","410","362","90","17","1","20","45","53","42","108","4","2","2",".249",".332",".467",".799",".341","1.2","-0.6","0.3","592.6","7619"
"Wil Myers","Padres","145","621","551","143","28","3","25","92","86","62","152","3","21","5",".260",".335",".457",".792",".339","5.6","1.8","2.7","51.5","10047"
"Pedro Alvarez","Orioles","121","423","379","90","17","0","26","52","69","41","121","1","3","1",".237",".312",".488",".800",".336","0.0","0.0","0.8","558.6","2495"
"Mike Napoli","Rangers","121","493","424","99","17","1","23","56","67","62","140","4","3","2",".233",".335",".441",".776",".335","1.6","-0.5","1.2","217.7","3057"
"Byung-ho Park","Twins","101","436","391","98","18","1","21","56","55","35","128","7","3","1",".251",".321",".463",".784",".334","1.8","0.0","1.3","487.0","18497"
"Tommy Joseph","Phillies","86","301","278","73","14","0","16","42","46","14","61","4","0","1",".263",".303",".486",".789",".333","-2.7","-0.5","0.3","217.9","10349"
"Josh Bell","Pirates","147","612","537","145","27","6","15","73","74","64","90","3","4","5",".270",".347",".426",".773",".332","-2.4","-1.6","1.1","263.4","13145"
"John Jaso","Pirates","98","323","284","75","18","2","6","35","33","34","56","4","1","2",".264",".350",".405",".755",".331","-2.3","-0.8","0.4","681.1","5887"
"Adrian Gonzalez","Dodgers","141","577","519","140","28","0","21","66","94","49","104","3","0","1",".270",".333",".445",".778",".330","3.7","-0.7","1.7","156.7","1908"
"Eric Hosmer","Royals","153","648","589","163","31","2","19","79","91","52","118","2","6","3",".277",".335",".433",".768",".329","-2.0","-0.4","1.0","103.2","3516"
"Justin Bour","Marlins","120","428","384","101","18","0","16","46","60","41","79","1","1","0",".263",".334",".435",".769",".327","-1.4","0.0","0.6","300.3","9744"
"Albert Pujols","Angels","137","581","534","140","19","0","28","70","107","40","69","3","3","1",".262",".315",".455",".770",".325","0.0","-0.1","1.0","138.1","1177"
"A.J. Reed","Astros","127","540","478","115","22","2","23","70","73","54","155","3","0","0",".241",".319",".439",".758",".325","1.9","-0.3","1.3","406.4","16246"
"C.J. Cron","Angels","133","506","471","126","26","2","19","56","74","23","99","7","3","2",".268",".308",".452",".761",".323","-2.2","-0.5","0.9","259.7","12546"
"Kennys Vargas","Twins","136","546","483","115","21","1","24","68","70","56","153","3","0","0",".238",".319",".435",".753",".323","-2.1","-0.3","0.6","430.3","12101"
"Adam Lind","Nationals","121","429","387","102","21","1","13","49","59","39","74","1","0","0",".264",".331",".424",".755",".323","-1.5","-0.2","0.3","548.5","8027"
"Gregory Bird","Yankees","94","397","354","83","20","1","18","50","57","35","113","4","1","1",".234",".307",".449",".756",".322","-0.5","-0.4","0.6","230.4","14131"
"Jesus Aguilar","Brewers","139","568","516","129","24","0","26","66","78","43","131","4","0","0",".250",".310",".448",".758",".322","3.5","-0.3","0.8","912.3","11342"
"Dae-Ho Lee","Mariners","117","439","406","102","19","0","20","50","67","27","98","5","0","0",".251",".305",".446",".751",".321","-1.4","-0.2","0.8","864.9","18722"
"Kyle Blanks","Rangers","73","264","237","61","14","0","8","32","31","20","72","5","1","1",".257",".326",".418",".743",".321","-0.6","-0.4","0.4","995.7","49"
"Tyler White","Astros","117","458","408","101","20","1","16","55","59","42","94","5","1","1",".248",".323",".419",".742",".321","-2.1","-0.5","0.6","836.5","15564"
"Rob Segedin","Dodgers","108","408","369","91","18","4","15","51","56","28","95","7","2","2",".247",".309",".439",".748",".320","-2.7","-0.6","1.3","857.4","11446"
"Dan Vogelbach","Mariners","123","508","444","106","20","1","18","63","62","58","126","3","1","1",".239",".329",".410",".739",".320","-1.3","-0.5","0.8","385.3","14130"
"Mark Teixeira","Yankees","101","395","346","79","16","0","18","42","54","43","91","3","2","0",".228",".316",".431",".747",".320","0.7","0.2","0.7","999.0","1281"
"Matt Adams","Cardinals","112","360","333","86","20","1","13","37","53","22","82","2","1","1",".258",".306",".441",".747",".317","2.7","-0.4","0.6","518.0","9393"
"Xavier Scruggs","Marlins","122","475","416","97","23","1","15","56","51","49","132","8","3","3",".233",".324",".401",".726",".317","-1.4","-0.9","0.2","999.0","7409"
"Jon Singleton","Astros","123","502","430","90","19","1","23","65","70","66","165","2","2","1",".209",".315",".419",".733",".316","-1.9","-0.3","0.5","999.0","10441"
"Travis Shaw","Brewers","138","542","492","121","26","3","20","59","64","43","124","3","4","2",".246",".308",".433",".741",".316","3.1","-0.3","1.7","315.1","11982"
"Brandon Moss","Royals","127","467","414","93","19","2","22","53","59","42","140","7","1","0",".225",".304",".440",".744",".316","-4.5","0.0","-0.1","329.5","4467"
"Justin Smoak","Blue Jays","128","387","343","79","16","0","16","44","54","40","106","2","0","1",".230",".313",".417",".730",".315","-1.2","-0.6","0.2","567.9","9054"
"Joe Mauer","Twins","124","532","465","122","23","2","9","59","51","63","94","1","2","0",".262",".350",".378",".728",".315","1.9","0.1","0.7","380.5","1857"
"Jesus Montero","Mariners","121","490","464","126","20","2","17","56","67","21","97","2","1","0",".272",".304",".433",".737",".315","-5.9","0.0","-0.2","999.0","5514"
"Sean Rodriguez","Pirates","123","278","249","60","13","2","10","35","35","19","82","5","2","1",".241",".305",".430",".735",".315","-5.4","-0.1","0.4","373.2","6589"
