"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Jose Altuve","Astros","156","696","636","203","39","4","17","94","81","44","65","7","37","10",".319",".367",".473",".840",".356","-1.9","2.9","5.1","5417"
"Daniel Murphy","Nationals","139","586","543","165","39","4","16","78","84","33","63","4","9","3",".304",".345",".479",".824",".346","-7.3","0.3","2.5","4316"
"Brian Dozier","Twins","147","657","581","148","33","4","31","96","82","61","131","7","15","4",".255",".330",".485",".815",".345","-1.2","1.0","3.7","9810"
"Robinson Cano","Mariners","148","644","589","169","30","2","24","84","90","45","91","6","3","3",".287",".342",".467",".809",".342","-1.5","-1.0","3.6","3269"
"Rougned Odor","Rangers","156","642","601","165","32","7","29","86","92","25","115","9","12","7",".275",".311",".496",".807",".340","-6.9","-0.8","2.4","12282"
"Ben Zobrist","Cubs","126","548","472","126","29","3","14","74","60","66","72","3","6","4",".267",".357",".430",".787",".340","-3.1","-0.8","2.3","7435"
"Devon Travis","Blue Jays","114","471","436","124","29","2","15","60","61","29","87","2","6","2",".284",".330",".463",".793",".339","0.3","0.1","2.5","13862"
"DJ LeMahieu","Rockies","151","620","556","167","25","6","9","73","57","51","95","2","18","7",".300",".359",".415",".774",".335","2.5","0.3","1.8","9874"
"Logan Forsythe","Dodgers","125","497","446","119","24","3","16","63","56","39","93","8","6","4",".267",".335",".442",".776",".334","0.0","-0.7","2.5","7185"
"Jason Kipnis","Indians","143","630","559","152","35","4","16","78","67","56","124","5","17","5",".272",".340",".435",".775",".333","0.0","1.0","3.1","9776"
"Ryan Schimpf","Padres","120","466","409","92","24","3","24","62","64","47","135","7","1","2",".225",".313",".474",".788",".333","-8.4","-0.8","1.3","9953"
"Trea Turner","Nationals","139","594","546","154","27","10","14","77","66","41","131","1","35","7",".282",".331",".445",".776",".332","6.1","3.8","3.5","16252"
"Dustin Pedroia","Red Sox","128","580","525","153","29","1","10","66","56","49","64","1","6","4",".291",".351",".408",".758",".330","6.3","-0.8","2.9","8370"
"Neil Walker","Mets","128","521","468","123","20","2","20","65","65","42","94","6","3","1",".263",".329",".442",".771",".330","-0.8","-0.1","2.3","7539"
"Derek Dietrich","Marlins","125","436","381","94","20","5","12","55","46","29","102","23","1","1",".247",".335",".420",".755",".328","-3.9","-0.4","1.3","10542"
"Ian Kinsler","Tigers","142","631","581","160","29","5","17","90","75","37","86","8","11","6",".275",".325",".430",".756",".326","7.3","-0.6","3.3","6195"
"Dilson Herrera","Reds","117","495","451","115","21","3","18","65","63","35","103","3","8","7",".255",".311",".435",".746",".320","-0.1","-1.5","1.4","14335"
"Jedd Gyorko","Cardinals","130","477","435","107","17","1","22","55","70","36","105","3","1","1",".246",".306",".441",".747",".320","2.7","-0.4","1.9","10816"
"Jonathan Schoop","Orioles","138","530","503","133","27","1","22","63","67","17","118","7","1","1",".264",".297",".453",".750",".320","1.4","-0.4","1.9","11265"
"Addison Russell","Cubs","155","601","536","133","29","4","19","69","91","50","140","9","6","2",".248",".320",".424",".744",".318","8.1","0.1","3.2","14106"
"Josh Harrison","Pirates","134","517","483","138","29","5","7","62","53","20","74","6","15","6",".286",".320",".410",".730",".314","0.4","0.3","1.7","8202"
"Brock Holt","Red Sox","119","463","417","114","23","3","5","53","42","37","85","3","9","3",".273",".335",".379",".714",".313","-3.1","0.3","0.9","9345"
"Javier Baez","Cubs","142","516","477","121","22","2","19","61","70","26","145","9","16","4",".254",".303",".428",".731",".313","3.9","1.3","1.9","12979"
"Joe Panik","Giants","132","554","498","134","25","5","8","70","56","45","58","4","4","1",".269",".332",".388",".720",".312","2.9","0.1","2.1","11936"
"Cory Spangenberg","Padres","75","262","234","61","10","6","4","32","31","20","58","1","7","3",".261",".319",".406",".725",".312","0.0","0.0","0.8","12294"
"Scooter Gennett","Brewers","144","540","504","136","29","3","13","62","57","29","101","2","6","3",".270",".311",".417",".728",".311","-2.7","-0.3","0.9","10339"
"Kolten Wong","Cardinals","137","495","445","114","17","6","11","59","46","35","78","10","13","3",".256",".322",".396",".717",".311","3.7","1.1","1.8","12532"
"Tommy La Stella","Cubs","93","299","267","70","16","2","3","27","27","27","38","3","2","1",".262",".336",".371",".706",".310","-3.1","-0.2","0.4","12371"
"Brett Lawrie","White Sox","112","455","417","105","22","1","14","47","47","30","111","5","5","2",".252",".308",".410",".718",".310","-5.8","0.0","0.7","5247"
"Starlin Castro","Yankees","154","624","589","160","29","2","18","64","78","26","113","4","5","3",".272",".305",".419",".724",".309","-1.5","-0.5","1.5","4579"
"Cesar Hernandez","Phillies","144","541","483","131","15","8","4","63","39","50","107","2","17","9",".271",".341",".360",".701",".309","-0.6","-0.6","1.2","10556"
"Stephen Drew","Nationals","94","295","262","59","15","2","10","30","34","27","60","2","1","1",".225",".299",".412",".712",".305","0.4","-0.3","0.6","4251"
"Howie Kendrick","Phillies","132","528","483","129","23","3","8","63","48","39","88","3","8","3",".267",".324",".377",".701",".305","-0.7","0.1","0.3","4229"
