"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Shohei Ohtani","Angels","120","370","330","89","19","1","20","56","63","37","111","1","9","3",".270",".343",".515",".858",".364","0.0","0.4","1.9","183.8","19755"
"Shohei Ohtani","Angels","120","370","330","89","19","1","20","56","63","37","111","1","9","3",".270",".343",".515",".858",".364","0.0","0.4","1.9","183.8","19755"
"Nelson Cruz","Twins","131","540","474","126","19","1","30","65","101","50","113","12","1","0",".266",".348",".500",".848",".360","0.0","-0.1","2.2","96.0","2434"
"Khris Davis","Athletics","145","602","531","131","24","1","39","82","108","57","174","8","1","1",".247",".326",".516",".842",".355","0.0","-0.5","2.4","44.0","9112"
"Dan Vogelbach","Mariners","128","515","439","109","19","0","19","64","65","71","111","2","1","1",".248",".353",".421",".775",".339","-1.1","-0.6","1.8","600.1","14130"
"C.J. Cron","Twins","135","523","475","123","27","2","24","59","80","32","119","11","2","2",".259",".317",".476",".793",".338","0.2","-0.7","1.5","260.6","12546"
"Edwin Encarnacion","Mariners","127","543","463","109","17","1","26","68","85","68","126","6","2","0",".235",".337",".445",".782",".337","0.0","0.1","1.6","129.9","2151"
"Shin-Soo Choo","Rangers","123","545","464","116","21","1","17","71","55","68","129","9","6","2",".250",".355",".409",".764",".336","0.0","0.0","0.8","286.5","3174"
"Corey Dickerson","Pirates","141","553","522","148","36","5","18","65","61","26","100","3","5","3",".284",".320",".475",".795",".336","5.3","-0.5","2.5","203.6","10762"
"Miguel Sano","Twins","112","471","411","93","19","1","25","60","70","56","176","2","1","0",".226",".321",".460",".780",".335","-3.3","-0.1","2.0","211.5","12164"
"Christian Walker","Diamondbacks","128","501","456","113","27","4","20","64","71","36","139","5","2","1",".248",".307",".456",".764",".326","-0.9","-0.3","0.7","595.8","13419"
"Tyler Austin","Twins","109","426","385","89","21","2","21","51","64","35","144","3","3","2",".231",".298",".460",".758",".323","0.2","-0.4","0.7","572.8","11850"
"Matt Holliday","","78","295","256","63","13","0","9","31","36","34","68","2","0","0",".246",".336",".402",".738",".322","-6.6","-0.2","-0.6","999.0","1873"
"Hanley Ramirez","Indians","102","431","386","96","17","0","17","49","60","38","90","5","5","2",".249",".323",".425",".747",".322","-2.4","-0.1","0.3","595.9","8001"
"Kendrys Morales","Blue Jays","125","483","434","108","19","0","20","50","68","41","103","4","1","1",".249",".317",".431",".748",".321","0.0","-0.5","0.4","503.6","8610"
"Ji-Man Choi","Rays","113","420","360","84","20","1","13","44","46","51","112","3","4","2",".233",".329",".403",".731",".318","-1.5","-0.3","0.6","533.8","5452"
"Robbie Grossman","Athletics","125","470","403","99","23","1","8","53","44","60","90","2","2","2",".246",".344",".367",".711",".317","-7.0","-0.7","0.3","598.7","5254"
"Matt Davidson","Rangers","115","462","411","93","20","0","21","50","70","42","154","6","0","0",".226",".305",".428",".733",".317","-1.4","-0.2","0.0","587.1","7226"
"Mark Trumbo","Orioles","121","488","453","108","18","1","24","58","63","33","124","1","1","0",".238",".291",".442",".732",".314","0.0","0.0","0.2","505.2","6876"
"Evan Gattis","","118","444","407","97","18","2","21","48","77","29","99","3","1","1",".238",".291",".447",".738",".313","-7.5","-0.4","1.6","571.3","11003"
"Ryan O'Hearn","Royals","144","575","509","115","29","3","20","64","67","57","152","4","2","0",".226",".307",".413",".720",".311","-1.9","0.1","0.2","405.0","16442"
"Yandy Diaz","Rays","137","560","484","127","19","2","4","63","37","69","114","2","3","3",".262",".355",".335",".690",".310","-0.9","-1.0","1.7","475.5","16578"
"Daniel Palka","White Sox","126","512","469","104","17","2","27","62","69","38","180","2","5","4",".222",".281",".439",".720",".306","-6.2","-0.9","0.0","357.7","14897"
"Chad Huffman","","93","348","309","68","15","2","11","39","36","29","86","8","2","1",".220",".302",".388",".690",".302","-4.1","-0.2","-0.4","999.0","5311"
"Francisco Mejia","Padres","131","519","477","119","25","2","14","55","50","28","100","6","1","1",".249",".296",".398",".694",".298","2.6","-0.5","2.1","262.3","16403"
"Matt Skole","White Sox","118","476","420","88","19","1","16","52","48","51","145","3","2","1",".210",".298",".374",".672",".295","1.0","-0.3","0.0","999.0","12119"
"Cesar Puello","Angels","90","359","315","74","13","1","7","41","32","28","89","11","8","4",".235",".316",".349",".665",".295","-2.2","-0.2","0.0","999.0","7216"
"Richie Shaffer","","110","431","383","75","18","1","19","48","51","42","168","4","2","1",".196",".281",".397",".678",".294","-1.6","-0.2","-0.6","999.0","13271"
"Pedro Alvarez","Marlins","114","414","378","83","15","0","17","44","54","33","117","1","1","0",".220",".283",".394",".677",".292","-4.0","0.0","-0.6","999.0","2495"
"Albert Pujols","Angels","114","486","455","110","16","0","15","42","69","26","69","2","1","0",".242",".284",".376",".660",".284","0.3","-0.1","-0.4","514.3","1177"
"Jose Rondon","White Sox","117","465","434","102","19","3","13","49","49","23","119","2","8","6",".235",".275",".382",".657",".284","4.1","-1.1","1.2","999.0","14140"
"Victor Martinez","","111","434","399","100","16","0","7","29","45","28","50","3","0","0",".251",".302",".343",".645",".281","0.0","-0.3","-1.1","999.0","393"
"Allen Craig","Padres","80","309","275","61","10","1","6","30","24","29","74","3","0","0",".222",".301",".331",".632",".281","3.4","-0.2","-0.2","999.0","3433"
"Victor Reyes","Tigers","133","437","416","101","15","5","3","51","30","16","89","1","14","5",".243",".272",".325",".596",".259","1.0","0.5","-1.0","600.4","15487"
"Terrance Gore","Royals","94","242","216","43","3","1","0","24","9","16","61","3","26","5",".199",".264",".222",".486",".225","-3.8","3.0","-1.1","600.7","13658"
