"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Francisco Lindor","Indians","156","709","628","182","38","4","30","108","91","64","101","5","21","7",".290",".357",".506",".863",".366","11.2","0.9","6.9","11.8","12916"
"Trevor Story","Rockies","146","605","549","144","34","5","33","81","99","48","180","5","20","4",".262",".326",".523",".848",".358","1.4","2.1","3.7","17.6","12564"
"Manny Machado","Padres","156","686","613","172","35","2","32","87","97","65","111","2","12","3",".281",".348",".501",".849",".357","4.4","0.8","5.4","16.9","11493"
"Xander Bogaerts","Red Sox","150","650","584","166","37","3","20","91","91","56","117","6","11","2",".284",".351",".461",".811",".348","-2.3","1.0","4.1","47.6","12161"
"Javier Baez","Cubs","156","581","541","149","29","5","30","81","94","29","154","6","17","6",".275",".318",".514",".832",".348","1.4","0.7","4.1","16.4","12979"
"Carlos Correa","Astros","130","559","484","127","27","2","21","76","92","65","127","3","6","1",".262",".349",".457",".805",".345","-1.5","0.4","4.0","50.5","14162"
"Corey Seager","Dodgers","129","555","499","140","32","3","17","72","77","47","111","5","4","1",".281",".346",".459",".805",".345","2.8","0.1","4.1","84.1","13624"
"Asdrubal Cabrera","Rangers","140","556","506","141","32","2","19","66","73","42","103","4","2","1",".279",".336",".462",".799",".342","-10.3","-0.3","1.6","229.3","4962"
"Brendan Rodgers","Rockies","117","500","460","130","27","3","17","60","62","25","99","10","10","4",".283",".331",".465",".796",".341","2.3","0.1","2.3","492.4","sa874238"
"Eduardo Escobar","Diamondbacks","142","554","504","135","34","5","20","65","80","40","106","4","2","3",".268",".324",".474",".798",".337","2.2","-1.1","2.8","182.8","6153"
"Trea Turner","Nationals","156","685","621","171","30","9","19","96","75","56","132","3","45","9",".275",".337",".444",".781",".336","3.1","4.9","4.6","7.8","16252"
"Didi Gregorius","Yankees","143","580","529","145","26","3","22","76","83","36","74","6","7","4",".274",".324",".459",".783",".334","2.3","-0.6","3.5","390.0","6012"
"Jung Ho Kang","Pirates","99","373","328","82","17","1","13","43","48","30","89","12","3","3",".250",".332",".427",".759",".331","1.1","-0.8","1.8","513.9","17182"
